tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970473936887652788',"@KatieMiller Total bullshit.  Real luxury my family enjoys with MAGA death threats keeping my kids from playing in the front yard.  

Care to backup the smear with any evidence?",en,Reply,0,9,0,25,412,2025-09-23 14:02:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970442131018842533',"This group “Antifa”…are they in the room with you right now, Mr. President?",en,Tweet,35,3066,434,2038,230350,2025-09-23 11:56:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970438734827897332',"CORRECTION: only Trump says Homan did “nothing criminal or illegal.”  

Here’s the deal: House Democrats are keeping receipts, Tom.  And when law and order returns, we will let people of honor determine whether you did anything “criminal or illegal.”",en,Tweet,36,2413,645,574,85726,2025-09-23 11:42:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970314075763798094',"My statement on the Trump Administration’s new $100,000 H1B visa fee. https://t.co/NG9UxsAvE9",en,Tweet,19,480,124,210,37130,2025-09-23 03:27:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1f2NZfWgAA32iH.jpg
'1970269287991656845',"Wishing a sweet and meaningful Rosh Hashanah to all who celebrate in CA-14 and beyond. May this new year bring health, happiness, and peace to you and your loved ones. Shana Tova! https://t.co/jdl6yCXwOJ",en,Tweet,4,337,48,44,23307,2025-09-23 00:29:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fNd8hWQAAEoC3.jpg
'1970260825001935212',"“Good fight with Tyson” 
— Marvis Frazier",en,Tweet,23,1230,163,106,107931,2025-09-22 23:56:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969796719333585117',Why would he say this? https://t.co/PYZywYmpKL,en,Tweet,37,2703,413,1007,96129,2025-09-21 17:11:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1YfrB7WsAA-cm8.jpg
'1969795100810121345',No one needs to see footage from your bachelor party,en,Tweet,403,44963,1923,3183,1603109,2025-09-21 17:05:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969122604565811544',READ THIS,en,Tweet,12,795,142,336,52832,2025-09-19 20:33:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969102056829948034',"Barry, POLITIFACT calls your “deleted files” claim FALSE.

Do you have anything else or do you plan on wasting everyone’s time so you can suck up more to Trump?  Here’s your problem:  
WE SAW JANUARY 6 WITH OUR OWN EYES.  

You can’t delete that. 

#TruthOverTrump https://t.co/TJiEiRyi90",en,Tweet,36,1768,550,344,118612,2025-09-19 19:11:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#TruthOverTrump,,photo,https://pbs.twimg.com/media/G1On1eTWAAEfwjQ.jpg
'1969096435468488789',I stand with Jimmy Kimmel and I urge all my colleagues to do the same. Censorship has no role in democracy.,en,Tweet,131,16310,1879,10219,714470,2025-09-19 18:49:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969037653631766938',For victims of sexual assault. For the American people. Democrats are cutting through MAGA bullshit to get answers. https://t.co/q890v3b5ez,en,Tweet,15,845,300,586,27027,2025-09-19 14:55:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969037366477127680/vid/avc1/720x1280/2pj-GUX1xUA7bRbZ.mp4?tag=21
'1968788168863531113',"In 1934, Germany passed a law making it a crime to tell jokes or laugh at its leaders.

We can’t go down that road. Because what’s next is you can’t post what you want on social media.  And you can’t text your friends anything that might upset the government.

That’s not the way it should be.  The people shouldn’t be afraid of their government.  The government should be afraid of the people!",en,Tweet,2439,59374,14473,11034,2454874,2025-09-18 22:24:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968741922622541883',I worry people don’t take Nancy Mace seriously.,en,Tweet,68,4110,515,660,134126,2025-09-18 19:20:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968709681796218998',Trump is firing comedians. That’s what happens in Russia and China. Cannot happen here. https://t.co/iND054NI45,en,Tweet,1425,27826,6639,9775,640875,2025-09-18 17:12:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968709571834187776/vid/avc1/960x540/Xi6DgxouWVP_I9Zx.mp4?tag=21
'1968699395962007787',"Get a lawyer, @BrendanCarrFCC.  And save your documents. 

In a Dem majority, your ass is going to be in a witness chair for a long time.  It’s ALL coming out.  All of your corrupt deals.",en,Tweet,895,38119,5826,6536,2367451,2025-09-18 16:31:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968661917850907098',"2 thoughts:

1) pray for DRC as they fight Ebola 

2) we are so screwed if it comes to USA",en,Tweet,13,484,126,231,36825,2025-09-18 14:02:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
