tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970575970458574884',"Government funding runs out in 7 days. Millions of Americans are facing skyrocketing health care costs. Yet Republicans sent us home for the rest of the month and Trump is refusing to meet with Democratic leaders.

That’s not leadership. It’s a disgrace. Republicans own any government shutdown.",en,Tweet,0,3,2,9,812,2025-09-23 20:48:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jkZsvXkAEI_TK.jpg
'1969178059166159332',My statement on the Charlie Kirk resolution. https://t.co/Ljq8clSZXt,en,Tweet,2,17,2,30,2062,2025-09-20 00:13:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1PtAhuWAAA8i47.jpg,https://pbs.twimg.com/media/G1PtAhyWMAEsnhb.jpg"
'1969089863409377693',"Despite controlling the House, Senate, and White House, Donald Trump and Congressional Republicans have once again failed to do their job and fund the government.

My full statement. https://t.co/cfjeXXtpzr",en,Tweet,0,6,5,16,767,2025-09-19 18:23:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Ocy25WEAA4hzD.jpg
'1968723272230400017',Congratulations to Ms. Veronica Pitts of Selma High School for being named the National Civics Teacher of the Year! We are so proud!! 👏🏾👏🏾👏🏾 https://t.co/xnLv3ydrTK,en,Tweet,1,16,4,2,883,2025-09-18 18:06:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968723137966534663/vid/avc1/1920x1080/BAbR1V_n0FZUX4si.mp4?tag=21
'1968440529844101169',"My mother was an exemplary educator, a trailblazing civic leader, and an amazing role model. She is one of the millions of Americans who have lost their battle to cancer, but her legacy will live on in the many lives saved by this bill.

I’m so grateful to @RepArrington for renaming it in her honor.",en,Tweet,1,9,2,2,509,2025-09-17 23:22:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968440435765895168/vid/avc1/1036x1036/SFVE95y7F-sXZJSm.mp4?tag=21
'1968401091474702406',Had a great time speaking with these awesome young leaders in the Jack and Jill program alongside Senator Cory Booker! They give me hope for a bright future! ✨ https://t.co/5vtSEg35Hr,en,Tweet,1,18,9,3,761,2025-09-17 20:46:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1EqXDFWQAAFLg-.jpg,https://pbs.twimg.com/media/G1EqXDCXQAABrqa.jpg,https://pbs.twimg.com/media/G1EqXDFW0AAbFxy.jpg"
'1968377105730899996',"Our Multi-Cancer Early Detection Act would save lives by ensuring seniors have access to the latest cancer screening technology.

I commend my colleagues on the Ways and Means Committee for passing it unanimously today! https://t.co/bkjrEOA0SL",en,Tweet,0,10,6,2,499,2025-09-17 19:10:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968377031919337472/vid/avc1/1080x1080/yactEgLb4MtJJv_9.mp4?tag=21
'1968366172052557855',"While my mother is no longer with us, I know that she is smiling down from Heaven. The legacy of Nancy Gardner Sewell will live on in the millions of Americans whose lives will be changed by this legislation. 💕",en,Reply,0,4,1,1,324,2025-09-17 18:27:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968366168684863900',"BIG NEWS: The Nancy Gardner Sewell Multi-Cancer Early Detection Act just passed unanimously in the Ways and Means Committee! 🙌🏾

We are one giant step closer to getting it signed into law and giving our seniors their best chance at catching cancer early. https://t.co/2sa3fZ3Jm6",en,Tweet,1,23,10,5,1259,2025-09-17 18:27:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EKmODWcAAeAzU.jpg
'1968006380071055797',"Great morning rallying with cancer advocates from Alabama and across the nation in support of the Nancy Gardner Sewell MCED Act! What a befitting tribute to my late mother to spend her birthday fighting for greater access to cancer screenings.

Special thanks to @ACSCAN and their wonderful volunteers! Let’s get this bill passed!!",en,Tweet,0,5,4,3,954,2025-09-16 18:37:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0_DXtCXIAAXReQ.jpg,https://pbs.twimg.com/media/G0_DXs8XMAAYugQ.jpg,https://pbs.twimg.com/media/G0_DXtFXIAAMz5b.jpg"
'1967994977482576198',"Happy heavenly birthday to my beloved mother, Nancy Gardner Sewell! Gone but never forgotten. 💕 https://t.co/F7XwRWgsoQ",en,Tweet,2,28,4,3,588,2025-09-16 17:52:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-5AJWXEAA_fHJ.jpg
'1967764210508849387',We must never forget the legacy of the #FourLittleGirls. https://t.co/ncUbmMfQHP,en,Tweet,6,89,37,5,1357,2025-09-16 02:35:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FourLittleGirls,,video,https://video.twimg.com/amplify_video/1967764103960600576/vid/avc1/1076x1330/3BUbwSykoo1Hj6Mr.mp4?tag=21
'1967673362345496761',"Chef Michael Glenn was an amazing caterer and friend. The food he prepared was as exquisite as the beautiful attire he wore in which to serve his curated creations.

Sending my condolences to his family and the great many friends who mourn his passing. 🙏🏾 https://t.co/D6waI3vBlQ",en,Tweet,1,9,6,2,564,2025-09-15 20:34:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.al.com/news/birmingham/2025/09/a-birmingham-chef-dies-remembered-for-his-culinary-artistry.html,,
'1967653459844588030',"The very first bill I passed in Congress was to award the Congressional Gold Medal to the #FourLittleGirls killed in the 16th Street Baptist Church bombing.

62 years after the attack, we are reminded that every gain in the battle for civil rights has come at a high cost, paid by the sacrifices of others.",en,Tweet,3,22,12,3,1240,2025-09-15 19:15:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#FourLittleGirls,,photo,https://pbs.twimg.com/media/G06CJvNXoAAMnUl.jpg
'1967574597634834724',"On this day in 1963, four precious little girls were killed when white supremacists bombed the 16th Street Baptist Church in Birmingham, Alabama. 

We must never forget the price they paid for the freedoms we enjoy today. https://t.co/icF6oE9ZlU",en,Tweet,4,59,41,9,1722,2025-09-15 14:01:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967574246940348416/vid/avc1/1080x1920/FaOELJuG_SzIcdu6.mp4?tag=21
'1966594155460563117',"It's that time again! Every year it is my honor to nominate qualified applicants to our nation's military service academies. If you're interested, be sure to attend an info session or visit my website below. Applications are due by Nov. 21!

Learn more: https://t.co/FumY5M9onH https://t.co/f9Oc0CCIwl",en,Tweet,1,2,3,1,559,2025-09-12 21:05:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://sewell.house.gov/service-academy,photo,https://pbs.twimg.com/media/G0q-wwzWcAAAYUH.jpg
'1966200144375984277',My office is closely monitoring the situation involving threats against Alabama State University. Violent threats of any kind are completely unacceptable. We are praying for the safety of the entire campus community and for an end to the violence and terror plaguing our nation.,en,Tweet,1,16,6,3,1006,2025-09-11 19:00:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966154002820923402',"I spoke on the House Floor to honor the late Bishop Calvin Woods, Sr. of Birmingham, Alabama. May his legacy live on in the lives he touched and the change he sparked. 🙏🏾 https://t.co/iLBlVTpie8",en,Tweet,1,10,5,2,622,2025-09-11 15:56:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966148769289846785/vid/avc1/1620x1080/mYt9cSGB9A8FTkL6.mp4?tag=21
'1966136875271467203',"Today we remember the lives lost and the heroism displayed on September 11, 2001. The atrocities of 9/11 changed our nation forever, but our spirit and resolve were never broken. We will #NeverForget. https://t.co/d8vD2SDe5C",en,Tweet,3,9,8,1,784,2025-09-11 14:48:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NeverForget,,photo,https://pbs.twimg.com/media/G0kfEVMXkAA8m-C.jpg
'1965935159775211773',"Tonight I voted against House Republicans' partisan defense funding bill. I am disappointed that my colleagues across the aisle have once again abandoned our longstanding tradition of bipartisanship.

My full statement. ⬇️ https://t.co/cbBBu1dR84",en,Tweet,0,7,3,4,1346,2025-09-11 01:27:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0hmRFVXMAAaarw.jpg
'1965858052135071935',Political violence has NO PLACE in the United States of America. I join in praying for Charlie Kirk and his family. 🙏🏾,en,Tweet,2,27,6,10,3083,2025-09-10 20:20:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965543237772558834',Can't wait to cheer on the Birmingham Youth Fellowship Choir as they compete on America's Got Talent tonight at 7pm CT on NBC! We're rooting for you!!! 🎤🙌🏾 https://t.co/GSsuHir6qm,en,Tweet,1,13,3,0,932,2025-09-09 23:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0bzkRmWkAAgf52.jpg
