tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970508962450551111',"Once again, this administration is undermining scientific credibility and eroding public trust. Suggesting a link between Tylenol and autism, without credible evidence, spreads fear instead of facts. Reckless statements from the President and RFK Jr. that ignore established science only create confusion for families.

As an occupational therapist, I’ve seen how deeply misinformation can harm patients and parents. We must trust the guidance of medical experts and ensure public health decisions are rooted in facts, not politics and pseudoscience. Families deserve clarity, compassion, and the truth.",en,Tweet,0,6,2,3,704,2025-09-23 16:22:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970197191714128180',"The President of the United States must lead with unity, not division. The Office of the President should represent all Americans, and a leader who says ""I hate my opponents"" undermines the values that unite us as a nation.

In times of division, our leaders must strive to bring us together because what unites us will always be stronger than what divides us. 

We are better than this.

https://t.co/rHDJ0xTgFR",en,Tweet,0,2,0,5,509,2025-09-22 19:43:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970171209414299842',"Today in Amherst, I stood with patients, workers, and community leaders outside Buffalo Therapy Services – one of several Kaleida facilities set to close because of Trump and Congressional Republicans’ Medicaid cuts. 

These closures are exactly what we warned would happen when the GOP forced through Trump’s Big Ugly Law. Facilities shutting down, costs rising, and care disappearing. 

As an occupational therapist, I know the life-changing work done here. The patients who rely on this care deserve better than partisan games in Washington. Congressional Republicans need to cancel the cuts, extend the ACA enhanced tax credits, and fix the healthcare crisis they’ve created. 

Lives are on the line.",en,Tweet,0,1,0,4,320,2025-09-22 17:59:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1d0RY1W4AAzrax.jpg,https://pbs.twimg.com/media/G1d0RYxWQAABvlU.jpg,https://pbs.twimg.com/media/G1d0RY4XkAAsXon.jpg,https://pbs.twimg.com/media/G1d0RYxXIAA_M3l.jpg"
'1970153079187398979',"As Jewish families in Western New York and across the country gather to welcome Rosh Hashanah, I extend my warmest wishes for a joyous, healthy, and peaceful new year. 

May this season of reflection and renewal bring hope, unity, and blessings to all. Shanah Tovah!",en,Tweet,0,7,1,4,386,2025-09-22 16:47:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969832411392315563',"I’m so blessed to be able to call Mary Kennedy my mother! 

She has spent her entire life spreading kindness and compassion, and helping people in need! She is a shining example of goodness and love in the world! 

Happy Birthday, Mom!!! We love you!!! https://t.co/RI1lydc36k",en,Tweet,0,13,0,4,482,2025-09-21 19:33:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ZAI0UWMAAZE5X.jpg
'1969192848386822487',"On #NationalTradesmanDay, we honor the men and women whose skill and grit built Western New York and our nation.

Thank you for your craftsmanship, your union strength, and your commitment to moving our region forward.

As a proud member of @Labor_Caucus, I’ll always fight for your rights and livelihoods.",en,Tweet,1,4,2,5,471,2025-09-20 01:12:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NationalTradesmanDay,,,
'1969151514951471522',"Attention all high school students: Interested in applying to a service academy? 

Join my office and the Office of @SenGillibrand on October 2 at 6:00 PM for our annual Service Academy Night. Learn about the application process and hear directly from Service Academy representatives.",en,Tweet,0,2,2,0,312,2025-09-19 22:28:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PU3b9XsAAUZui.jpg
'1969105520381309370',"I had the privilege of joining @RepJeffries and @SpeakerPelosi to honor Bob Fischer, a fellow South Buffalo native whose steady presence for House Democrats has been appreciated by all for nearly forty years.

Through the passage of landmark legislation, presidential addresses, and moments of national triumph and tragedy, Bob has been behind the scenes doing the critical legwork that often goes unnoticed.

Congratulations on your retirement Bob – I wish you nothing but the best!",en,Tweet,0,3,1,1,476,2025-09-19 19:25:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OqKcpWUAAHoTd.jpg,https://pbs.twimg.com/media/G1OqLOyW0AA9mEQ.jpg,https://pbs.twimg.com/media/G1OqNEFXUAAnqSx.jpg,https://pbs.twimg.com/media/G1OqO_8XAAEWOhq.jpg"
'1969068285929914600',Democrats are united to #CanceltheCuts. https://t.co/QBAAWMLXdk,en,Tweet,1,4,1,2,358,2025-09-19 16:57:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CanceltheCuts,,video,https://video.twimg.com/amplify_video/1969067751051345920/vid/avc1/1080x1920/oMxkadqjZ69t9Z6t.mp4?tag=21
'1968729026861875629',"Trump’s FCC pressure campaign to cancel Jimmy Kimmel’s late night show is a deeply troubling and un-American abuse of power. In this country, free speech is a fundamental, constitutionally protected right.

We continue to see a dangerous pattern from this administration: using public office not to serve the people, but to punish critics. Government intimidation of broadcast networks and censorship of alternative viewpoints puts us on a dark path that we must all come together, regardless of party, to resist as Americans.

Our democracy is founded on the principle of being able to openly debate ideas, even controversial or unpopular ones, without fear of political violence or government retribution. I’ll always stand up for the First Amendment and against any attempt to weaponize the government against free expression.",en,Tweet,0,5,1,6,411,2025-09-18 18:29:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
