tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969075980326285462',"Busy week in Washington! Check out some highlights 👇🏽

✅@GOPoversight held a hearing titled “Oversight of the District of Columbia.” 
✅I met with incredible constituents and advocacy groups during fly-in visits. 
✅I spoke at the South Carolina Prayer Breakfast, Bon Secours forum, and the ETA Fintech Policy Forum– highlighting faith, health care, and innovation in our economy
✅ We advanced the CAMPS Act (H.R. 5163) through the @GOPoversight Committee. 🇺🇸",en,Tweet,0,14,1,2,599,2025-09-19 17:27:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,"https://video.twimg.com/amplify_video/1969075912038617088/vid/avc1/1080x1350/khLGualCMwgRpT3N.mp4?tag=21,,,"
'1968774943400694177',"Do YOU think 4 years is enough for MURDER?

DC’s top prosecutor does. 

@GOPoversight https://t.co/8m7yuDXZBX",en,Tweet,7,157,58,32,7749,2025-09-18 21:31:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968774854800252928/vid/avc1/1280x720/Z27s90mcnnum0-6L.mp4?tag=21
'1968392162099282297',"After years of Biden-Harris inflation, this rate cut was long overdue. President Trump &amp; @HouseGOP are delivering relief—making homeownership, small business growth, and jobs attainable again! 🇺🇸",en,Tweet,0,105,29,25,16654,2025-09-17 20:10:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968352587390095446',"Big win for the Upstate! 💥

Woodward, Inc. is investing $200 million and creating 275 new jobs right here in Spartanburg County with a brand new aerospace manufacturing facility in Greer.

Welcome to the Upstate, Woodward — we are glad you’re here! 🇺🇸✈️ https://t.co/KTi4AO8Ag1",en,Tweet,0,23,7,5,959,2025-09-17 17:33:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1D-PyIWwAkD7R9.jpg,https://pbs.twimg.com/media/G1D-PyPWwAYwGIw.jpg"
'1967999053087773174',"This morning’s prayer breakfast could not have come at a more critical time. 

Thank you, @SenatorTimScott, for leading the annual South Carolina Prayer Breakfast. https://t.co/Kc7MI8Mow8",en,Tweet,2,84,6,4,7501,2025-09-16 18:08:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-8tRgXUAARMpO.jpg
'1967963751157756394',"This is far from over. 

Celebrating an assassination is pure evil, and anyone in a taxpayer-funded classroom who engages in this filth must be held accountable. 

We will not tolerate political violence being normalized in our schools.",en,Tweet,2,36,7,3,2223,2025-09-16 15:48:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967716009667858860',We are not the same. https://t.co/fgE1UGeYFb,en,Tweet,41,1257,274,47,23335,2025-09-15 23:23:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G067R9MXoAAPPlA.jpg,https://pbs.twimg.com/media/G067R9EWkAAGGuE.jpg"
'1966604440191787137',"Absolutely disgusting that Clemson professors would celebrate the assassination of Charlie Kirk. 

Anything short of firing them is unacceptable.",en,Tweet,129,17405,3380,596,275669,2025-09-12 21:46:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966575404593938728',"Pleased to announce that the CAMPS Act (H.R. 5163) successfully passed @GOPoversight Committee. ✔️ 

This bill restores safety and dignity to Washington, D.C. Under President Trump’s leadership, we are advancing an America First agenda to make our nation’s capital clean, safe, and welcoming again. 🇺🇸 

🔗: https://t.co/xaNN8y1fVt",en,Tweet,2,38,3,11,2038,2025-09-12 19:51:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966238363142471844',"🚨 FIRED! Radical politics in the classroom ends here. Teacher fired. Students protected. Accountability delivered.

@foxcarolinanews 
https://t.co/3NDE7RnGyM",en,Tweet,13,517,91,35,43880,2025-09-11 21:32:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxcarolina.com/2025/09/11/upstate-teacher-leave-lawmaker-demands-answers-about-charlie-kirk-post/,,
