tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970594023128601082',"Had a great tour of MoFi’s Independent Building yesterday and an even better discussion about community financial development.

My Expanding Access to Capital for Rural Job Creators Act directs critical research and resources to the same businesses and entrepreneurs that MoFi is working to assist. Proud to have groups like this in MT-02 driving growth and success.",en,Tweet,0,6,1,0,132,2025-09-23 22:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1jqb9vXQAAKAP3.jpg,https://pbs.twimg.com/media/G1jqb90XgAAubMH.jpg"
'1970579288052138180',"Big Sky Country is gaining a real advocate in Bill Warden.

Look forward to working with him to ensure the rural communities I represent have the resources and opportunities they need to thrive.",en,Tweet,0,5,1,0,185,2025-09-23 21:01:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970502502433919442',"I toured Intermountain Residential in Helena to see firsthand the critical support they provide for children and families across Montana.

For 116 years, this facility has offered care and resources to help children facing behavioral health challenges. That’s quite the legacy! https://t.co/CWiDt1VjFa",en,Tweet,0,3,1,0,169,2025-09-23 15:56:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ihkD5XUAA_510.jpg
'1970295802384748599',"To those Montanans observing Rosh Hashanah, I wish you a joyful year ahead. https://t.co/OXVDCzsbkq",en,Tweet,0,4,1,0,159,2025-09-23 02:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ehQW6XUAAZiNW.jpg
'1970261833299673263',"Honored to attend today’s veteran auto donation in partnership with Wells Fargo and the Military Warriors Support Foundation in Helena.

@WarriorsSupport’s Transportation4Heroes program provides veterans with safe, reliable vehicles to help restore their independence and improve their quality of life.

Congratulations to retired U.S. Army Special Forces Major Rick Wertzand and thank you for your service to our nation.",en,Tweet,0,4,1,0,175,2025-09-23 00:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1e99OOWsAARpBI.jpg,https://pbs.twimg.com/media/G1e-EpTW4AAhMNp.png"
'1970240529809186965',"🗞️Learn more below 👇
https://t.co/NfQeEvpvP9",en,Reply,0,0,0,0,140,2025-09-22 22:35:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://downing.house.gov/media/press-releases/downing-secures-23-million-shodair-childrens-hospital,,
'1970223891269247063',"Today, I joined CEO Craig Aasved to announce that my office was able to secure $2.3 MILLION from the IRS for Shodair Children’s Hospital to continue its work serving Montana’s youth.

This outcome is a shining example of the impact constituent services can make in our communities.",en,Tweet,0,10,3,1,665,2025-09-22 21:29:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1eQzzjXQAAeAqw.png,https://pbs.twimg.com/media/G1eRTNvXYAEQa41.jpg"
'1970214054519013621',"Extraordinarily pleased to see additional personnel sent to the Crow Service Unit so that my constituents have the resources to improve health outcomes.

Thanks to @HHSGov for recognizing the needs of Montana’s tribal communities 🤝
https://t.co/R51eBXCDGy",en,Tweet,0,3,1,0,151,2025-09-22 20:50:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.hhs.gov/press-room/hhs-dispatches-70-public-health-officers-tribal-communities.html,,
'1969835256372240808',"Right now, Americans across the country celebrate the life and legacy of Charlie Kirk, a true God-fearing patriot and giant of the conservative movement.

By trying to silence him, his voice has only grown louder. Rest in the arms of our Lord and Savior, Charlie.",en,Tweet,0,4,0,0,245,2025-09-21 19:44:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968787957642379525',"As a state regulator, I strongly favor allowing states to lead on regulation where feasible. At the same time, it's essential that AI has the legal and regulatory flexibility to promote innovation.

📺 Watch my questions to our @FinancialCmte witnesses on AI regulation 👇 https://t.co/69C06oWOEP",en,Tweet,0,7,3,12,1163,2025-09-18 22:23:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968787607241789440/vid/avc1/1920x1080/frhXva7zfmpSmGjg.mp4?tag=21
'1968767998837342665',"I was the unplanned pregnancy of an unwed teenage mom. Her strong Christian values gave me a chance at life, and those same values guide the way I live every day.

Honored to share God’s impact on my life at today's 2025 Values Action Team Summit. Thanks to @SpeakerJohnson and VAT Chair @Robert_Aderholt for a great event.",en,Tweet,0,10,1,1,355,2025-09-18 21:04:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1J4BloW0AEd4Gd.jpg,https://pbs.twimg.com/media/G1J4CU1XgAALy_5.jpg"
'1968727034705670292',"Today, my staff and I joined @The_USO to pack care packages for service members stationed around the world. As a veteran, I understand what these small reminders of home will mean to the men and women overseas defending our freedoms. https://t.co/wVSo4vxaxV",en,Tweet,0,14,3,1,370,2025-09-18 18:21:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JSpWzW0AA3y3P.jpg,https://pbs.twimg.com/media/G1JSpXMWAAAUWJz.jpg,https://pbs.twimg.com/media/G1JSpW4W0AAJp1x.jpg"
'1968683820049129830',"Last night I joined the GW College Republicans to honor the life of Charlie Kirk. 

I had the privilege of meeting Charlie and hosting him at my home in Montana. It was clear then and it is clear now that his movement is unstoppable.

Now is not the time to back down, it’s time to stand firm and carry his legacy forward. 

Grateful to GWCRs for hosting such a moving tribute.",en,Tweet,0,8,2,0,262,2025-09-18 15:29:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1Iq_AJXcAAMNQb.jpg,https://pbs.twimg.com/media/G1IrFdRXMAA5_8o.jpg,https://pbs.twimg.com/media/G1IrGP9XQAA5gTK.jpg,https://pbs.twimg.com/media/G1IrHIcW8AAKYX_.jpg"
'1968664361792065864',"Happy Birthday to my beloved Air Force!

Aim High.. Fly- Fight- Win https://t.co/8YAcilUNPn",en,Tweet,0,13,2,2,237,2025-09-18 14:12:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1IZRs2XsAAgWQO.jpg
'1968445407983186327',"This week, @HouseGOP voted on measures to keep DC safe... and nearly every Democrat voted no.

It's beyond ludicrous that the left refuses to acknowledge the crime plaguing America's cities and protect the people of our nation's capital. Out of touch doesn't begin to describe it.",en,Tweet,0,4,1,1,175,2025-09-17 23:42:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968364133885104461',"Thanks to Steve Sheffels of Montana Grain Growers Association and Nathan Keane from @wheatworld for making the trip to DC today!

Montana’s wheat and barley producers are a cornerstone of the Treasure State’s agricultural economy. I look forward to continuing to work with you to best represent your interests in Washington.",en,Tweet,0,5,1,1,198,2025-09-17 18:19:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EIvtyWUAAYsDp.jpg
'1968339951768031505',"TRIA ensures coverage for acts of terrorism remains available and affordable in the wake of 9/11.

The program is overseen by the vestigial Federal Insurance Office, the existence of which violates the McCarran-Ferguson Act.

As our @FinancialCmte witnesses attest, eliminating FIO would have no effect on this critical program.

📺👇",en,Tweet,0,9,4,1,1533,2025-09-17 16:43:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968339463517442049/vid/avc1/3840x2160/wfKbsUvD_c8Z-QUE.mp4?tag=21
'1968307937585295759',Nothing brings Montanans together like good coffee and good conversation. ☕️ Great to see everyone at Montana Coffee today! https://t.co/LCyaZ7zC1D,en,Tweet,0,7,1,1,179,2025-09-17 14:35:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1DVbiSW4AA2jue.jpg,https://pbs.twimg.com/media/G1DVnOmXsAAeHT3.jpg,https://pbs.twimg.com/media/G1DVn_kWoAAUp14.jpg"
