tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970556623753216283',Great joining @realjonslavet on the State of Gold podcast for an important conversation about California’s energy crisis. Watch the full episode here: https://t.co/4cUkb41i3a https://t.co/bYdrPj1hMC,en,Tweet,1,4,2,5,216,2025-09-23 19:31:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://youtu.be/ZSKe990Shc0?si=FrxSVvcevF7M-q3r,video,https://video.twimg.com/amplify_video/1970556548729458688/vid/avc1/1580x886/y0pfF06cbMi8gUyw.mp4?tag=21
'1970495934506082469',"Water is life in California’s Central Valley — which is why I’ve introduced the Water Infrastructure Resiliency Act in partnership with @RepChrisPappas.

This bipartisan bill will strengthen community resilience and ensure our water infrastructure is built with modern technology to better manage and protect this precious resource. 

Continuous investment in water storage and innovation is essential for the wellbeing for our families, farmers, and future generations.

Learn more: https://t.co/5VDJPknE9w",en,Tweet,0,2,0,3,135,2025-09-23 15:30:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969799515009093731',"Today, as our nation mourns the loss of Charlie Kirk, we honor the remarkable legacy he leaves behind. 

May God bless Erika, their two children, and the entire Kirk family.

Charlie’s unwavering faith, conviction, and love for America will never be forgotten and his impact will live on forever.",en,Tweet,2,180,20,29,8325,2025-09-21 17:22:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1YiN09a0AAaz3E.jpg
'1969097398556200966',"While Gavin Newsom is finally acknowledging the importance of Kern County’s oil production, the damage from his anti-energy agenda is unmistakable—refineries shuttered, pipelines abandoned, reservoirs left untapped.

California now faces an energy crisis as his failed policies drive refineries out of business, block critical infrastructure, and scare off investment—forcing families to endure gasoline shortages and higher prices.

Newsom is scrambling to fix the disaster he created. Energy policy can’t be built on soundbites. Californians deserve real solutions, not political theater.",en,Tweet,12,568,189,27,8435,2025-09-19 18:52:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969062263270076697',"Today, I voted to keep the government open and working for the American people. 

H.R. 5371 will prevent a government shutdown while Congress works to responsibly finish the appropriations process. 

@HouseGOP remains committed to delivering real results for families and communities nationwide.",en,Tweet,0,5,1,1,212,2025-09-19 16:33:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ODsUUWUAA1NDT.jpg
'1968744791912382741',"(2/2) In Congress, I will continue to advocate for Armenia’s sovereignty, support the safe return of displaced families, and hold Azerbaijan accountable for its actions.

To our Armenian-American community members — thank you for your invaluable contributions to California’s Central Valley.",en,Reply,0,4,0,0,130,2025-09-18 19:31:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968744684152402059',"(1/2) California’s Central Valley is home to one of the largest and most vibrant Armenian-American communities in the nation. 

As a proud member of the Congressional Armenian Caucus, it was an honor to join @ANCA_DC to commemorate two years since Azerbaijan’s assault on Nagorno-Karabakh, which displaced 150,000 ethnic Armenians.",en,Tweet,0,9,2,2,878,2025-09-18 19:31:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Ji2dJXsAA5Elz.jpg,https://pbs.twimg.com/media/G1Ji2dHW4AAZBQU.jpg,https://pbs.twimg.com/media/G1Ji2dTXoAAb6yx.jpg"
'1968404830201762120',"This week, I introduced the National Science Foundation Artificial Intelligence Education Act of 2025.

As emerging technologies like AI reshape the global economy, it’s critical that rural communities, like those in California’s Central Valley, are empowered.

Thank you to @CSUBakersfield for endorsing this critical bill.",en,Tweet,0,5,2,1,183,2025-09-17 21:00:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EtwtKXwAA0hOJ.jpg
'1968361861780488551',"Today we celebrate 238 years since the signing of our U.S. Constitution 🇺🇸

To honor Constitution Day, I’m offering free pocket-sized Constitutions to all constituents of California’s 20th District.

Request yours here: https://t.co/CPP5uMC7DL https://t.co/j4C9zeTlkq",en,Tweet,0,7,1,1,112,2025-09-17 18:10:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://fong.house.gov/media/blog-post/request-your-pocket-constitution,video,https://video.twimg.com/amplify_video/1968361774878457857/vid/avc1/1080x1920/fcRP59ISKwQYsDbl.mp4?tag=21
'1968048273790583101',Always an honor to preside over the House as Speaker pro tempore and help guide proceedings on the floor! Thanks for having me @SpeakerJohnson 🇺🇸 https://t.co/WOzbHD3pFB,en,Tweet,0,3,0,0,128,2025-09-16 21:24:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_peaKWoAAq_cj.jpg
