tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970562539969818838',"Hope this helps! 

@RepJasmine @RepWesleyBellMO https://t.co/5cU6xcDM2r",en,Tweet,1,119,24,18,15901,2025-09-23 19:54:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jXsqCXYAAB6kK.jpg,https://pbs.twimg.com/media/G1jXsp3WwAAWmVt.jpg"
'1970535210673414164',"Democrats’ proposal to add $1.5 trillion to the debt—and threatening a government shutdown if they don’t get it—is outright appalling.

Make no mistake: If this is how they plan to proceed, it will lead directly to a  #SchumerShutdown.",en,Tweet,2,261,91,98,11475,2025-09-23 18:06:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#SchumerShutdown,,,
'1970515082326220903',"The Biden Admin's censorship enterprise was out in full force to silence speech they didn't like. 

Google is now reversing these unAmerican censorship decisions AND implementing safeguards to ensure it never happens again. 

A HUGE win for Americans' First Amendment rights!",en,Tweet,0,2,2,6,411,2025-09-23 16:46:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970179720328135082',"Incredibly proud of @OHStateParks for being named the #1 state park system in the NATION! 
https://t.co/pHP1ZbtLcE",en,Tweet,0,4,0,4,221,2025-09-22 18:33:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.whio.com/news/local/ohio-state-parks-receive-award-excellence-best-nation/FDFXAVUH2JCFHIF277VVPOG4FA/,,
'1969116255002014207',"My NARCO Act will refocus our State Department to ensure that our efforts are focused on dismantling cartels and other international criminal orgs. 

We MUST put national security and law enforcement effectiveness at the heart of our foreign policy! https://t.co/oOElzXUyPo",en,Tweet,0,5,0,9,307,2025-09-19 20:07:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969116146554048512/vid/avc1/1000x1080/EZW8c6jkXvPTOh8h.mp4?tag=21
'1969108125622964525',This year’s reauthorization will entirely revamp the State Department’s focus and ensure that America’s resources are reflecting America’s interests!🇺🇸,en,Reply,0,2,0,2,248,2025-09-19 19:35:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969108123509006345',"- Defunded pro-censorship non-profits that harass conservatives.

- Banned the State Department from removing foreign officials due to pro-life policy views. 

- Commissioned a report on free speech rights and censorship in NATO ally countries.",en,Reply,0,2,0,3,266,2025-09-19 19:35:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969108121424429239',"- My Dollar Dominance Act to strengthen the U.S. dollar’s status as the world’s primary reserve currency.

- Elements of my NARCO Act to enhance our approach to combatting cartel organizations.",en,Reply,0,1,0,4,57,2025-09-19 19:35:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969108119386042751',"Last night, @HouseForeignGOP passed legislation to reform the State Department in order to advance an America First agenda. A few big wins included below⬇️",en,Tweet,0,5,2,5,348,2025-09-19 19:35:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969067930957521278',"The Patriot Act and Bank Secrecy Act both diminished Americans’ privacy under the false guise of protection. 

That’s why any serious conversation about AI MUST start with protecting privacy.

Those who would sacrifice essential  liberty for temporary safety deserve neither! 

@FinancialCmte",en,Tweet,0,9,1,4,213,2025-09-19 16:55:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969063192203509760/vid/avc1/824x460/icF0WVhyAM2IsmJW.mp4?tag=21
