tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970631884360355852',"Good to see Serbian President @avucic again today in New York. We discussed the Strategic Dialogue our two nations will launch soon and U.S. participation in EXPO 2027, both opportunities to further strengthen our bilateral relationship as we seek to build a better future together.",en,Tweet,95,4956,964,464,236745,2025-09-24 00:30:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1kWiGVbgAA-mbU.jpg
'1970578673905607122',"The UN has not been there for us as a country. For months, @POTUS brokered peace in major world conflicts without any help being offered to him.

The UN has tremendous potential, but it is not living up to it. Strongly worded letters are just empty words. Actions end wars. https://t.co/fhvLmJceQK",en,Tweet,1277,72263,15698,8412,2067210,2025-09-23 20:59:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jmaV-aoAQ0pOd.jpg
'1970567264228507922',Excellent meeting with International Telecommunication Union’s Secretary General Doreen Bogdan-Martin where I reiterated the strong support the United States has for her re-election to lead the ITU. Global networks and digital technologies are becoming increasingly critical for the world economy. Doreen’s leadership will promote economic growth and innovation.,en,Tweet,47,3982,643,217,117898,2025-09-23 20:13:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jcU2VWMAA197N.jpg
'1970542595668623563',"Incredible speech at the UN from @POTUS.

He's setting the model for the free world. Strong borders and energy dominance are what make America great. Every nation must stand against unmitigated immigration disasters and fake energy catastrophes.",en,Tweet,701,63033,10950,8040,1483281,2025-09-23 18:35:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970528582385705305',https://t.co/QJn8qBfNR8,zxx,Tweet,212,21872,3349,1037,442472,2025-09-23 17:39:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1i5QGOXAAAic6m.jpg
'1970265351561846957',I met with Japanese Foreign Minister Iwaya Takeshi and Republic of Korea Foreign Minister Cho Hyun. Our trilateral partnership is critical to promoting peace and stability in the Indo-Pacific and to advancing economic and security cooperation. https://t.co/ojNPyq1C7c,en,Tweet,115,8870,1294,515,277649,2025-09-23 00:14:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1e_kmPXEAA1CxW.jpg
'1970252576429072537',"Wishing Jews around the world celebrating Rosh Hashanah a shanah tovah! Even during difficult times, the strength and perseverance of the Jewish people have never wavered. We remember their continued resilience and unite in prayer for a sweet new year.",en,Tweet,288,33798,4007,2969,795539,2025-09-22 23:23:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970213328740930035',"Met with Indian External Affairs Minister @DrSJaishankar at UNGA. We discussed key areas of our bilateral relationship, including trade, energy, pharmaceuticals, and critical minerals and more to generate prosperity for India and the United States. https://t.co/5dZJAd85Za",en,Tweet,86,6308,783,530,379750,2025-09-22 20:47:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eUn8EWUAA8m0h.jpg
'1970204953776926931',I met with Syrian President al-Sharaa about our shared goals for a stable and sovereign Syria and ongoing efforts to bring security and prosperity to all Syrians. We also discussed implementing President Trump’s historic announcement on sanctions relief and the importance of Israel-Syria relations.,en,Tweet,1275,21215,2776,6113,2977881,2025-09-22 20:14:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1eRBh3WcAIUnzd.jpg
'1970198047976989170',"The United States is sanctioning a key support network of human rights abuser Alexandre de Moraes, to include his wife and their holding company, Lex Institute. Let this be a warning to others who threaten U.S. interests by protecting and enabling foreign actors like Moraes: you will be held accountable.",en,Tweet,1083,72487,14915,6419,2667600,2025-09-22 19:46:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968451578831994893',".@POTUS’s vision of peace through strength continues to guide our policy in the Middle East. Encouraged to see progress on the Suwayda roadmap, which seeks to advance accountability, reconciliation, justice for victims of atrocities, and minority rights in Syria.",en,Tweet,85,5746,891,703,323977,2025-09-18 00:06:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968022014960271383',Joining President Trump on his second State Visit to the UK—the only President to ever receive this honor. I plan to meet with Foreign Minister Cooper to talk about our two nations’ ongoing cooperation on a number of issues. https://t.co/sEhATgWqHd,en,Tweet,268,20466,2843,1755,1027036,2025-09-16 19:39:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_RhZHXwAAdsj5.jpg
'1967961196184908079',"The U.S.-Israeli relationship is very strong. I came here because the President wants all the hostages out, all 48 of them, living and deceased. And he wants this conflict to end. That is our priority. https://t.co/ZuzpVsXks1",en,Tweet,532,23166,3499,6388,1199746,2025-09-16 15:38:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967960949383389184/vid/avc1/1080x1920/I8s3dXZtO_j9hwya.mp4?tag=21
'1967922516308959369',"Met with Qatari Amir Sheikh @TamimbinHamad and Prime Minister and Foreign Minister @MBA_AlThani_ in Doha today. We reaffirmed the enduring U.S.-Qatar security partnership and our shared commitment to a safer, more stable region. I thanked him for Qatar’s ongoing mediation efforts to broker a peace deal between Israel and Hamas and to bring the hostages home.",en,Tweet,336,11704,1794,2775,1028414,2025-09-16 13:04:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G09w0mrXwAA6kSW.jpg
'1967784061721776521',"America will not host foreigners who celebrate the death of our fellow citizens. 

Visa revocations are under way. If you are here on a visa and cheering on the public assassination of a political figure, prepare to be deported. You are not welcome in this country. https://t.co/dQys2OAeK7",en,Tweet,3492,174791,30419,12731,5000466,2025-09-16 03:54:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967782021528186880/vid/avc1/1920x1080/s_5bRDSjlIbNw4T9.mp4?tag=21
'1967736379171016830',Sobering to meet with the families of hostages during my visit to Jerusalem. Their stories are heartbreaking and unfathomable.  This war has gone on long enough.  Hamas must immediately release all the hostages: living and deceased. https://t.co/lNrR2IdNhg,en,Tweet,145,13556,2371,2390,359472,2025-09-16 00:44:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G07NyfIXEAAa_iy.jpg
'1967698172647797226',The Pilgrimage Road is an enduring cultural and historical bond between the United States and Israel. It's a powerful reminder of the Judeo-Christian values that inspired America’s Founding Fathers. https://t.co/o18ubpDqrT,en,Tweet,268,8957,1428,3984,588825,2025-09-15 22:12:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G06rCvKWgAAOmrF.jpg,https://pbs.twimg.com/media/G06rCvYXMAA-2FS.jpg"
'1967660941220385060',"Once a society loses the ability of people with strong disagreements to engage in discourse, then the only option you're left with is either silence or violence, neither of which is acceptable. https://t.co/yexs2g1Vj7",en,Tweet,502,29364,4924,2607,526469,2025-09-15 19:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967656393323761664/vid/avc1/1920x1080/Vy5k3vQk-FodFooP.mp4?tag=21
'1967653767912079515',"Hamas are not agents of peace, but agents of terror and barbarism. They are still holding 48 hostages and using civilians as human shields.

Let me be clear: as long as Hamas exists, there will never be peace in this region. https://t.co/TSWKZ2SLhf",en,Tweet,1154,62201,11977,11865,4326663,2025-09-15 19:16:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967653330529796096/vid/avc1/1920x1080/M-z01AO7dJyK055T.mp4?tag=21
'1967641527368233309',"In my meeting today with President @Isaac_Herzog, I reaffirmed the United States’ steadfast support for Israel and Israel’s security. We talked about the situation in Gaza and our joint efforts to secure the release of all remaining hostages. It is critical that all of the remaining hostages are freed and that the remains of those who have perished in captivity are returned to their families.",en,Tweet,187,10699,1708,2764,395191,2025-09-15 18:27:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G053PzsXcAADRog.jpg
'1967269061794165099',"Honored to visit the @westernwall_il in Israel’s eternal capital, Jerusalem, with @USAmbIsrael Huckabee and @IsraeliPM Netanyahu. https://t.co/djQw7W0fiH",en,Tweet,796,28721,3797,8630,3046502,2025-09-14 17:47:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G00kyP2XgAAxLJ8.jpg
'1967227411990536668',"Happy 70th Birthday @Pontifex.

May the Holy Spirit continue to bless and guide you, Pope Leo XIV. https://t.co/T0R8C3ay46",en,Tweet,232,27018,2962,1264,519124,2025-09-14 15:02:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0z-53dXoAAu2X3.jpg
'1966947658083209434',"On my way to Jerusalem. My focus will be on securing the return of hostages, finding ways to make sure humanitarian aid reaches civilians, and addressing the threat posed by Hamas.

Hamas cannot continue to exist if peace in the region is the goal. https://t.co/60DWTkLSfC",en,Tweet,644,46856,7057,7894,1887667,2025-09-13 20:30:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0wABNsW0AAOD5S.jpg
'1966557879009157135',The U.S. stands with our Philippine ally in rejecting China’s destabilizing plans to establish a “national nature reserve” at Scarborough Reef. This is yet another coercive attempt to advance China’s interests at the expense of its neighbors and regional stability.,en,Tweet,239,14059,2267,953,561185,2025-09-12 18:41:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966257934129864715',"The political persecutions by sanctioned human rights abuser Alexandre de Moraes continue, as he and others on Brazil's supreme court have unjustly ruled to imprison former President Jair Bolsonaro.

The United States will respond accordingly to this witch hunt.",en,Tweet,2280,98043,21122,18434,7235788,2025-09-11 22:49:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966135884446577002',"On the 24th anniversary of September 11th, we remember the lives lost, the bravery of first responders, and the unity that defined America in the face of tragedy.

Let us honor their memory by remaining vigilant and inspired to protect our nation and its values. https://t.co/ymZMRjrvy6",en,Tweet,359,27716,4733,1240,621078,2025-09-11 14:44:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966134518663835648/vid/avc1/1920x1080/B-sqDBL4xqYfmgib.mp4?tag=21
'1965881272234029174',Jeanette and I are devastated. Charlie Kirk's commitment to America's future generations and sense of patriotism will resonate for decades to come. May the Lord bless Charlie and his family.,en,Tweet,1202,151896,16988,3585,2089094,2025-09-10 21:53:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965559469175140585',"Elizabeth Tsurkov is free. Less than a week after @POTUS signed an executive order to strengthen efforts against hostage diplomacy, Princeton student Elizabeth Tsurkov has been released and will be reunited with her family. We thank @IraqiPMO Sudani for his support in freeing Elizabeth. This is peace through strength in action.",en,Tweet,163,14628,2380,606,567678,2025-09-10 00:34:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965093686049374362',"Cyber scam centers in Southeast Asia stole over $10 billion from Americans last year. In response, today @USTreasury sanctioned individuals and entities linked to cyber scam centers in Burma and forced labor operations in Cambodia. Our actions will disrupt their cruel victimization of Americans online.",en,Tweet,821,35231,6773,2024,1685817,2025-09-08 17:43:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1964074610145603764',".@POTUS’s new Executive Order delivers unprecedented action to protect Americans from wrongful detention abroad. Designating State Sponsors of Wrongful Detention sends a clear message: If you attempt to use an American as a bargaining chip, you will face severe consequences.",en,Tweet,358,23893,5239,1484,1302745,2025-09-05 22:14:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
