tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970295202569998656',Wishing a sweet and joyful new year to all those celebrating around the world tonight. Shanah Tovah!,en,Tweet,3,546,77,246,42498,2025-09-23 02:12:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970240273461502217',"Donald Trump wants you to be afraid.

But more and more, there are examples of everyday courage that should give us reason to hope. https://t.co/59bFipQQS2",en,Tweet,40,2372,549,1849,69741,2025-09-22 22:34:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970236453377429504/vid/avc1/1920x1080/sp5fcjqNF05MBRbL.mp4?tag=21
'1970162498792718492',"Donald Trump is making every possible effort to silence and intimidate his critics, and anyone else who stands up to him.

I won’t back down. https://t.co/IO2OMxBXFp",en,Tweet,74,6876,1579,2652,110820,2025-09-22 17:25:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970162362855432192/vid/avc1/1280x720/24hgK5r2fkrgV_2i.mp4?tag=21
'1969836198873932079',"Who takes $50,000 in cash in a bag if they're doing something legitimate? https://t.co/FDSUtrBI3M",en,Tweet,213,16105,3678,4742,319192,2025-09-21 19:48:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969833093293920256/vid/avc1/1280x720/ZaF_5eBCUJtQoOQ1.mp4?tag=21
'1969794792184803492',"Today, I join Armenians in California and around the world in celebrating the 34th anniversary of the independence of the Republic of Armenia.

While the road to independence has never been easy, time has proven that Armenians are survivors – survivors of foreign domination and survivors of the first genocide of the 20th century.

The Armenian community continues to illustrate what an essential part of the national fabric they are, breaking new ground socially, economically, and politically across the nation.

I stand with the Armenian people, always.",en,Tweet,11,500,91,446,46161,2025-09-21 17:04:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969773571338571800',"Kash Patel wants you to believe the Bureau of Prisons’ decision to move Epstein’s co-conspirator to a minimum security prison after her interview was… a coincidence.

His false testimony is an insult to the intelligence of the America people. https://t.co/SLUoD2gbTc",en,Tweet,431,26935,6351,3004,438068,2025-09-21 15:39:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969773105477279745/vid/avc1/1920x1080/tt2rpAmZ1PK1ydi8.mp4?tag=21
'1969577975713534027',"There’s no hiding the political retaliation and weaponization. 

It’s all out in the open. https://t.co/5MF3z0ZSK5",en,Tweet,1033,38950,8168,9982,1409848,2025-09-21 02:42:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1VYuxMWIAAv_Eb.jpg
'1969508887641391584',"Border Czar Tom Homan was caught by the FBI accepting bribes - on camera - to deliver government contracts in exchange for $50,000 in cash.

Pam Bondi knew.

Kash Patel knew.

Emil Bove knew.

And they made the investigation go away.

A corrupt attempt to conceal brazen graft.",en,Tweet,3178,95468,23614,17456,2874320,2025-09-20 22:08:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969223464553750909',"The attack on Jimmy Kimmel is yet another page in the dictator's playbook. 

When will my more of my Republicans colleagues recognize that traveling down this road does not end well for any of us? https://t.co/Wdgzsl3rDW",en,Tweet,119,6282,1317,5608,193679,2025-09-20 03:13:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969211063678685184/vid/avc1/3840x2160/07b4XjMCKK-DzmTQ.mp4?tag=21
'1969187879755878577',"Blowing up boats in the Caribbean without any legal authority risks dragging the United States into another war, and provoking attacks against American citizens.

I'm getting ready to force a vote with @SenTimKaine to ensure Congress' power to declare war is not so easily trampled.",en,Tweet,80,4290,1194,3470,298462,2025-09-20 00:52:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
