tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970590369411727756',"Democrats have a plan to keep the government open and protect your health care costs from skyrocketing.
 
Republicans voted against it. 
 
All because Trump would rather shut down the government than lower your health care costs.",en,Tweet,15,616,270,1406,23639,2025-09-23 21:45:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970553652743143537',https://t.co/KSGk7dt3FJ,zxx,Reply,1,23,5,17,2582,2025-09-23 19:19:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2025/09/23/us/politics/tom-homan-democrats-investigation.html,,
'1970553649274171784',"Trump’s Border Czar, Tom Homan, was caught on camera accepting a $50,000 bribe from FBI agents. 
 
Then Trump’s Department of Justice shut down the investigation. 
 
Democrats are demanding answers. https://t.co/1X0zoY1o38",en,Tweet,6,282,141,534,32822,2025-09-23 19:19:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jQGX7W8AA_Qza.jpg
'1970311646771060766',"Shana Tova to everyone celebrating Rosh Hashanah!
 
May you and your loved ones have a sweet new year filled with happiness and good health. 🍯🍎",en,Tweet,3,61,11,29,4214,2025-09-23 03:17:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970278207929868362',Senate Democrats are fighting to make sure every family can get the health care they deserve without going broke.,en,Tweet,5,288,86,554,25870,2025-09-23 01:05:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970263257547219027',"California has spoken: we’ve had enough of masked, unidentifiable agents terrorizing our communities. 
 
Now it’s time for Congress to take action and pass my VISIBLE Act.",en,Tweet,11,1767,415,1560,75177,2025-09-23 00:05:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970244276823928893',"If Republicans were serious about free and fair elections, they’d join our effort to unrig election maps. Everywhere.
 
My Redistricting Reform Act bans mid-decade redistricting and requires that maps in every state are drawn by independent commissions to ensure that our future is decided by voters –– not politicians.",en,Tweet,2,330,108,543,12337,2025-09-22 22:50:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970223671001391507',https://t.co/Ie8BjbK3w3,zxx,Reply,0,11,6,3,2026,2025-09-22 21:28:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2025/09/22/business/dealbook/h1b-visa-trump-india.html,,
'1970223667570500053',"A $100K H-1B fee is self-sabotage. Driving away the world’s best minds only kills jobs and hands our edge to our competitors. 
 
Trump continues to kneecap American innovation and weaken our economy. https://t.co/qj1k85ZMDL",en,Tweet,1,74,25,162,4820,2025-09-22 21:28:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ej--sXYAAwXOb.jpg
'1969756224867713482',"Democrats don’t want a shutdown.

We offered a plan to keep the government open and protect healthcare. Republicans killed it.

We won’t rubber-stamp this president’s unconstitutional power grabs. If Republicans choose a shutdown, that’s on them. https://t.co/EamcVNiPOo",en,Tweet,38,2122,699,2344,44704,2025-09-21 14:30:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969755957606359040/vid/avc1/1080x1920/s9RItuODMwm-biBF.mp4?tag=21
'1969546764769243621',"Trump’s Border Czar Tom Homan took a $50,000 bribe from undercover FBI agents during an investigation. 

What did @AGPamBondi and @FBIDirectorKash do once Trump took office? 

Shut it down. Because corruption is at the core of this Administration — starting in the Oval Office.",en,Tweet,17,1978,665,640,31055,2025-09-21 00:38:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969135705776668845',"BREAKING: Senate Republicans just voted against extending funding to lower your health care premiums. And millions of Californians will pay the price with skyrocketing insurance costs. 
 
They’d rather shut down our government than work with Democrats to stop your health care costs from soaring.",en,Tweet,5,238,96,623,11540,2025-09-19 21:25:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
