tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970635493193732380',"Ryan Routh was found guilty on all charges following his attempted assassination against @POTUS. 

As Florida’s Attorney General, I fought to hold this man accountable at the state level, and the Biden administration repeatedly attempted to stonewall our efforts.

The @TheJusticeDept and @USAO_SDFL deserve our gratitude for their successful prosecution of a man whose attack was an act of political violence against President Trump and our nation.",en,Tweet,5,467,86,24,6911,2025-09-24 00:44:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970554520615698872',"Iran’s nuclear threats, its malicious ballistic missile attacks, and support for terrorism threaten the entire international community. I commend the actions of the United Kingdom, France, and Germany for initiating snapback sanctions against Iran, and join my colleagues in urging these nations to keep economic pressure on Iran to ensure the permanent dismantlement of its nuclear program.

Read more below⬇️
https://t.co/H2UfSQG2bg",en,Tweet,0,82,13,11,3015,2025-09-23 19:23:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970523337236586756',"I'm proud to cosponsor the Military Spouse Hiring Act. Military spouses make countless sacrifices alongside our servicemembers, and we need to ensure they can find work when ordered to move along with their spouses.",en,Tweet,3,95,14,13,5208,2025-09-23 17:19:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970238295797121030',"L’Shanah Tovah U’Metukah! Wishing all of our friends, family, and neighbors who observe a sweet and happy new year! 🍎🍯🎉 https://t.co/r4StiTycT5",en,Tweet,1,41,8,9,2255,2025-09-22 22:26:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1exSPxWEAAOmdp.jpg
'1969091183214227645',"Today is National POW/MIA Recognition Day.

We honor the brave men and women who were prisoners of war and those still missing in action. We pray for their families and stand with them in remembrance.

May God bless them and may we never forget. https://t.co/N7RRF1lRte",en,Tweet,3,77,12,12,2584,2025-09-19 18:28:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Od_uJW4AA-caL.jpg
'1968796356568588600',"Through his writing, public speaking, and media presence, Charlie Kirk reached millions of United States citizens, inspiring the next generation to become active participants in civic life. We will miss him, and he leaves a large legacy to uphold. 
 
I’m proud to say our resolution honoring Charlie Kirk’s birthday as a National Day of Remembrance has passed the Senate unanimously. We will continue our prayers for Charlie’s family and this nation.",en,Tweet,4,228,33,32,6215,2025-09-18 22:56:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968752950374969525',"I was deeply disturbed to hear a witness suggest that President Trump ""claimed"" thousands of children went missing under the Biden administration. 

A grand jury of everyday Americans concluded that the Biden administration facilitated the forced trafficking of children. SHOCKINGLY we learned, that the grand jury’s report was verified by the Biden admin and they buried it and did NOTHING.

That is why I’m urging my colleagues to support the Stop GAPS Act — a bill to ensure that unaccompanied minors are placed in properly vetted, safe homes. This is about safeguarding the welfare of vulnerable children. We must act NOW.",en,Tweet,558,8657,2072,175,375722,2025-09-18 20:04:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968752598237712384/vid/avc1/886x492/LANPrFjP5eNw4Of6.mp4?tag=21
'1968711628922241405',"Happy Birthday, @usairforce!

Celebrating 78 years of protecting our nation with #Airpower. Today, we honor all the incredible Airmen who have served our nation--thank you!

#AFBirthday",en,Tweet,1,72,11,10,3015,2025-09-18 17:20:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Airpower,#AFBirthday",,,
'1968696671308538357',"ICYMI: “I am glad to see a President who takes seriously his role as Commander-in-Chief, and knows full well: you cannot ensure meaningful liberty and prosperity for your people unless you, first and foremost, protect the sovereignty of this nation and stamp out those who wish to do Americans harm.” @POTUS",en,Tweet,5,395,53,31,8131,2025-09-18 16:20:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968695573625638912/vid/avc1/1280x720/8I0v7QDMFAPjAav4.mp4?tag=21
'1968463044893155718',"Today, I had the joy of celebrating Constitution Day with some great Americans!

Happy Constitution Day! https://t.co/nkcY3llwKW",en,Tweet,7,446,62,49,8499,2025-09-18 00:52:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968462922729885696/vid/avc1/1280x720/EGHrsJg-Xz1QgZhG.mp4?tag=21
'1968451939802227063',"Devastating news coming out of Pennsylvania this evening where 3 law enforcement officers were killed in the line of duty. 

Justin and I are asking you to join us in keeping their families and those currently in critical condition in your prayers.",en,Tweet,2,170,20,21,5022,2025-09-18 00:08:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968443299351482665',"Former CDC Director Monarez showed up to today’s @GOPHelp hearing with anti-Trump attorneys that proceeded to pass her notes and whisper in her ear as she testified. I asked her to name them for the record, she refused.  🧐 https://t.co/H8oz1Ea8iI",en,Tweet,860,23190,6145,1079,483503,2025-09-17 23:33:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968443105050267648/vid/avc1/960x540/a6PEjxowWdyfSfDY.mp4?tag=21
'1968422178568671233',"$86.5 million worth of illegal e-cigarettes seized — the vast majority originating from China.

Thank you, @POTUS, @AGBondi, @CBPCommissioner, and @SecKennedy for your bold action in stopping the influx of illicit e-cigarettes and helping protect our children from these dangerous products.

https://t.co/raVlYft4sr",en,Tweet,4,176,37,22,5364,2025-09-17 22:09:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968408306281599084',"Military spouses play an integral role in supporting our servicemembers who receive relocation orders every few years in defense of our national security. Now, it is time we have these spouses’ backs in return. I’m proud to fight on behalf of our military families and cosponsor the Military Spouse Hiring Act.

Read more below ⬇️ 
https://t.co/zsGjAP8TuI",en,Tweet,1,99,16,8,3619,2025-09-17 21:14:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968364468603150841',"Students and families should understand the full weight of taking out student loans, and I am proud to cosponsor the STUDENT Act to bring more transparency to this process and empower students to make the best choice for their financial future.

Read more below ⬇️ 
https://t.co/yZmB8PxZpN",en,Tweet,3,95,12,17,3427,2025-09-17 18:20:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968101934986039432',"The state of Florida owes its deepest gratitude to Sheriff Bill Farmer for his lifetime of service and faithful leadership.

We honor his remarkable legacy in Florida law enforcement and offer our prayers to his family and all who served alongside him. May God bless you, Sheriff.",en,Tweet,3,212,37,72,6998,2025-09-17 00:57:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968072783872626970',"Today, I joined @RepAaronBean for a tele-townhall where I had the privilege of reporting back to my bosses in Northeast Florida. I also got to share some of my legislative priorities—from passing the HALT Fentanyl Act to supporting the Kids Online Safety Act and the Safer Truckers Act.

As Florida's newest U.S. Senator, I am committed to fighting for the Sunshine State and all who call it home!

Visit https://t.co/NVIDFMnucm to learn more.",en,Tweet,5,92,7,35,5444,2025-09-16 23:01:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0__w7VXoAEA1tn.jpg
'1968054657651183696',"I had the honor of hearing from @FafFentanyl and how this drug has personally affected their loved ones. In recent months, we've made significant progress in combatting this scourge, including the passage of the HALT Fentanyl Law, but our work is not done. I remain committed to working every day to keep this deadly illicit drug out of our communities and our country.",en,Tweet,2,59,8,7,4222,2025-09-16 21:49:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_vRyPW8AAKFUv.jpg
'1967947723199627273',"Florida is #1 in Education Freedom—4 years in a row!

The Free State of Florida continues to lead the nation, championing universal school choice and parental rights.

We also ranked #1 in Civic Education, Academic Transparency, and Teacher Freedom!",en,Tweet,1,113,16,51,16131,2025-09-16 14:44:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967712217983549637',"Happy 37th annual National Truck Driver Appreciation Week! 

Truckers are the backbone of our nation’s supply chain—this week, we proudly celebrate and thank the 3.6 million professional drivers who keep our shelves stocked and our economy booming.",en,Tweet,3,69,12,14,4215,2025-09-15 23:08:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967668007984926762',"Desde la fundación de San Agustín por los españoles, hasta las comunidades de hoy día en Tampa, Miami, Orlando y Cayo Hueso, la historia de nuestro estado ha sido forjada por generaciones de familias hispanas.

Tanto como Fiscal General y ahora como la nueva Senadora de la Florida, me enorgullece seguir trabajando con nuestra comunidad hispana para que nuestro estado sea más libre, seguro y próspero. ¡Feliz Mes de la Hispanidad!",es,Reply,0,20,1,1,1656,2025-09-15 20:13:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
