tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970571367977542006',"Welcome to Alaska, @SpaceForceCSO! Alaskans are incredibly proud of our courageous service members—the 300 protecting 300 million.",en,Tweet,0,25,6,3,1533,2025-09-23 20:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970550016453579259',Thanks to Trill Gates and Your Alaska Link TV for the opportunity to discuss my work in the Senate on major issues impacting Alaskans—and the exciting momentum behind the Alaska Comeback! https://t.co/gSreBYXJ4l,en,Tweet,1,5,2,3,680,2025-09-23 19:05:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970549676035248128/vid/avc1/1002x562/QIN2--bEEuzvyWhR.mp4?tag=21
'1969070598979502333',"The CCP must release Jimmy Lai—a 77-year-old UK citizen and journalist—who’s spent 5 years in a windowless, airless cell for exposing CCP repression in Hong Kong. 

His health is failing. His only “crime” is telling the truth.",en,Tweet,1,22,9,12,2290,2025-09-19 17:06:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968808376717951261',Powerful reminder of Charlie’s impact.,en,Tweet,0,22,2,6,1512,2025-09-18 23:44:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968782762347020506',"Happy 78th Birthday, U.S. Air Force!

Alaska is the hub of American air combat power—home to over 100 fifth-generation fighters. We saw that strength on full display this summer as our courageous Airmen responded to numerous incursions by Russian aircraft operating in our Air Defense Identification Zone. And with $9 billion invested to build up our nation’s air superiority in the OBBB, we are further securing America’s skies like never before.

To our Airmen — Active Duty, Guard, Reserve, and veterans — and the families who support them: Thank you for standing watch. 🇺🇸",en,Tweet,0,19,4,5,1107,2025-09-18 22:02:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KE4t2XIAAIsuW.jpg
'1968704111345357034',"Just a month after sustaining the worst glacial flooding in its history, Juneau this week was monitoring yet another smaller outburst from Suicide Basin. @USACEHQ officials committed to providing short-, medium-, and long-term solutions to this serious recurring challenge. https://t.co/W9B94HXqGO",en,Tweet,0,6,1,6,700,2025-09-18 16:50:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968696858697453568/vid/avc1/1920x1080/_U5vAkUc0O7a3C5h.mp4?tag=21
'1968363591817384396',"America is in a race against the Chinese Communist Party for superiority in artificial intelligence. Today in @SenateCommerce, I pressed the nominee to lead the White House Office of Science & Technology Policy on just how important producing energy is for our ability to prevail in the AI race.",en,Tweet,1,11,1,6,985,2025-09-17 18:17:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968360710989320192/vid/avc1/1920x1080/MMCUeZf_ZnSETxXc.mp4?tag=21
'1967999952656969832',"Cartels flooded fentanyl across the country—including Alaska—under Biden’s open border. For 2 straight years, Alaska had the highest increase in the rate of drug overdose deaths—devastating kids, families, rural communities. The OBBB backs Trump’s border security with $46 billion for the wall & law enforcement.",en,Tweet,1,19,5,7,1211,2025-09-16 18:12:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967999003863166977/vid/avc1/1080x1080/3XwhXv1pcvtwhsPj.mp4?tag=21
'1967737620177490131',"Remembering a courageous young American, Charlie Kirk. https://t.co/859VhKmOwZ",en,Tweet,4,150,29,37,11925,2025-09-16 00:49:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967736757312688128/vid/avc1/1080x1920/Ycd_HgeLr695YwzR.mp4?tag=21
'1966200353432457318',"Twenty-four years ago, our country endured the most vicious terrorist attack in American history, which took the lives of 3,000 of our fellow Americans. On September 11th, we remember the mothers, fathers, sons, and daughters we tragically lost and reflect on the greatest qualities of the American people—courage, heroism and compassion—that shined through the darkness of that day. In particular, we honor the courageous first responders who risked their own lives to save others, as well as our brave military service members who brought the fight to the enemy and laid down their lives to protect our country. May God continue to bless the United States of America.",en,Tweet,0,9,0,7,1224,2025-09-11 19:01:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0lYzBgXQAAwf7W.jpg
'1966174241801572791',"September 11, 2001. Never Forget.",en,Tweet,1,9,2,2,2024,2025-09-11 17:17:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965898827329896943',"Political violence is abhorrent and has absolutely no place in our country. We may have differences, but we are all Americans. 

Charlie Kirk tragically died fighting for what he believed in: freedom—freedom of speech, freedom of thought, and freedom to organize. He not only championed those ideals, particularly for the next generation, he embodied them. The best way to honor Charlie’s memory is to keep challenging ideas, defending free speech, and pursuing open and civil debate that strengthens our society and our country. 

May Charlie rest in peace, and may God bless his young family.",en,Tweet,0,77,10,17,4898,2025-09-10 23:02:59,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1965857256291065877',"Sending prayers to Charlie Kirk, his family, and everyone at the event in Utah.",en,Tweet,1,218,33,18,17072,2025-09-10 20:17:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965831063676268937',"OBBB is a true jobs &amp; working families bill:

✅No tax on tips or overtime
✅Tax relief for seniors &amp; small biz
✅Child tax credit
✅Jobs from unleashing our natural resources https://t.co/TOi9goPqAz",en,Tweet,1,20,7,5,6449,2025-09-10 18:33:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965830612561879040/vid/avc1/1280x720/clpwEDL6cq-oO6_O.mp4?tag=21
'1965814264205316451',"The @AlaskaLNG Project will create thousands of jobs and deliver natural gas to Alaskans, America, our military &amp; allies abroad. @POTUS, @SecretaryBurgum, &amp; @SecretaryWright have been great advocates for this. Stay tuned for positive developments coming out of @GastechEvent. https://t.co/pqulzN01fU",en,Tweet,2,17,6,5,2059,2025-09-10 17:26:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965813957668515845/vid/avc1/1280x720/kXn8yEyuDvRWnapd.mp4?tag=21
'1965539011335979181',"Thank you, @SecRollins, for your strong support for Alaska’s fishermen and for bringing the healthiest, most sustainable seafood in the world to more Americans and markets beyond. 🐟",en,Tweet,1,10,4,2,1669,2025-09-09 23:13:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965509508572312006',"During his confirmation process, @HowardLutnick committed to being the “Godfather” of American and Alaskan fishermen. I commend the Secretary for keeping that commitment and for working with us to restore the competitiveness of our world-class seafood sector.",en,Tweet,0,8,6,5,1572,2025-09-09 21:15:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965482465520484453',"Glad to join @HowardLutnick, @SecRollins, Dr. Kevin Hassett, and my delegation colleagues at @CommerceGov for a very productive Alaska Seafood Roundtable this morning with a number or Alaska fishery and coastal community representatives. https://t.co/nOwnTkNjDQ",en,Tweet,4,14,2,4,926,2025-09-09 19:28:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965479827110330373/vid/avc1/1920x1080/La8ouOINLab4HnVE.mp4?tag=21
'1965441367976677412',My Protecting Regular Order (PRO) for Veterans Act was recently signed into law by @POTUS. This bill ensures basic accounting and accountability at the VA. America’s heroes deserve a VA held to the highest standard. https://t.co/52eaYR1hFI,en,Tweet,0,10,1,3,846,2025-09-09 16:45:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965441050412986368/vid/avc1/1280x720/0BlNqWoVjBmXvYV9.mp4?tag=21
