tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970531790529134989',".@SalveRegina’s new mobile health care unit is about ready to hit the road &amp; engage students in hands-on service in communities across RI. 

Proud to deliver $1.95M for this project to educate &amp; prepare health care and mental health professionals to serve communities in need. https://t.co/63Op2hnhFl",en,Tweet,0,6,1,2,799,2025-09-23 17:52:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1i8N3YWsAAOSCo.jpg
'1970320279298551943',"It’s a fact: Trump’s chaotic policies &amp; unforced errors are driving up prices &amp; inflation &amp; eating an outsize portion of Americans’ paychecks.
https://t.co/EWTGyL6efF",en,Tweet,0,10,4,6,1316,2025-09-23 03:52:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.washingtonpost.com/business/2025/09/21/inflation-utilities-housing-healthcare/,,
'1970224998003679266',"Shana tovah u’metukah &amp; best wishes to all who are coming together to celebrate Rosh Hashanah. May you and your loved ones enjoy a happy, healthy, &amp; sweet New Year! https://t.co/Tmvbk0rVyY",en,Tweet,1,7,3,0,969,2025-09-22 21:33:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1elKwaXYAEHTfw.jpg
'1970206854073422090',"POSITIVE DEVELOPMENT: A federal judge just issued a ruling that allows Revolution Wind project to resume work. This is a win for workers and should be upheld.
https://t.co/BNgB3QJspB",en,Tweet,0,18,1,7,1285,2025-09-22 20:21:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.bostonglobe.com/2025/09/22/metro/ri-revolution-wind-construction-continue/,,
'1969517052491665886',"Condemning the Trump Admin’s Attempt to Restrict Free Speech &amp; Freedom of the Press: “This is an ill-advised affront to free speech and freedom of the press..."" https://t.co/xHwU42gb8p",en,Tweet,0,12,1,8,1148,2025-09-20 22:40:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.reed.senate.gov/news/releases/reed-condemns-trump-admins-attempt-to-restrict-free-speech-and-freedom-of-the-press,,
'1969460994427469837',"More Senators, Democrat and Republican, voted for the Democratic healthcare &amp; budget plan. 

It’s high time for Trump and Republicans to negotiate. https://t.co/3ibSU8crZL",en,Tweet,0,7,0,5,760,2025-09-20 18:57:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1TuVgDWcAAHLln.jpg,https://pbs.twimg.com/media/G1TuVgQW8AABWch.jpg"
'1969154802929025250',"Democrats want Americans to be able to afford health care.  

It’s time for Trump to negotiate on the budget. https://t.co/AReCHXWuSX",en,Tweet,0,5,3,7,739,2025-09-19 22:41:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969151329915265024/vid/avc1/1080x1920/1vVDL_0-_t6PhSgF.mp4?tag=21
'1968849872359961030',Sometimes I like a little Milk Coffee with my coffee milk. https://t.co/phNHKq3x12,en,Tweet,1,12,1,4,1487,2025-09-19 02:29:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1LChkbXsAIzeoW.jpg
'1968780095511830736',"Regular Americans are struggling to afford health care, housing, and groceries &amp; Pres. Trump’s economy favors the ultra-wealthy.
 
It’s way past time for billionaires to pay their fair share. Our tax system is skewed to benefit the wealthy &amp; it must be fixed. https://t.co/5OEvOSmqp6",en,Tweet,0,8,1,7,884,2025-09-18 21:52:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KDEAVWcAA58wS.jpg
'1968766951234097645',".@NSF research investments boost economic development, attract top research talent to RI, &amp; strengthen U.S. competitiveness. Met w/ PVD-based @AmerMathSoc to discuss how NSF funding like recent $16.5M grant for @ICERM helps unlock discoveries &amp; solutions. https://t.co/slk0Wd00Cu",en,Tweet,0,4,0,7,717,2025-09-18 20:59:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1J3A-UWgAASPnr.jpg
'1968715530019225752',"Happy Birthday, @USAirForce! Forever grateful to the dedicated men &amp; women of the U.S. Air Force who selflessly defend our nation &amp; maintain U.S. air superiority. Thank you for your service! https://t.co/DwJSKwoRMC",en,Tweet,1,8,2,0,757,2025-09-18 17:35:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JIU4KXcAAPPgB.jpg
