tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970246763350237319',"Wishing Jewish communities in Nevada and around the world a happy, healthy, and sweet Rosh Hashanah spent with loved ones!

From my family to yours, Shanah Tovah!",en,Tweet,0,30,9,4,1563,2025-09-22 23:00:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970230730404848099',"This is good news – but it doesn’t change the fact that @BrendanCarrFCC unconstitutionally threatened networks just because he didn’t like what Jimmy Kimmel said.

Looking forward to bringing him before the Commerce Committee for a hearing to get to the bottom of this.",en,Tweet,3,26,4,29,2584,2025-09-22 21:56:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970211281597514128',"Proud of my Las Vegas team for joining 1,000+ other volunteers at @UWSN's 10th annual Day of Caring last Friday! Volunteers supported 50 local schools and nonprofits by cleaning up school gardens, creating hygiene kits, and refreshing parks across Las Vegas Valley. https://t.co/gTnh5ii9nF",en,Tweet,0,9,3,4,1155,2025-09-22 20:39:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1eYrxYXsAEpK5B.jpg,https://pbs.twimg.com/media/G1eYryYXIAIHWY0.jpg"
'1970178499395653733',"Nevada is home to millions of acres of beautiful public lands, and it’s our responsibility to protect them for everyone to enjoy.

Proud to work across the aisle to support a bill to address serious maintenance backlogs across our public lands and national parks so Nevada’s great outdoors can be enjoyed for generations to come.",en,Tweet,1,8,5,3,994,2025-09-22 18:28:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970149040496201808',I had a great discussion with @UrbanChamber leaders about how we can continue working together to support Las Vegas’ incredible small businesses and make sure they have the resources they need to succeed. https://t.co/LAhDckhp9h,en,Tweet,0,9,2,7,1142,2025-09-22 16:31:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dgEOwXMAYSnu0.jpg
'1969517956527697944',"Targeting law-abiding immigrant families while you yourself are allegedly conspiring to commit bribery is insanely hypocritical and outrageous, @RealTomHoman. Congress needs to get to the bottom of this — law and order shouldn’t be a partisan issue.",en,Tweet,0,22,11,27,2237,2025-09-20 22:44:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969465895878545882',"Proud to announce @SenCortezMasto and I have secured $5 million in federal funding to support the construction of a new workforce training center in Las Vegas!

The Eastside Education and Training Center will create thousands of good-paying jobs and give Nevadans the skills they need to succeed in industries ranging from advanced manufacturing to health care.",en,Tweet,0,19,5,6,1015,2025-09-20 19:17:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969181052108169579',"On POW/MIA Recognition Day, we honor our servicemembers who were taken as Prisoners of War and those who remain Missing in Action.
 
We will never forget the sacrifices of these brave men and women and will continue to uphold the values they fought to defend.",en,Tweet,0,10,6,4,927,2025-09-20 00:25:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969105447190737194',"I just voted YES on a bill to keep our government open and protect families' access to medical care.

Washington Republicans have gutted Medicaid and refused to extend enhanced ACA premium tax credits, and millions of Americans could lose their health insurance as a result.

Our health care system is under attack and we need action now to reverse the harm.",en,Tweet,1,10,2,83,25919,2025-09-19 19:24:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969098834648179000',.@tedcruz I'm glad you agree that what the FCC did is outrageous &amp; right out of Goodfellas. We have the power to do something. That's why I sent you a letter yesterday asking that you bring in @BrendanCarrFCC for an oversight hearing.,en,Tweet,2,16,5,9,1992,2025-09-19 18:58:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969066888140353728',"When HIV infections increase around the world, it puts the United States at a greater risk – and the Trump Admin’s reckless attempts to shut down programs supporting global HIV prevention efforts are dangerously shortsighted.

I’m introducing a bill to continue our leadership on ending the HIV crisis before it’s too late.",en,Tweet,0,20,5,8,3219,2025-09-19 16:51:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968795227503698031',"Today we celebrate the 78th birthday of the United States Air Force. Since its founding in 1947, the Air Force has defended our skies, advanced innovation, and protected American security at home and abroad.

From @NellisAFB and @Creech_AFB to the Nevada Test & Training Range and the 152nd Airlift Wing in Reno, Nevada is proud to play a key role in the Air Force mission.

I am so grateful for the courageous Airmen defending our nation. Happy birthday, @usairforce.",en,Tweet,0,12,4,3,960,2025-09-18 22:52:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968751217758322725',"This isn't about Jimmy Kimmel, it's about all of us.
 
The First Amendment isn't up for debate. https://t.co/FVYE6kziB9",en,Tweet,10,129,49,521,7427,2025-09-18 19:57:22,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968750674532868096/vid/avc1/2160x3840/JMaUHWa4Rhp75YKC.mp4?tag=21
'1968723524660392267',Read more: https://t.co/ownY5cw3eI,en,Reply,1,3,4,2,609,2025-09-18 18:07:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.thecentersquare.com/nevada/article_162c38bf-517f-417b-bcaf-65e9ed74dc81.html,,
'1968723522903056632',"Beginning in January, over 130,000 Nevadans could lose their food assistance – including veterans and parents with school-aged children – all because Washington Republicans cut SNAP benefits to pay for more billionaire tax breaks.

I won’t stop fighting to reverse these cruel cuts.",en,Tweet,0,7,4,9,816,2025-09-18 18:07:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968457399720714589',"The government censoring speech it disagrees with is what happens in dictatorships, not democracies. Every American, including @jimmykimmel, has the right to speak without government interference.",en,Tweet,14,413,165,1320,35573,2025-09-18 00:29:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968452760891736280',"¡Feliz Mes de la Herencia Hispana! Este mes celebramos la cultura, historia, y orgullo de nuestras comunidades latinas, que han contribuido tanto a nuestro gran estado.",es,Tweet,0,11,2,4,1183,2025-09-18 00:11:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968452010476191903',"Happy Hispanic Heritage Month!
 
I am honored to celebrate the culture, history, and pride of our Latino communities, who have contributed so much to our great state.",en,Tweet,0,8,3,2,932,2025-09-18 00:08:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968380205434814563',"Trump promised to bring grocery prices down “on Day One.”

Every time hardworking Nevadans visit the grocery store, they know that hasn’t been true. The numbers don’t lie. Trump’s cost-raising tariffs have driven grocery prices up. https://t.co/YYXF4Nb23o",en,Tweet,1,11,7,10,1044,2025-09-17 19:23:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EXTPeX0AAPejs.jpg
'1968349947109212516',"If RFK isn't listening to our nation's top medical experts, then WHO is he listening to when he makes critical decisions related to our health?",en,Tweet,2,34,21,12,7243,2025-09-17 17:22:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968055859113525508',"Parents expect their kids to bring home knowledge, not polio. Stories, not measles. To get smart, not get smallpox. 

Senate Republicans blocked my resolution reaffirming our commitment to keep children safe from these deadly diseases—but I won’t stop fighting to protect them. https://t.co/goteidzha7",en,Tweet,0,17,7,12,1073,2025-09-16 21:54:16,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968055328865464320/vid/avc1/480x854/vJp3frf9y9YNCcg5.mp4?tag=21
'1968001370512056326',"Between Trump’s cost-raising tariffs and Washington Republicans’ budget law that kicks Americans off their health insurance, hardworking families will have less money in their pockets – all while the ultra-wealthy get richer. https://t.co/CfKiHGhypQ",en,Tweet,0,4,3,5,716,2025-09-16 18:17:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0--v1hXsAAdyKl.jpg
'1967676719252611229',"Nevada’s universities rely on federal grants to provide essential services to ALL students in our state.

The Trump Admin is cutting these grants, leaving Nevada colleges without millions in critical funding.

I’m calling on @usedgov to reverse this harmful decision.",en,Tweet,0,13,3,14,1186,2025-09-15 20:47:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967625207847272701',"The Trump Administration just confirmed what we’ve known all along: they are not taking the steps necessary to combat online antisemitism. Instead, they’re pushing federal agencies to use an AI chatbot with a history of spreading antisemitic conspiracy theories. https://t.co/5nAFZKviWC",en,Tweet,0,15,5,13,949,2025-09-15 17:23:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1967624911263842308/vid/avc1/480x854/QkBIrVsYJWkDQBJO.mp4?tag=21
'1967282648411418654',"Nevada seniors shouldn’t have to break the bank to pay for their medicines, and that’s why I’m introducing a bipartisan bill to lower out-of-pocket costs for prescription drugs for those on Medicare.

I’m always working to bring down costs for Nevadans.",en,Tweet,0,17,3,12,1315,2025-09-14 18:41:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966622219825500669',"This week is World Suicide Prevention Week. I encourage everyone to learn more about the warning signs and resources for getting help if you or a loved one is struggling.

You matter, and you’re not alone. For support, call or text 988.",en,Tweet,0,16,7,14,1407,2025-09-12 22:57:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966582842885890399',"Always a pleasure to see my good friend @yairlapid and discuss the need for continued bipartisan support for Israel, ending the war in Gaza, the importance of bringing home the hostages, removing Hamas from power, and flooding in humanitarian aid. https://t.co/lIKlWUpNrs",en,Tweet,2,27,8,11,1433,2025-09-12 20:21:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0q0olwWkAAKep2.jpg
'1966532763005137270',"It’s always great to start the morning with Nevadans visiting the U.S. Senate!

Thanks to everyone who came out for another great Battle Born Breakfast this week. https://t.co/cbBxC5mkhx",en,Tweet,0,9,2,4,903,2025-09-12 17:02:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0qG-SBXIAIHLr7.jpg,https://pbs.twimg.com/media/G0qG-RUWYAAllZK.jpg,https://pbs.twimg.com/media/G0qG-RkWUAE2DAJ.jpg,https://pbs.twimg.com/media/G0qG-SUWQAAKOl5.jpg"
'1966196752542732430',"I had a busy August in Nevada, and I’d like to tell you about some of the things I did.

Check out the full video: https://t.co/1PtZdaNClJ https://t.co/Y3vFlMKWRD",en,Tweet,0,15,3,8,1183,2025-09-11 18:46:50,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,http://bit.ly/AugustRecessNV,video,https://video.twimg.com/amplify_video/1966196354180386816/vid/avc1/480x854/eRRc3IEcbWvzyArJ.mp4?tag=21
'1966143161367146892',"Today, we honor the nearly 3,000 lives lost on September 11, 2001, and the bravery of the first responders who risked everything to save others. We will never forget their sacrifice, and we remain committed to protecting our nation against terrorism.",en,Tweet,1,26,8,5,4624,2025-09-11 15:13:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965867474790039924',"I'm deeply disturbed by the news that Charlie Kirk was shot during an event in Utah. Political violence has absolutely no place in our country.

I'm praying for his recovery, and his family is in my thoughts.",en,Tweet,1,33,5,29,3843,2025-09-10 20:58:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965781264948211729',It is extremely alarming to see Russian drones violating the airspace of a NATO ally. Russian incursion into Polish airspace is further proof that Russia will always be a threat to NATO and why we must stand firm in our support for Ukraine.,en,Tweet,0,18,7,10,3895,2025-09-10 15:15:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965545109317169464',"I’m relieved to hear the news that Elizabeth Tsurkov has finally been released after being held hostage by extremists in Iraq for over two years. I've been proud to advocate for her release and applaud all the efforts that made this possible. 
 
My thoughts are with Elizabeth and the Tsurkov family as they reunite, and I wish them peace and healing.",en,Tweet,0,15,1,7,1083,2025-09-09 23:37:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965516851657801914',"The Supreme Court’s disgraceful decision allowing Trump to racially profile during immigration enforcement is inexplicable and flat-out wrong. 
 
Instead of focusing on criminals, the Trump Administration is going to target law-abiding immigrants based on what they look like and the language they speak. This is unconstitutional and un-American, and I’ll keep fighting to protect NV families.",en,Tweet,0,9,6,14,1007,2025-09-09 21:45:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0brKN_XwAE4N4l.jpg
