tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970556802434535754',It was great to join @wyoffafoundation for the Blue Jeans Ball in Cheyenne last weekend. WY FFA members are community-driven & goal-oriented student leaders making a difference every day. Funds raised at this annual event support and strengthen the future of ag education across the state.,en,Tweet,0,12,4,2,1061,2025-09-23 19:32:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jS9ukW0AAHDrJ.jpg,https://pbs.twimg.com/media/G1jS9ugX0AAezp7.jpg,https://pbs.twimg.com/media/G1jS9uiWEAApwL6.jpg,https://pbs.twimg.com/media/G1jS9uqXAAAlqZC.jpg"
'1969912994067775525',It was a pleasure to spend the evening with the 90th Missile Wing as they celebrated the United States Air Force’s 78th Birthday in Cheyenne this weekend. Thank you for all you do to keep us safe and free. https://t.co/XCMKPfUm8e,en,Tweet,0,16,3,6,1647,2025-09-22 00:53:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1aJbS8XAAEtxdB.jpg,https://pbs.twimg.com/media/G1aJbS8W8AAeOeZ.jpg,https://pbs.twimg.com/media/G1aJbS_WcAAXhTJ.jpg"
'1969092333913137650',"The Senate rejected Chuck Schumer’s $1 trillion ransom payment. Democrats must now support the only bipartisan option on the table that will keep the government open. 

It’s not the time to solve Chuck Schumer’s political problem.",en,Tweet,9,1557,403,126,42731,2025-09-19 18:32:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969067507630706756',"Today, Senator Schumer has written not a Dear Colleague letter, but the biggest ransom note in American history. One trillion dollars in ransom for four weeks of keeping the government open. 
 
The Schumer Shakedown is designed to lead to a Schumer Shutdown. https://t.co/PvC58nOCnk",en,Tweet,259,9683,3071,629,167162,2025-09-19 16:54:11,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1969067137206489088/vid/avc1/1280x720/8gLaUr-g45d7ZEhS.mp4?tag=21
'1968818499444232392',".@SenateGOP is getting @POTUS’ nominees on the job. 

48 nominees just confirmed. ✅",en,Tweet,3,325,56,84,13430,2025-09-19 00:24:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968803429389603003',"This week, I welcomed the @CheyenneChamber back to our nation’s capital. Formed in 1907, this chamber has been responsible for Cheyenne’s continued success and business innovation. It was wonderful to hear how the One Big Beautiful Bill is helping businesses across southeast Wyoming.",en,Tweet,0,15,3,8,1608,2025-09-18 23:24:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1KYSHDWwAANBPI.jpg,https://pbs.twimg.com/media/G1KYSHHWwAAc7zw.jpg,https://pbs.twimg.com/media/G1KYSHNW8AAPZxe.jpg,https://pbs.twimg.com/media/G1KYSHNWwAA-3P1.jpg"
'1968758862678266227',"Democrats have a long and spirited history of wasting taxpayer dollars. This plan is no different. 

COVID bonus payments. Taxpayer funded healthcare for illegal immigrants. Foreign climate projects. This is fantasyland. https://t.co/mDNYZKg2t0",en,Tweet,23,1367,360,102,20756,2025-09-18 20:27:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968758016737468417/vid/avc1/1080x1080/Z9t2C1mUgBrrSWtA.mp4?tag=21
'1968725537460740206',Democrats want a ransom payment of over $1 trillion to keep the government open for just 4 weeks. https://t.co/mqkK6Pzw8l,en,Tweet,22,1216,649,506,20934,2025-09-18 18:15:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968725180189945856/vid/avc1/1080x1080/ZmllONAyOhq1hDjD.mp4?tag=21
'1968712197309153578',"Let's be clear, the Schumer plan is the shutdown plan.",en,Tweet,1,276,66,135,11066,2025-09-18 17:22:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968464729354932562',Another great example of how our One Big Beautiful Bill is unleashing Wyoming energy and will help lower prices for American families.,en,Tweet,1,27,4,10,3345,2025-09-18 00:58:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968381858418462873',"Democrat obstruction ends today. 

@SenateGOP will break the blockade and move America forward.

Tomorrow, we will vote on a group of 48 nominees that received bipartisan support. Democrats can vote no, but the obstruction is over. https://t.co/S4rJMfQGBt",en,Tweet,41,5323,1031,318,53050,2025-09-17 19:29:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968380557911334912/vid/avc1/1080x1080/8dyUYcnF5f-ucmDO.mp4?tag=21
'1968350817435766910',"Senate Republicans are ready to keep the government open.

Senate Democrats are preparing to shut it down.",en,Tweet,0,156,31,150,11205,2025-09-17 17:26:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967993986033041458',"Families from across America visit Wyoming to see our @NatlParkService. Under a #SchumerShutdown those plans will be forced to be canceled. Local businesses would lose revenue, park staffs would be reduced, and trash would pile up. 

That's what Dems are risking. https://t.co/Xy8VTT0FQy",en,Tweet,2,36,13,9,3098,2025-09-16 17:48:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#SchumerShutdown,,video,https://video.twimg.com/amplify_video/1967992063921684482/vid/avc1/1080x1080/FDsSLm9lK405udDX.mp4?tag=21
'1967058651686068390',There’s an impressive crowd today at War Memorial Stadium to cheer on @Wyo_Football at their second home game. It’s always wonderful to get to connect with so many friends from across the state. #GoPokes https://t.co/RYWTHhyK2J,en,Tweet,0,17,2,3,1957,2025-09-14 03:51:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#GoPokes,,photo,"https://pbs.twimg.com/media/G0xlagzX0AAU3PX.jpg,https://pbs.twimg.com/media/G0xlag9XwAAjINA.jpg,https://pbs.twimg.com/media/G0xlag5XIAA83cc.jpg,https://pbs.twimg.com/media/G0xlagwXkAAv0xW.jpg"
'1966629354625978617',Wyoming’s nurses have always stood out from the rest with their incredible work ethic and dedication to the patients they serve. It’s a pleasure to visit with the nurses each year at the annual Wyoming Nurses Association Conference. https://t.co/peXSuIdPpN,en,Tweet,0,19,4,0,2945,2025-09-12 23:25:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0re-DsXwAAurY-.jpg,https://pbs.twimg.com/media/G0re-D4W8AAhBko.jpg,https://pbs.twimg.com/media/G0re-D-W4AABUPv.jpg,https://pbs.twimg.com/media/G0re-D-W0AAhR-x.jpg"
'1966249878499323950',The Senate Democrats’ nomination blockade ends right now. https://t.co/nUFwTCLgbb,en,Tweet,32,2272,379,450,35992,2025-09-11 22:17:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966249749406752768/vid/avc1/1080x1080/1s8X9_AxRTHdfC2w.mp4?tag=21
'1966242325467746728',"For two centuries, most presidential nominees have sailed through this chamber by voice vote and by unanimous consent. That was the gold standard of advice and consent. Senator Schumer and Senate Democrats abandoned it. Instead of deliberation, Senate Democrats chose unprecedented delay. That ends now.",en,Tweet,13,808,125,231,210601,2025-09-11 21:47:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966169816873709682',"We must live as Charlie lived, with courage and with conviction. May God bless his family. May he rest in peace. https://t.co/P4dDCuQ5pK",en,Tweet,4,237,37,55,4314,2025-09-11 16:59:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966167755029172224/vid/avc1/1080x1080/IT27gVd0VOljXvtF.mp4?tag=21
'1966142307377488275',"Today, we remember and mourn the nearly 3,000 lives lost during the September 11th terrorist attacks. Our nation will forever remember the heroes who chose to put the lives of others above their own. #NeverForget https://t.co/vi0IsTdjxC",en,Tweet,0,26,3,9,1474,2025-09-11 15:10:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NeverForget,,photo,https://pbs.twimg.com/media/G0kjM0rWgAAszl4.jpg
'1965855160674168901',Prayers for @charliekirk11,en,Tweet,6,352,31,24,39072,2025-09-10 20:09:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965830164665004337',"Happy birthday to my friend and fellow senator for the great state of Wyoming, @SenLummis. It’s an honor to fight for Wyoming with you every day in the United States Senate. https://t.co/bS3SMtEdrw",en,Tweet,0,12,0,2,1175,2025-09-10 18:30:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0gHkZyXoAA_aV_.jpg
