tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970639063037194326',"I was honored to present my Small Business of the Week award to @MarcusLumber!

They have nailed it when it comes to building a legacy of quality service and for over a century, they’ve hammered out success through hard work, innovation, and Iowa grit. https://t.co/Bv0G6QeeEk",en,Tweet,0,29,3,6,3677,2025-09-24 00:58:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kdyCNWUAEb4Lj.jpg,https://pbs.twimg.com/media/G1kdyC8WUAAnfgH.jpg,https://pbs.twimg.com/media/G1kdyCSXYAAXpK1.jpg,https://pbs.twimg.com/media/G1kdyCLXwAA2hgF.jpg"
'1970583934900834465',"While hardworking Americans work double shifts to make ends meet, bureaucrats are double dipping – holding two jobs on the taxpayers’ dime without doing either.

I’m exposing these double-dealing bureaucrats, so the American people are not stuck footing the bill!",en,Tweet,1,213,66,44,8364,2025-09-23 21:19:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970562889770770840',Harvest is in full swing – please take time to stay safe out in the fields and on the roads. Thank you to our Iowa farmers who work hard every day to feed and fuel our nation!,en,Tweet,0,40,6,13,5025,2025-09-23 19:56:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970562886461464604',My Made in America Manufacturing Finance Act allows small businesses to remain competitive by giving business owners more capital to grow and employ more folks! https://t.co/IVTnOAmRpu,en,Tweet,0,27,5,4,2453,2025-09-23 19:56:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970562759411527680/vid/avc1/1280x720/2P3Pv95jn0yv-ryF.mp4?tag=21
'1970200044491174180',"God Bless @MrsErikaKirk!

In the face of heartbreak, Charlie’s strong message lives on.",en,Tweet,1,142,13,13,7710,2025-09-22 19:54:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970186830902702516',"More shameless, disgusting brutality from Iran-backed Hamas.

Our hostages – and their families – should no longer have to be subjected to this psychological warfare.
We must bring all the hostages home.",en,Tweet,0,97,15,25,7991,2025-09-22 19:01:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969832301509947431',"Thanks to all those who came out to my Service Academy Open House!  

Meeting excellent students interested in serving our nation is always an honor. 🇺🇸 https://t.co/PwLHgLzmSp",en,Tweet,0,48,3,8,4246,2025-09-21 19:33:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1ZABYHWEAAiUad.jpg,https://pbs.twimg.com/media/G1ZABYBWgAAOs0k.jpg,https://pbs.twimg.com/media/G1ZABX7XQAAf6ZH.jpg,https://pbs.twimg.com/media/G1ZABX-XAAAjUL9.jpg"
'1969154171069747640',Washington is always a better place when Iowans are in town! https://t.co/DPK5tYrD9X,en,Tweet,2,33,5,17,4255,2025-09-19 22:38:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1PXR6sbQAI1TYU.jpg,https://pbs.twimg.com/media/G1PXR6obQAAr-sK.jpg,https://pbs.twimg.com/media/G1PXR6pbQAAde8k.jpg,https://pbs.twimg.com/media/G1PXR6oasAAN10T.jpg"
'1969129309479534905',"The CCP will stop at nothing to infiltrate the U.S.

Thank you @RepBrianBabin for investigating this espionage, so we can put an end to it!

My INNOVATE Act would close loopholes to safeguard our research from China.
https://t.co/Rq1OuFecRx",en,Tweet,0,22,2,9,2583,2025-09-19 20:59:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://science.house.gov/2025/9/sst-leaders-express-security-concerns-over-foreign-theft-of-critical-cancer-research,,
'1969112613545288141',"Schumer's shutdown threat shows he bows to the far left instead of serving hardworking Americans.
 
While Republicans are working to keep the government open for the people, Democrats are obstructing to prevent us from eliminating waste.
 
Government inefficiency at its finest, folks.",en,Tweet,4,546,182,219,14493,2025-09-19 19:53:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
