tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970603366712820114',"We don’t need to pay the world to hate us if they’ll do it for free. 

Pass the DEFUND Act and get the US out of the UN.",en,Tweet,570,35200,9030,1734,556075,2025-09-23 22:37:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970561023066415290',"If Jimmy Kimmel missing a few nights because affiliate stations were appalled by his loathsome lies constitutes “the worst infringement on free speech” Jake has ever seen, he needs better glasses. https://t.co/JVc0Ckjolz",en,Tweet,10,452,116,42,14874,2025-09-23 19:48:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jWyiRXMAEH2Xm.jpg
'1970527076605469182',"Good health and fair winds, sir! Praying for you and your family.",en,Tweet,0,69,5,11,10388,2025-09-23 17:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970513024126489020',"I’m honored to be a part of the continuing Turning Point tour in Charlie’s honor. 

The forces of violence and division will not prevail. 

He will. 

We will.",en,Tweet,4,910,138,63,18411,2025-09-23 16:38:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970496246227050925',"Absolutely agree. 

We need to get the SAVE Act on President Trump’s desk ASAP!",en,Tweet,11,1187,354,71,22341,2025-09-23 15:31:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970280305727869305',"Wonderful to visit with @BYULaw students to discuss how Americans deserve laws made by their elected representatives instead of a faceless, unelected bureaucracy. 

Special thanks to Dean David Moore, the eminent Prof. Thomas Lee, and the incredible @BYU_FedSoc for hosting! https://t.co/PklCCBcIr5",en,Tweet,1,140,17,23,9333,2025-09-23 01:13:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fXfpGaoAQC6La.jpg,https://pbs.twimg.com/media/G1fXfo_aYAAzbdE.jpg,https://pbs.twimg.com/media/G1fXfpAbEAAqa7D.jpg,https://pbs.twimg.com/media/G1fXfpHaMAAhRh2.jpg"
'1970225786088235098',"With Chuck Schumer announcing that he plans to shut down the government rather than vote for a clean GOP bill, we should consider never allowing this situation to occur in the first place. 

The Eliminate Shutdowns Act is a way to stop these regular games of chicken.",en,Tweet,21,1654,518,322,40302,2025-09-22 21:36:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970208266702725160',"Symbolically recognizing something that does not exist, that will not further the cause of peace, over the objections of the USA (to which many of these countries owe their security) is a perfect encapsulation of the United Nations and a reason we should not be a part of it.",en,Tweet,4,341,81,91,27656,2025-09-22 20:27:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969086007774482873',"Gross. 

Millions of Americans see vigils and tributes on one side, slander and hatred on the other. 

They will continue to choose accordingly.",en,Tweet,42,3464,660,499,51753,2025-09-19 18:07:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968737284636766619',"From the end of World War II until the Obama administration, it was illegal for the US government to use the State Department’s foreign broadcasting apparatus to target American citizens.

The Charlie Kirk Act restores this safeguard against government propaganda.  

https://t.co/aBf9nAWJwo",en,Tweet,205,9677,2898,359,91158,2025-09-18 19:02:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
