tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970541821031002623',Sen. Ossoff on the continued threats to Georgians' health care and hospitals due to the Trump budget bill. https://t.co/wwINwf5G4j,en,Tweet,9,339,116,169,6305,2025-09-23 18:32:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970540226008293376/vid/avc1/1080x1080/yqD1KOGmwIwPtviG.mp4?tag=21
'1969102537602048024',Sen. Ossoff today voted for the Continuing Resolution proposal to keep the government open and extend key Affordable Care Act tax credits. Every Senate Republican present voted against that proposal after President Trump told Republicans not to work with Democrats in a process that requires bipartisan cooperation.,en,Tweet,4,90,36,58,4113,2025-09-19 19:13:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Onc0WXkAAt3Vu.jpg
'1969048818520891502',Sen. Ossoff on the human consequences of Trump's budget law. https://t.co/o3Wvho9cWp,en,Tweet,12,385,147,73,10017,2025-09-19 15:39:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969046877958971392/vid/avc1/1080x1080/dkHgfZmIqv9KGvlT.mp4?tag=21
'1968416950557540619',"“Trump’s tariff chaos is driving up prices for Georgia families, as expected, while making jobs harder to find as businesses are paralyzed,” U.S. Sen. Jon Ossoff said in a statement. “Stagflation is the risk and it’s hard to shake once it sets in.”

https://t.co/iZSpsf8oPa",en,Tweet,2,116,37,15,13962,2025-09-17 21:49:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.ajc.com/business/2025/09/metro-atlanta-consumers-grapple-with-higher-prices-on-food-other-goods/,,
'1968342514634748286',"""Hospital administrators say the bill, which included a $1 trillion cut to Medicaid funding, contributed to their decision to consolidate OB/GYN services.""

https://t.co/GDnmsjRK3N",en,Tweet,2,36,19,10,1900,2025-09-17 16:53:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://georgiarecorder.com/2025/09/17/rural-georgia-hospital-plans-to-close-its-labor-and-delivery-unit-in-part-due-to-medicaid-cuts/,,
'1968123984278425685',"Sen. Ossoff: ""It's not a mystery that in a flourishing society, the means of achieving health and long life are right accessible to all, and not just to those who live in the right place or have the means, especially when the disappearance of those services for the people is a result of the pursuit of other priorities, namely to further enrich those who already have the most.""",en,Tweet,5,120,38,19,3153,2025-09-17 02:24:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968123889470279680/vid/avc1/1080x1080/XqV4Z7n4JffKy7fR.mp4?tag=21
'1967655278746407152',Sen. Ossoff on rural Georgia hospitals ending health care services due to Medicaid cuts in the Trump budget law. https://t.co/MLQnAP7NS9,en,Tweet,48,1110,453,142,36344,2025-09-15 19:22:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967648403946352640/vid/avc1/1080x1080/ZlY9NDyq_GSvSH_0.mp4?tag=21
'1965811173384954009',Sen. Ossoff introduced the bipartisan American Energy Security Act with @SenBillCassidy to upgrade energy infrastructure across Georgia and the Nation. https://t.co/OieGziyxaB,en,Tweet,2,87,23,23,4537,2025-09-10 17:14:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0f2vexWMAEwH4N.jpg
'1963632155348599029',"Today, Sen. Ossoff demanded RFK Jr.'s resignation after months of the Trump Administration's attacks on the CDC. https://t.co/25nMgvaKcH",en,Tweet,34,1892,443,369,42619,2025-09-04 16:56:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1963630722188562432/vid/avc1/1080x1080/Mf9HziRs84C4jJib.mp4?tag=21
'1963318113132335520',WATCH: The bipartisan VA Home Loan Reform Act championed by Sen. Ossoff to protect veterans facing foreclosure and homelessness has been signed into law. https://t.co/E2l8h4tXrG,en,Tweet,11,298,89,194,99661,2025-09-03 20:08:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1963314986341523456/vid/avc1/1080x1080/OonrMiJS8_2MH_rG.mp4?tag=21
