tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970554875684757807',Lots of ways for us to feed hungry families. Not tracking how many there are… is not one of them.,en,Tweet,2,110,24,70,6561,2025-09-23 19:24:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970549291950170270',"1) Take food money from hungry families
2) Start trade war that drives up food costs
3) Stop tracking the # of hungry families
4) Declare hunger solved without actually feeding people",en,Tweet,4,194,77,98,11783,2025-09-23 19:02:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970532396073119761',"People can’t afford a 70% hike in their health insurance costs. They’re already barely scraping by as it is. That’s what we’re trying to solve.

Meanwhile, he’s throwing a temper tantrum because we are using our leverage to get a deal to SAVE AMERICANS’ HEALTH CARE.",en,Tweet,8,287,107,346,18960,2025-09-23 17:55:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970526391214248002',"Go ahead and ask Americans if they can afford a 70% hike in their health insurance premiums right now. See how that goes.

It’s a crisis in the making that we’re TRYING to avoid, but Trump is refusing to meet with us.",en,Tweet,10,738,307,810,36086,2025-09-23 17:31:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970498472508826034',For a guy who screams about the ‘Art of the Deal’ he sure doesn’t seem to understand that a deal involves two sides…,en,Tweet,4,446,113,402,31509,2025-09-23 15:40:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970238491163525136',To all Minnesotans gathering tonight at sundown to celebrate Rosh Hashanah: Archie and I are wishing you a sweet and meaningful New Year. Shanah Tovah!,en,Tweet,0,42,5,12,2773,2025-09-22 22:27:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970227801518149966',https://t.co/H7QHY4H5Ff,zxx,Tweet,1,166,22,78,11227,2025-09-22 21:44:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1envloWEAADNIu.jpg
'1970225256859058332',FREE SPEECH WINS 🦅🇺🇸,en,Tweet,1,271,24,641,29051,2025-09-22 21:34:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970195065839722745',"For months they’ve known they’d need our votes, and they did nothing. 

They watched this car crash in slow motion… and sat on their hands.",en,Tweet,2,70,15,29,6412,2025-09-22 19:34:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969054828174192783',"R’s: WE’RE GONNA KICK EVEN MORE PEOPLE OFF HEALTH INSURANCE

D’s: no

R’s: I CAN’T BELIEVE THEY’D DO THIS",en,Tweet,12,1141,265,184,58358,2025-09-19 16:03:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
