tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970624502653501516',"Important statement from @POTUS, and I agree. https://t.co/8CoSJ4IsvH",en,Tweet,1,29,7,17,3126,2025-09-24 00:01:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1kQbiJXYAA_hf2.jpg
'1970539700764266575',"Exciting news - Noblesville was selected by @USAGym as the site for its Training &amp; Wellness Center.

Congrats to @MayorJensen and the entire @NoblesvilleIN community.

https://t.co/2YgagxCMmp",en,Tweet,1,17,2,5,1827,2025-09-23 18:24:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.insideindianabusiness.com/articles/noblesville-lands-usa-gymnastics-headquarters-training-facility/,,
'1970530169434841508',"Great to see growing and broad support for the SHIPS for America Act.

We need to Make American Ships Again.

https://t.co/rq3pfigY9X",en,Tweet,0,11,3,4,1245,2025-09-23 17:46:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.reuters.com/world/us/unions-push-us-lawmakers-pass-ships-act-secure-shipbuilding-funding-2025-09-23/,,
'1970284512644133332',"Toured Corn Island Shipyard in Spencer County to learn more about its operations, Hoosier workforce, and manufacturing of custom barges. 

Passing my SHIPS for America Act will increase opportunities for American shipyards like Corn Island. https://t.co/Vrert2mXDe",en,Tweet,0,8,1,6,2003,2025-09-23 01:30:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fbUN8XsAAIWFv.jpg,https://pbs.twimg.com/media/G1fbUOHXoAA2CKB.jpg,https://pbs.twimg.com/media/G1fbUOHWgAAegio.jpg,https://pbs.twimg.com/media/G1fbUOBXIAA3BmJ.jpg"
'1970236255222014338',Shanah Tovah to all Hoosiers celebrating #RoshHashanah https://t.co/o6Um585Hyq,en,Tweet,1,10,3,5,1593,2025-09-22 22:18:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#RoshHashanah,,photo,https://pbs.twimg.com/media/G1evbp7W0AAKgIC.jpg
'1970190737808527842',Congrats to Yuri Kubo – a Columbus native and @LifeAtPurdue grad – on being selected to the @NASA 2025 Astronaut Candidate Class.,en,Tweet,1,21,4,4,3075,2025-09-22 19:17:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970134826444313013',"Homeownership is critical to strengthening families, building generational wealth, and cultivating stronger communities.
 
I introduced a bill to unlock more opportunities for Americans to become homeowners and invest in their future.
https://t.co/zRnfOLO4wd",en,Tweet,2,15,3,10,1791,2025-09-22 15:35:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.young.senate.gov/newsroom/press-releases/young-gallego-introduce-bill-to-help-first-time-homebuyers/,,
'1970131385647001664',"Important comments by my colleague on the Commerce Committee, Chairman Ted Cruz. As Americans, we must cherish and protect free speech.
https://t.co/vNZ0Jixyw2",en,Tweet,8,53,19,18,40142,2025-09-22 15:21:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.wsj.com/opinion/ted-cruzs-finest-hour-15be6e64?mod=hp_opin_pos_1,,
'1969596683437617361',I’ve watched a lot of Indiana football games but can’t remember a better win than that in a big game. Go Hoosiers!,en,Tweet,0,70,3,9,4399,2025-09-21 03:56:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969107152405921819',Congratulations to my friend Mike Waltz.,en,Tweet,0,11,1,6,2797,2025-09-19 19:31:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969096615156732375',"I joined @SecKennedy for a Long COVID roundtable focused on understanding and addressing this chronic condition impacting millions of Americans.

I am grateful to @HHSgov and Secretary Kennedy for making this conversation a priority and to our researchers and innovators for working diligently to support those facing these challenges.",en,Tweet,17,333,47,59,138409,2025-09-19 18:49:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OMtZqXIAApuaK.jpg,https://pbs.twimg.com/media/G1OMtZvW0AM6Qd7.jpg,https://pbs.twimg.com/media/G1OMuljXgAAYLSI.jpg"
'1969054886173048869',"I’ve laid out the start of an aggressive strategy, including my STRATEGIC Minerals Act, to encourage the Administration to build on this effort, collaborate with other countries, and reduce America’s exposure to China.
https://t.co/iZlOik5uda",en,Reply,0,2,2,1,945,2025-09-19 16:04:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.young.senate.gov/newsroom/press-releases/young-colleagues-reintroduce-bill-to-strengthen-critical-minerals-supply-chains/,,
'1969054884755353663',"International cooperation is how we drive China out of critical mineral dominance. Partnering with resource-rich countries will strengthen American supply chains.
https://t.co/VKihSipMBZ",en,Tweet,2,7,2,4,1146,2025-09-19 16:04:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.reuters.com/business/finance/ukraine-us-launch-fund-critical-minerals-projects-with-150-million-investment-2025-09-17/,,
'1969025318531789200',"Glad to join this effort to secure the release of journalist Jimmy Lai, who was arrested in Hong Kong five years ago for advocating for democracy.",en,Tweet,2,21,7,4,3033,2025-09-19 14:06:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968805715230986314',"Honored to highlight the @NSF Regional Innovation Engines program and celebrate its remarkable finalists, including @MSKimpact led by @IUICMH.

This effort combines Indiana’s world-class expertise in research, orthopedics, and manufacturing to drive better health outcomes and improve the talent pipeline.",en,Tweet,0,14,5,7,1656,2025-09-18 23:33:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KaU_sW0AAfcPo.jpg
