tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970636044182675577',"It took no time at all for Democrats to return to their hateful, dangerous rhetoric.

BEYOND disgusting, @KamalaHarris",en,Tweet,4,923,200,130,18180,2025-09-24 00:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970580931011584078',Trump Derangement Syndrome has reached an all-time high.,en,Tweet,10,1594,210,93,23331,2025-09-23 21:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970571369218965841',"MASSIVE for Montgomery and our great state.

Alabama continues to be a leading destination for innovation and cutting-edge technology.",en,Tweet,1,77,16,12,5848,2025-09-23 20:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970557223001551227',"Deeply saddened to hear about the passing of a true Auburn great and one of my former players, Rudi Johnson.

Rudi was more than just an elite running back. He was a true Auburn man on and off the field. My prayers are with his family and loved ones.",en,Tweet,4,1522,92,24,38688,2025-09-23 19:33:47,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1970525580815720713',"Thank you, @RealTomHoman, for leading the efforts to end Biden’s Border Disaster.

Our border is now SECURE.
https://t.co/OQvkrVozsF",en,Tweet,3,186,25,30,3421,2025-09-23 17:28:03,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://www.washingtonexaminer.com/news/3819612/homan-says-approximately-two-million-illegal-aliens-out-of-u-s/,,
'1970503058317586564',"Promises made, promises kept. 🇺🇸",en,Tweet,2,202,48,33,5471,2025-09-23 15:58:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970265174671269913',Excited to welcome @TPUSA to the Loveliest Village on the Plains in a few weeks.,en,Tweet,9,952,101,14,37686,2025-09-23 00:13:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970244446383153573',"Thank you @SecKennedy and @POTUS for restoring transparency to our health care system and caring for our kids.

We are MAKING AMERICA HEALTHY AGAIN.",en,Tweet,10,296,52,41,22774,2025-09-22 22:50:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970227606927573025',"ASU President Dr. Quinton Ross hits the nail on the head: the Trump admin’s investment in our HBCUs is a massive step into restoring academic success at our educational institutions.
https://t.co/gAl2VU4Uok",en,Tweet,0,54,11,7,2892,2025-09-22 21:44:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://yellowhammernews.com/asu-president-quinton-ross-trump-administrations-495-million-lifeline-to-hbcus-will-serve-americas-most-underserved/,,
'1970197704861999258',"Auburn’s Final Four run capped off a historic career for @CoachBrucePearl.

6 SEC championships, 2 Final Fours, 4-time SEC Coach of the Year, and the 2025 AP Coach of the Year.

Enjoy your retirement, Coach, you have earned it. War Eagle. https://t.co/DMwzPnqMQ1",en,Tweet,7,997,54,23,25046,2025-09-22 19:45:11,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1eMWtxXUAAb911.jpg
'1970155154537160976',"If you haven’t yet, take a few minutes and watch @mrserikakirk’s speech.
 
One of the most powerful examples of forgiveness and grace the world has ever seen.",en,Tweet,8,235,33,16,11135,2025-09-22 16:56:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969873031745904656',"Southern pine beetles have a disastrous impact on our forests, killing pine trees and decimating the economic value of our timber.

I’m proud to join @SenHydeSmith in the “Emergency Pine Beetle Response Act” to empower the USDA and landowners to remove damaged trees without burdensome government regulations.
https://t.co/Ehh95isgIH",en,Tweet,0,107,11,12,5649,2025-09-21 22:15:03,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1969838523688669497',"As we mourn the loss of Charlie Kirk, we also celebrate his life and legacy. His movement changed the lives of millions, and his memory will live on.

Please join me in praying for Erika and their two children as Charlie is laid to rest today.",en,Tweet,14,1944,270,36,23151,2025-09-21 19:57:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969777914599121089',"The Port of Mobile is one of the fastest-growing ports in the nation, and it is a huge economic driver for Alabama and the entire Southeast.

Thank you to the great folks at Alabama Port Authority for their excellent work managing and improving our vital port. https://t.co/rIOoXYXC1u",en,Tweet,0,136,14,7,4943,2025-09-21 15:57:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1YOjuNXQAAW0Q3.jpg
