tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970592068226723970',"Thank you, @SecRollins for empowering our foresters to prevent catastrophic wildfires. These projects in Idaho will protect our forests and keep our communities safe.",en,Tweet,0,16,5,25,2245,2025-09-23 21:52:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970551546564817177',"Idaho’s veterans answered the call to serve and shouldn’t have to contend with bureaucracy to access their earned benefits. As @SecVetAffairs continues to clear the Biden-era backlog he inherited, I’m working to make sure veterans with service-related, presumptive conditions receive the benefits they rightfully deserve. https://t.co/XktsFEAFRT",en,Tweet,0,17,7,35,1029,2025-09-23 19:11:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970528046370455740',It was a pleasure to welcome @EPALeeZeldin to @INL for the groundbreaking of the Oklo Aurora reactor. Idaho’s nuclear energy innovation is propelling American Energy Dominance! https://t.co/avFa2N5OC5,en,Tweet,0,19,5,35,1111,2025-09-23 17:37:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1i4z7kWIAApekY.jpg,https://pbs.twimg.com/media/G1i4z7iXEAATpYX.jpg,https://pbs.twimg.com/media/G1i4z7dXIAAFuzK.jpg"
'1970245605311058337',Vicki and I wish our Jewish friends a happy Rosh Hashanah! https://t.co/exW4M5Ogmo,en,Tweet,0,12,2,6,1024,2025-09-22 22:55:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e3716WMAA7zZw.jpg
'1970215673281536325',I had the honor of attending today’s groundbreaking of the Oklo Aurora reactor at @INL! Idaho continues to be at the forefront of nuclear innovation. https://t.co/XIncZ04uyi,en,Tweet,0,19,5,6,1111,2025-09-22 20:56:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,"https://video.twimg.com/amplify_video/1970215615559278592/vid/avc1/720x1280/1DT6e--rdvNnxEf7.mp4?tag=21,"
'1970130845991100615',Congratulations to Ted Garrish on his confirmation as Assistant Secretary for Nuclear Energy! He and @INL will do great things to advance nuclear energy.,en,Tweet,0,8,1,6,2058,2025-09-22 15:19:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969840959258059003',"Charlie Kirk had an incredible way of expressing himself that made him a great leader for the next generation. As a Christian with strong family values, Charlie was a role model for young people and all Americans. 

This loss is profound and hard to process. Vicki and I are continuing to pray for Erika and the Kirk family as they grieve this tragic loss. May Charlie rest in peace.",en,Tweet,7,178,29,21,23941,2025-09-21 20:07:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969071237424140373',"Idaho passed a law to protect women’s sports. Today, I submitted an amicus brief to the Supreme Court in support of Idaho’s law. Any attempt by the courts to rewrite Title IX protections throws away decades of progress made by women. Our daughters and granddaughters deserve better. https://t.co/5hUHmx0DiJ",en,Tweet,0,19,6,35,1420,2025-09-19 17:09:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969028973876170931',"Today, we remember the more than 300 Idahoans and 80,000 Americans that remain Prisoners of War or/and Missing in Action. Our thoughts are with these brave soldiers and their families every day, and we must keep fighting to bring them home. https://t.co/XugpXZozAU",en,Tweet,1,16,5,9,1093,2025-09-19 14:21:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1NkuhwWMAA-NZd.jpg
'1968805627599204617',Political games from Senate Democrats had gone on long enough. @SenateGOP just voted to confirm a backlog of 48 of President Trump’s nominees. There’s more to do. Let’s get to work! https://t.co/b9bQkKjt0K,en,Tweet,1,165,38,31,9476,2025-09-18 23:33:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KaSFnW8AA_vNg.jpg
