tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968719176471572938',"Today marks the 78th birthday of the @usairforce!

Alabama is the proud home of Maxwell Air Force Base, which serves as headquarters to Air University - the intellectual and leadership development center of the Air and Space Forces. 

Please join me in honoring the brave men and women that dedicate their lives to securing our skies and keeping our nation safe.",en,Tweet,0,8,0,2,625,2025-09-18 17:50:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1JH8FzXwAATz_w.jpg,https://pbs.twimg.com/media/G1JH-kFXQAciUCI.jpg,https://pbs.twimg.com/media/G1JH_l9XQAE5Gh6.jpg,https://pbs.twimg.com/media/G1JIEDLXQAoql89.jpg"
'1968444178121334806',"Thank you @AuburnU for making the right decision to fire the employees that mocked the death of Charlie Kirk. The decision to terminate these employees for their callous and inflammatory comments was proper and reflects well on the values represented by Auburn University and its leadership.

The glorification of political violence has no place in our country, but especially not in the classroom. 

I hope other institutions will follow suit.",en,Tweet,1,77,8,7,7995,2025-09-17 23:37:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968385760253591853',"On this #ConstitutionDay, let us remember the wisdom of our founders in crafting our Constitution that has served us well for 238 years by protecting our God-given rights, and let us rededicate ourselves to preserving the results of their wisdom for generations to come. https://t.co/22QgAAqFBX",en,Tweet,0,12,2,2,661,2025-09-17 19:45:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#ConstitutionDay,,photo,https://pbs.twimg.com/media/G1Eb6cDWIAAtobc.jpg
'1968046324760133958',"I had the pleasure of speaking with members of the Shelby County Chamber of Commerce this morning during their Washington, D.C. fly-in.

Thank you for coming to D.C. to highlight the strength of Shelby County communities and the success of their businesses, which continue to set an example for Alabama and beyond.",en,Tweet,0,4,0,0,424,2025-09-16 21:16:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0_ns7TWcAAJef5.jpg,https://pbs.twimg.com/media/G0_ns66WEAEglTv.jpg"
'1967976244919800272',"Congratulations Ethan Strand, a middle-distance distance runner from Vestavia Hills, for representing the United States at the World Athletics Championships in Tokyo.

I’m looking forward to seeing how he continues to represent the U.S. in the future and make Alabama proud! #AL06",en,Tweet,0,8,1,0,489,2025-09-16 16:37:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#AL06,,,
'1967628231999402108',"Outdated and burdensome regulations are stifling economic growth and sending American jobs overseas.

Tomorrow at 2 PM ET, I'm chairing a @HouseCommerce Environment Subcommittee Hearing to examine permitting reform under the Clean Air Act. 

Tune in here: https://t.co/s7FtvIVrrR",en,Tweet,0,8,2,4,849,2025-09-15 17:35:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://x.com/i/broadcasts/1dRJZaoZapbGB,,
'1966145188511822282',"May we never forget the nearly 3,000 lives lost and the bravery of our first responders on this tragic day 24 years ago. 

While September 11 is a sobering anniversary for our nation, I hope we'll remember how Americans embraced unity in the face of hardship as an example for the present.",en,Tweet,2,59,7,20,6643,2025-09-11 15:21:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kkGmVXgAACifX.jpg
'1965887674280972715',"Senseless acts of political violence have no place in our country. 

Ann and I are heartbroken to hear about the passing of Charlie Kirk. He was a strong advocate for conservative values and impacted the lives of countless students through Turning Point USA. Please join us in lifting his family, friends, and loved ones in prayer.",en,Tweet,1,31,2,2,2785,2025-09-10 22:18:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965854206872662101',"Ann and I are praying for Charlie Kirk, who was just shot at an event in Utah. 

Please join us in praying for him, his family, and all of the students that were gathered there.",en,Tweet,0,29,2,0,2287,2025-09-10 20:05:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964342425561845958',Thank you @POTUS for inviting me to attend the inaugural celebration of the Rose Garden Club at the White House last night! https://t.co/tJt12KOOdI,en,Tweet,2,38,5,4,1417,2025-09-06 15:58:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0K_BhEWYAAMqqn.jpg,https://pbs.twimg.com/media/G0K_BhCXAAA2nEV.jpg"
'1963357399630434678',I’m live now with @mattmurphyshow on @997wtn. Be sure to tune in!,en,Tweet,0,2,0,10,623,2025-09-03 22:44:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1962999865945837828',"Read my full statement here:
https://t.co/JFufRiUZGz",en,Reply,0,4,0,9,434,2025-09-02 23:03:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://palmer.house.gov/media-center/press-releases/palmer-applauds-trump-decision-bring-space-command-alabama,,
'1962999860870697054',"I have been proud of the Alabama delegation for our tireless efforts to bring Space Command home. Today, it was an honor to stand alongside President Trump and see our work come to fruition as it was announced that Space Command will be coming to the Rocket City. 🚀 https://t.co/ywoouMaT6A",en,Tweet,0,19,1,10,1052,2025-09-02 23:03:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gz35XaMXoAABNqJ.jpg,https://pbs.twimg.com/media/Gz35XauWQAAEfFn.jpg,https://pbs.twimg.com/media/Gz35XaDWMAAlZHz.jpg,https://pbs.twimg.com/media/Gz35XaxWAAATN9A.jpg"
'1962626945742487959',"Today, join me in celebrating the hard working Americans that drive our economy and make our nation great. 

Happy Labor Day! https://t.co/1RpapznDVW",en,Tweet,0,9,2,1,627,2025-09-01 22:21:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GzymzTAWIAAHB-V.jpg
'1961094878206558651',"My staff had the opportunity to tour the National Computer Forensics Institute this morning in Hoover, Alabama, and learn more about their impact on our communities by training officers around the country. Thank you to Special Agent in Charge Donald Witham and all of the NCFI staff for their dedication to keeping our communities safe.",en,Tweet,0,6,0,10,534,2025-08-28 16:53:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gzc1XOTWwAAhwFG.jpg
'1958967866432397656',It was an honor to speak at the Wetumpka Area Chamber of Commerce Summer Luncheon this afternoon. Special thank you to President J.C. Webb and Executive Director Vanessa Royal. https://t.co/JoXsGAAC3P,en,Tweet,0,6,1,17,460,2025-08-22 20:01:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gy-m5A0WgAAvkqT.jpg,https://pbs.twimg.com/media/Gy-m5A6XEAAJNdr.jpg,https://pbs.twimg.com/media/Gy-m5AsXsAEznXZ.jpg"
'1958644717656449532',"I was very saddened to hear of the passing of Dr. James Dobson. Dr. Dobson was certainly one of the most influential leaders in America in the last century. Dr. Dobson had a major impact on Ann and me and our children. We first became aware of Dr. Dobson in the mid-1980s at our church through a video series of his lessons on marriage and child rearing. 

Later, in 1989, I was one of a small group of people chosen to participate in a special conference at the Focus on Family headquarters that led to the founding of the Alabama Family Alliance, that later became the Alabama Policy Institute, as part of a national network of family policy councils. In that regard, Dr. Dobson has had a huge impact in Alabama.

I last talked with him in May and had a chance to thank him for all he has meant to countless millions of people and to my family and me. He was, without question, one of the most influential American leaders in the last 50 years whose voice impacted the lives of millions of families promoting a culture based on the biblical values needed to sustain our nation at a time when those values have been under relentless attack. His more than 70 books and weekday radio broadcast covered the full spectrum of marriage and family from couples just starting out to finishing well in our later years. Dr. Dobson lived what he wrote and spoke about; he finished well. 

Ann and I are praying for his wife Shirley, their children, their grandchildren, and that God will give them comfort and that they will feel the gratitude of all who were so blessed by Dr. Dobson’s ministry.",en,Tweet,0,14,1,5,678,2025-08-21 22:37:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1958546761401635068',"I’m live now with @jeff_poor on the @JeffPoorShow. 

Be sure to tune in!",en,Tweet,0,6,2,2,896,2025-08-21 16:08:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1957557101028323784',"🚨The Tax Foundation released a new analysis stating that the average American taxpayer will see a tax cut of $3,752 thanks to the One Big Beautiful Bill.",en,Tweet,0,10,2,16,917,2025-08-18 22:35:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1956015378103931042',"This week, I had the privilege to host a roundtable with Edward Jones Financial Advisors and Branch Administrators from across Alabama to discuss how the OBBB helps Alabamians and give an update from D.C. https://t.co/eSjhISLVsY",en,Tweet,0,7,0,11,442,2025-08-14 16:29:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyUpnChWMAgLUHT.jpg,https://pbs.twimg.com/media/GyUpnCgXQAQ9eX0.jpg,https://pbs.twimg.com/media/GyUpnCjWgAgNdfv.jpg,https://pbs.twimg.com/media/GyUpnCdXYAcKXT9.jpg"
'1953589142425678330',"In the first 200 days, the Trump Administration:

🇺🇸 Signed the OBBB into law, securing no tax on tips and no tax on overtime

🇺🇸 Has helped the U.S. reach a new monthly immigration low at the southern border

🇺🇸 Eliminated red tape by rescinding Biden-era regulations",en,Tweet,1,77,14,40,8435,2025-08-07 23:48:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1952745029690147026',"Performers and musical groups including school bands, choirs, and holiday-themed entertainers are encouraged to apply here for the opportunity to perform during holiday open houses during the month of December. https://t.co/mudFniDLAd",en,Reply,0,1,1,0,406,2025-08-05 15:54:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://eoppra.my.site.com/survey/survey/runtimeApp.app?invitationId=0KiSJ000000heF7&surveyName=white_house_holiday_performer_application&UUID=f53f72db-62de-4c90-8216-824358f29bad,,
'1952745028230484084',"Individuals interested in volunteering to decorate the White House can apply here and must be 18 years of age or older. Decorating will take place during the week of Monday, November 24 through Sunday, November 30, 2025. https://t.co/ywKhCY21tD",en,Reply,0,1,1,3,426,2025-08-05 15:54:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://eoppra.my.site.com/survey/survey/runtimeApp.app?invitationId=0KiSJ000000g6nN&surveyName=white_house_christmas_decorator_application&UUID=adc62ec3-60b0-4c3a-bd4a-3c81734eea13,,
'1952745026666000828',"Are you interested in volunteering to decorate the White House for Christmas or being a performer at a holiday open house?  

Applications are open now until September 5, 2025, at 5pm ET.

More information below⬇️",en,Tweet,1,2,1,6,872,2025-08-05 15:54:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1952443430430212561',"Happy birthday to the @USCG! 

Thank you to all of the brave men and women who serve. 🇺🇸",en,Tweet,0,7,0,4,510,2025-08-04 19:56:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1950572265399042279',"President Trump and Congressional Republicans are making our economy strong again and delivering for the American people after four years of failed leadership from the Biden administration.

Promises made, promises kept!",en,Tweet,0,9,1,15,893,2025-07-30 16:00:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1949865826707734900',"From cooling your home, buying groceries, and using your smartphone, everything has an energy cost. 

The One Big Beautiful Bill took steps to unleash American energy so that prices can be lowered for families and America’s energy dominance can be restored!",en,Tweet,0,13,1,8,957,2025-07-28 17:13:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948850614362144820',"Ann and I are deeply saddened to hear about the passing of Dr. Annette Shelby. 

Not only was she Senator Shelby's strongest supporter for 65 years, but she was a remarkable woman that impacted the lives of many. 

Please join us in keeping the Shelby family in your prayers during this time.",en,Tweet,0,8,1,5,561,2025-07-25 21:59:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1947759227742916718',Watch my full questioning here: https://t.co/PHhowR2INH,en,Reply,0,2,0,0,539,2025-07-22 21:42:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://youtu.be/FsReX9Ph8Ak?si=j9mWrNWmqt3hqcsE,,
