tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970256468608729437',"If acetaminophen is too big of a word, and not eating horse dewormer or injecting Lysol is too big of a concept, you’re probably not talking to a doctor. Do not take your medical advice from politicians behind podiums, seek it from your own doctors, and get a second opinion when you feel it’s necessary to make the best decision for your own health.",en,Tweet,0,12,3,1,913,2025-09-22 23:38:42,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1965965907018043544',"Today’s senseless murder of Charlie Kirk on the UVU campus and the high school shooting outside of Denver shortly thereafter represent the 47th and 48th campus shootings this year. As a former District Attorney, I've seen up close the impacts of gun violence on victims and their families, and every single senseless act leaves me with a sick and hollow feeling in the pit of my stomach. Whether in the exercise of free speech, or in worshipping, or in attending school, Americans have a right to live free from violence. Beyond today's breaking news stories are many more families that have been or will be impacted by gun violence today - an average of one death every eleven minutes. My prayers are with Charlie Kirk’s young family and every single family impacted by gun violence. It must end.",en,Tweet,2,7,1,7,2175,2025-09-11 03:29:32,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1965910896607117513',"Trump's vacillation on Russia and Putin must stop. There's too much at stake. We have the ability to avoid a direct conflict with troops on the ground in Poland, but we must act now. I commend our Polish and NATO allies for their measured response. https://t.co/Fid3uWWunQ",en,Tweet,0,22,6,5,1328,2025-09-10 23:50:57,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,video,https://video.twimg.com/ext_tw_video/1965910847563186176/pu/vid/avc1/720x1280/qykMbezFosjC_6aP.mp4?tag=12
'1965511409770332519',"Today I met Belarusian political activist Siarhei Tsikhanouski. My full statement:

Today, I met with @tsikhanouski_s - just three months after his release from political imprisonment in Belarus. This is a man who just 100 days ago was living in complete solitary confinement, in horrific conditions, after being illegally detained.  His bravery and resilience should be an example to us all.

As Belarus Caucus Co-Chair, I have worked for more than 5 years to help facilitate the release of Siarhei and the more than 1,300 political prisoners who remain behind bars. Siarhei is an example of courage, conviction, determination, and more than anything else – love of his homeland.  He has consistently stood up in defense of the values he and the entire Free Belarus movement support. I know we have Siarhei’s support as we continue to advocate for those who remain behind bars.

While Siarhei was imprisoned, his wife, Sviatlana, advocated on his behalf and on behalf of all Belarusians who detest the brutal Lukashenka regime. In March 2020, as Chairman of the House Foreign Affairs Subcommittee on Europe, Sviatlana testified before the Subcommittee in her first public interaction with the United States government. Then, and now, she continues the fight for a Free Belarus. I am so grateful that Siarhei has now rejoined her on this journey.",en,Tweet,1,76,14,7,10470,2025-09-09 21:23:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0bmLWZWEAAa4Rv.jpg
'1963696691720466503',"Suspending security assistance to Eastern flank NATO allies is a gift to Putin that undermines NATO and American readiness in Europe. If @POTUS wants Europe to do more, he shouldn't be cutting funding to build capacity in European armies. https://t.co/L9gulz9x6G",en,Tweet,1,15,12,10,825,2025-09-04 21:12:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/national-security/2025/09/04/trump-europe-security-russia-ukraine/,,
'1961157064065257904',"@POTUS thinks Putin wants to make a deal just 'for him.' In reality, Putin is buying time to continue his atrocities.

The US must impose meaningful costs on Russia and support Ukraine with more military equipment.

Putin only responds to strength, and right now, he is playing POTUS.",en,Tweet,0,2,3,4,177,2025-08-28 21:00:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1956518827920929218',"Donald Trump is so enamored with having a relationship with his war criminal Russian counterpart that he is blind to the reality that the only thing Putin understands is strength. Today’s diplomatic TACO didn’t deliver a ceasefire, nor did it result in the promised “severe consequences” for Russia. The only thing Donald Trump did was allow Putin more time to wage his illegal war.",en,Tweet,1,44,18,21,3588,2025-08-16 01:50:13,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1953870645441216851',"The Netanyahu government must immediately recognize the severity of the humanitarian and food insecurity crisis in Gaza and take practical steps to achieve a ceasefire which returns all the hostages. 

Occupying Gaza City will only endanger hundreds of thousands of innocent Palestinians who will again be displaced by this conflict, worsen the humanitarian situation, and further threaten the remaining hostages. The Israeli military’s Chief of Staff, parliamentary leaders, hostage families, and many in the international community echo this view.

A diplomatic solution to stop the fighting, release the hostages, surge humanitarian aid, and move the region back on track to a two state solution is the only way forward.",en,Tweet,2,17,6,28,19461,2025-08-08 18:27:17,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1952532601039638866',"Great sadness accompanied by a flood of great personal memories upon hearing about the passing of Byron Barnett.

I’ve often reflected over the years on how special the times were when our sons played youth sports together. It was as much fun for Byron and Kathleen and myself and Tevis as it was for our children.

Byron was the consummate professional @7news reporter as he covered issues when I was in the Senate, as D.A., and, and in Congress. His mother Ella was his North Star and invoked in him his strong dedication to civil rights and justice. 

Tevis and I extend our most sincere sympathies to Kathleen, Byron, Parker, and KiKi.

httpsw://whdh.com/news/longtime-7news-reporter-byron-barnett-passes-away-at-69/",en,Tweet,1,14,3,3,2262,2025-08-05 01:50:23,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1950247556673376622',"The humanitarian situation in Gaza is unacceptable. While Israel is now allowing increased delivery of humanitarian aid into Gaza, it must do more to enable UN organizations like the World Food Program and other humanitarian organizations to deliver the life-saving assistance that is desperately needed. There is no excuse for children to be dying from malnutrition and famine while food and assistance sits at the border.

In June, I co-led H.Res.473 which calls for the immediate disbursement of humanitarian aid into Gaza. The situation remains dire, and I continue to call on the Trump administration to use all available tools to secure a lasting ceasefire, the release of all hostages, and a peace that guarantees a dignified and self-determined future for the Palestinian people alongside Israel.",en,Tweet,2,6,1,11,1435,2025-07-29 18:30:26,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1950237887217258546',"When Trump entered office, the average tariff on European products was 1.5%. His new trade ""deal"" with the EU raises tariffs to 15%, passing that cost onto the American people.

Bullying allies into paying tariffs only hurts Americans who will now pay more for everyday products.",en,Tweet,0,4,2,11,773,2025-07-29 17:52:00,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1948086484583477374',"Today marks two years since Azerbaijani authorities detained Gubad Ibadoghlu, an economist and active representative of civil society. I continue to call for Baku to release him from house arrest as well as other advocates who have been arrested for speaking out.",en,Tweet,1,7,2,6,1095,2025-07-23 19:23:06,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,
'1946310791780577673',"Great to speak this week with @GreeceInUSA Ambassador Nassika to discuss the strong US-Greek relationship, the recent NATO Summit, and our efforts to support Ukraine. Greece is a critical ally, and I look forward to continuing our work to strengthen the transatlantic partnership. https://t.co/qp4gJJiHeq",en,Tweet,0,6,3,6,720,2025-07-18 21:47:08,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,https://pbs.twimg.com/media/GwKvUvSWkAALTjo.jpg
'1946301628253954063',Demining efforts are critical to ensuring societies ravaged by war can recover. I fully support @HALOTrustUSA's work including in Ukraine which has helped enable communities to rebuild in spite of Russia's ongoing war of aggression. https://t.co/FORgMNXGdB,en,Tweet,0,5,2,8,678,2025-07-18 21:10:43,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,https://pbs.twimg.com/media/GwKnAGzXkAARNtg.jpg
'1940567996054831379',"As @POTUS says one thing, @SecDef says another, & @SecRubio says another. If this admin is serious about peace in Ukraine, it must have a unified strategy that projects strength, not weakness.

Halting these critical munitions, particularly air defense, makes Ukraine weaker just as Russia escalates its attacks on innocent civilians.

If there are concerns about readiness, DOD should consult Congress, not make a unilateral decision which hurts our allies, costs Ukrainian lives, and strengthens our adversaries.",en,Tweet,0,29,6,9,2457,2025-07-03 01:27:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1940551910341161235',"You know, it might be a big bad ugly bill, but it's an easy vote. I'm voting no. Hell no. https://t.co/F2RylfhjUU",en,Tweet,0,29,6,15,1450,2025-07-03 00:23:23,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,video,https://video.twimg.com/ext_tw_video/1940551863448850432/pu/vid/avc1/720x720/YroNS1HvrLaRdl3M.mp4?tag=12
'1938668174393610272',"Firing America's diplomats leaves us less safe, less secure, & less prosperous. This potential decision will have devastating long-term impacts on America's influence around the world.

 
I stand with my colleagues and call on @SecRubio to halt the gutting of our diplomatic corps.",en,Tweet,0,9,2,4,967,2025-06-27 19:38:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
