tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970554765013852427',"🚨 HAPPENING NOW- be sure to watch the final session of this year's Flyover Fintech!

Listen to leaders and innovators on our Bank Fintech Partnerships, Non-Fungible Tokens (NFTs), as well as Innovation in Nebraska panels. 🚨

Catch it live ⏬️
https://t.co/CuxVOmNuIC",en,Tweet,1,25,9,8,2877,2025-09-23 19:24:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/live/xeKJuzF32Hk?si=oTkU_fneXxbRHlze,,
'1970544814295757027',"TUNE IN- join my fireside chat with @RepBryanSteil LIVE at this year's Flyover Fintech.

We're covering all things #DigitalAssets– join here ⬇️
https://t.co/hJmpM35p4f",en,Tweet,1,6,3,4,1568,2025-09-23 18:44:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#DigitalAssets,https://www.youtube.com/live/i1Rg_MCkqWc?si=KeU0XsPddowjkuQy,,
'1970497774920798640',"🚨WE'RE LIVE– watch this year's morning session of Flyover Fintech!

Join me and @UofNE_President as we kick off this morning's panels on AI &amp; Banking as well as #Stablecoins 👇
https://t.co/pRAdA6ZwUS",en,Tweet,2,54,11,8,4368,2025-09-23 15:37:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Stablecoins,https://www.youtube.com/live/BTHd-0kiD_A?si=daEm13ftVxwcMdlU,,
'1969167292001890306',"I am a strong defender of the U.S. Constitution and every citizen's right to the freedom of speech. 

While Rep. Omar maintains these fundamental liberties, she is Member of the House and must abide by the rules.

My full letter to the Ethics Committee👇

https://t.co/Weh95jeUgc",en,Tweet,2,32,9,163,3465,2025-09-19 23:30:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://flood.house.gov/media/press-releases/rep-flood-writes-ethics-committee-regarding-rep-omars-reprehensible-speech-and,,
'1969053528711676070',"""Flood wants an ethics investigation prior to a move to censure Omar — but the Minnesota Democrat can’t be happy with the contents of what he sent to the Ethics Committee.""

Read more from @MatthewFoldi at the @DC_Reporter 👇

https://t.co/duqFHpP53f",en,Tweet,3,24,9,70,4213,2025-09-19 15:58:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://washingtonreporter.news/p/scoop-rep-mike-floods-latest-move,,
'1968831434954576343',"NEW: Tomorrow, I will file a complaint with the Ethics Committee regarding the reprehensible speech and conduct of Rep. Ilhan Omar.

Read the full story from @liz_elkind at @FoxNews here👇
https://t.co/DgiJ32BYHo",en,Tweet,13,117,21,326,12457,2025-09-19 01:16:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/scoop-ilhan-omar-hit-house-ethics-complaint-over-response-charlie-kirk-assassination,,
'1968740763350540671',Mandi and I are praying for his family as they celebrate his legacy and a long life well lived.,en,Reply,1,4,0,100,4020,2025-09-18 19:15:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968740761614057567',"From building the ethanol industry to establishing the Legislature’s ombudsman, Sen. Schmit left an indelible mark on the Cornhusker State. He was a good friend who could get virtually anything done when he put his mind to it.

https://t.co/tG08WJ3Y4h",en,Tweet,1,5,1,139,5313,2025-09-18 19:15:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://nebraskaexaminer.com/2025/09/18/former-state-senator-remembered-for-dogged-advocacy-of-rural-nebraska/,,
'1968352158367273414',"Earlier this week, the House held a candlelight vigil to honor and remember Charlie Kirk.

Our prayers are with the Kirk family as our nation continues to mourn his loss. 🕯️🙏 https://t.co/gs5RlwMKmH",en,Tweet,13,88,17,3052,51452,2025-09-17 17:31:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1D9syZW0AA4lTV.jpg,https://pbs.twimg.com/media/G1D9vfpW0AI5Ger.jpg,https://pbs.twimg.com/media/G1D9wKwW0AAywAX.jpg,https://pbs.twimg.com/media/G1D91oBWwAMgjN4.jpg"
'1968349515657924902',"Visited the Bellevue Community Senior Center last month, where a resident was celebrating his 100th birthday - an incredible milestone! 🎂 https://t.co/UXUjEPOxnV",en,Tweet,1,18,3,233,20759,2025-09-17 17:21:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1D7cvzWAAAdtx1.jpg,https://pbs.twimg.com/media/G1D7cv3W0AMAZuG.jpg,https://pbs.twimg.com/media/G1D7cvuW0AQMt3p.jpg"
'1968347151953731712',Had the pleasure of speaking to @Rotary14 last month as they continue serving Lincoln in their 115th year - keep up the great work! https://t.co/dsF0tLJXhS,en,Tweet,1,12,2,102,8973,2025-09-17 17:11:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1D5TROWQAA3-Jz.jpg
'1968330146974478557',"Almost 250 years after our founding, America’s Constitution remains the best form of government in the history of the world, but its future hinges on our willingness to protect it.

Read my #ConstitutionDay @townhallcom op-ed on Charlie Kirk's legacy 👇

https://t.co/iboQjxWzT0",en,Tweet,0,14,6,109,3445,2025-09-17 16:04:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#ConstitutionDay,https://townhall.com/columnists/congressman-mike-flood/2025/09/17/its-up-to-republicans-to-protect-free-speech-and-the-rule-of-law-n2663432,,
