tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970586468708921691',"Teachers are often the first to notice when a student is in crisis — but without training and resources, these signs can be missed. We’re leading bipartisan legislation to equip educators with the tools and training to intervene before a crisis becomes a tragedy.

🔗https://t.co/zmRppV6Gh4",en,Tweet,0,5,0,2,401,2025-09-23 21:30:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1jb0_LXQAA5Byw.jpg
'1970561560494882968',"@SecRollins is right: protecting America’s food supply is national security. Foreign adversaries like the CCP have tried to smuggle deadly pathogens into U.S. labs.

Our bipartisan PLANT Act creates tough penalties for foreign actors to stop agroterrorism and defend American farmland.",en,Tweet,0,0,0,0,72,2025-09-23 19:51:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970548725752963479',"Success isn’t one-size-fits-all, and some of the best paying jobs don’t require a four-year degree.

Our bipartisan legislation will expand apprenticeship programs and connect more Iowans ready to work with businesses ready to hire.
https://t.co/do6CH9Gg8p",en,Tweet,0,3,0,2,339,2025-09-23 19:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://nunn.house.gov/2025/09/17/%f0%9f%93%88-building-iowas-workforce/,,
'1970526069666259296',"Shanah Tovah! Wishing the Jewish community in Iowa, and across America, a blessed Rosh Hashanah filled with peace, health, and joy. https://t.co/ssiCun7gAL",en,Tweet,0,3,1,0,329,2025-09-23 17:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ilhgjXwAAZolh.jpg
'1970495930911617040',"Over the weekend, Americans mourned with Erika and the Kirk family. Thousands gathered in Arizona and millions tuned in online to celebrate Charlie's life, faith, and deep love of our country.

Erika’s powerful words and her forgiveness of the man who killed her husband remind us that hate and violence will never win. Charlie's legacy will be carried forward by the young people he inspired and the nation he believed in.",en,Tweet,0,6,1,0,417,2025-09-23 15:30:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970495169242783744/vid/avc1/1920x1080/dPUI8CLLcdiqry95.mp4?tag=21
'1970212755333374322',"Iowa businesses are ready to grow, but too many job openings are going unfilled. We’re tackling the workforce shortage by building partnerships that expand on-the-job training and open more doors for Iowa workers.
🔗https://t.co/3Ao05Mwk3l https://t.co/kAkHlb1sYn",en,Tweet,0,2,0,1,378,2025-09-22 20:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://southiowanews.com/stories/675435439-nunn-introduces-bipartisan-bill-supporting-apprenticeships-for-iowa-workers,photo,https://pbs.twimg.com/media/G1eDciaWIAAA0nW.jpg
'1970175987255255453',"Under the Trump administration, the U.S. is leading the world in AI. But foreign adversaries are already using it to spread propaganda and manipulate markets.

That's why we're working across the aisle on the bipartisan AI Plan Act — to hold bad actors accountable and protect Americans.
🔗https://t.co/VZp45YvILi",en,Tweet,0,4,0,4,372,2025-09-22 18:18:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1d4ckkXYAEJAne.jpg
'1970141514744700931',"Thank you, @secrollins, for joining me in Iowa and fighting for Iowa farmers.

After 4 years with no new trade deals and a $50B ag deficit, this $10B deal will help Iowa farmers export corn, soybeans, beef, and more as the Harvest season gets underway. 🇺🇸 🌽 https://t.co/pa9uobrzIn",en,Tweet,1,12,4,2,2831,2025-09-22 16:01:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dZNx4XMAA_dw_.jpg
'1969861693204259144',"Robo-voting lets Wall Street insiders silence everyday investors, including Iowans saving for retirement.

Our bill puts power back in the hands of investors, restores transparency, and ensures your hard-earned savings are used to grow value—not push a political agenda.
🔗https://t.co/2Q9udN4VF9",en,Tweet,0,6,1,2,1792,2025-09-21 21:30:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1YhftRWIAAarfV.jpg
'1969823947379364211',"This week, I sat down with Iowa parents and staff from Head Start. They’re making sure every child — no matter their background — has every chance to succeed both in school and in life.

Grateful for their work and voices in Washington fighting to give every child a chance. https://t.co/h8w2PcvlNC",en,Tweet,0,2,0,1,382,2025-09-21 19:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1YhEDXWAAAmY9r.jpg
