tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1889767407884943656',"I’ll be joining @MSignorile on @SiriusXMProg at 5:30 EST to talk about what’s happening on Capitol Hill, the looming debt-ceiling battle, and some of the questions (and frustrations) I heard from constituents during last night’s Telephone Town Hall. 

Tune in if you can!",en,Tweet,0,10,0,146,10963,2025-02-12 20:03:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1887219881344426493',"The President's political purges at the FBI and DOJ should alarm everyone.

He might claim this is about making these departments more efficient. But we all know what it’s really about: revenge and retribution.

Two lawsuits have already been filed challenging the President's extreme actions.

https://t.co/0bAkZHxepW",en,Tweet,1,22,6,207,5826,2025-02-05 19:20:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423786125226274',"I know the past few weeks have been exhausting, and there is a long road ahead. We’ll use the tools we have in Congress. We’ll stand up + push back. We’ll use our voices. 

And if the American people use theirs, too, we will be able to hold the Administration accountable. (14/14)",en,Reply,0,43,11,31,2414,2025-02-03 14:37:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423784783069452',"Because the more informed people are about this Administration’s unhinged actions, the more engaged—and enraged—they become. And it’s that engagement and outrage that makes *our* words and actions so much more powerful.

Your voices really do matter. Keep using them! (13/14)",en,Reply,0,38,10,16,3212,2025-02-03 14:37:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423783419916601',"Still, even a post or thread can help you better understand the details + stakes of bills I vote on (or the President’s actions).

But social media can’t be our only platform. Videos. Town halls. Media appearances. All are important.

Simply put: We need to be everywhere. (12/14)",en,Reply,0,42,9,6,1113,2025-02-03 14:37:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423782107062718',I will always explain what I vote on and why. That's my job. But legislation in the Trump era is going to be different. There are a lot of “gotcha” bills—ones that have a sensible-sounding title but absolutely awful text (the Laken Riley Act is a great example of this). (11/14),en,Reply,0,39,8,29,7117,2025-02-03 14:37:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423780551000408',"But perhaps our most powerful tool is the ability to communicate with you—our constituents. To spell out, in plain terms, what’s really going on, and why it matters.

I take that responsibility seriously. And I know my colleagues do, too. (10/14)",en,Reply,0,40,7,5,1002,2025-02-03 14:37:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423779137470586',"On impeachment: Articles can be introduced by either party, but the majority decides whether they move forward. 

While this is an appealing option (we’ve done it before—when we controlled the House), with Republicans in control, the chances of making it stick are nil. (9/14)",en,Reply,0,35,9,2,994,2025-02-03 14:37:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423777862459531',"But there are things we *can’t* do on our own:

❌ Confirm or deny nominees.
❌ Stop POTUS from issuing crazy orders.
❌ Control which bills get voted on in the House.
❌ Impeach (more below).

Until we’re back in the majority, there’s only so much we can control. (8/14)",en,Reply,0,44,15,3,1044,2025-02-03 14:37:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423776562155585',"None of this is easy. We are in uncharted waters. But we *will* keep fighting the President’s actions as best we can—and we will use every tool at our disposal to keep this Administration in check.

We understand the stakes. And we’re not going to back down. (7/14)",en,Reply,0,47,7,1,1038,2025-02-03 14:37:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423775245164944',"As for future court challenges: There are several ways to do this, like working w/ state AGs to challenge specific orders.

Last week, Maine’s AG joined colleagues in other states to sue the Administration, resulting in a temporary restraining order on the funding freeze.  (6/14)",en,Reply,0,45,9,2,1144,2025-02-03 14:37:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423773957468482',"The courts will play a critical role, too. The President is pushing the boundaries of the separation of powers. The only remedy is to challenge him by getting the courts to rule he's gone too far.   

We’ve already seen the courts block some of the Administration’s orders. (5/14)",en,Reply,0,46,12,3,1262,2025-02-03 14:37:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423772594356676',"On investigations: 

The minority in Congress can’t control hearings or subpoenas. But we can call and question witnesses; work with whistleblowers to uncover vital information; and take our findings to the public.

All these tools are on the table. And we’ll use them. (4/14)",en,Reply,0,52,13,3,1454,2025-02-03 14:37:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423771004756111',"The Constitution is clear on Congress’s power of the purse. The Administration’s directive to “impound” funds from Congress is unconstitutional. While they rescinded a memo calling for a total freeze, they’re still stealing these funds.

We *will* fight them in the courts. (3/14)",en,Reply,0,62,16,5,1617,2025-02-03 14:37:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423769628934617',"Without getting too deep in the constitutional weeds, Congress has several powers at its disposal, including:
  
🟢 The power to spend.
🟢 The power to investigate.
🟢 The power to challenge actions in court.
🟢 The power to impeach.

Let’s take them one at a time. (2/14)",en,Reply,0,56,12,5,1495,2025-02-03 14:37:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886423768303558874',"Amid the flurry of extreme actions taken by the Administration, there’s one question I keep hearing:

“What are you going to *do* about it?”

It’s a fair point—especially when the President has thus far avoided any real accountability.

I’ll do my best to address it. (1/14)",en,Tweet,33,207,59,71,16955,2025-02-03 14:37:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886143386802888977',"We need to call this illegal and unconstitutional act what it is: a hostile takeover of our government by an unelected billionaire.

The American people deserve answers to how and why this was allowed to happen. There must be an immediate Congressional investigation.",en,Reply,0,16,5,26,1345,2025-02-02 20:03:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886143385641046297',"The idea that Elon musk and his cronies now have control over these levers of government is absolute insanity. The damage they could inflict—on our economy, and on the lives and livelihoods of millions of citizens—is beyond comprehension.",en,Reply,0,8,3,17,1266,2025-02-02 20:03:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886143384517013748',"For those who don’t know, these systems handle trillions of dollars in payments submitted by agencies across the government—including Social Security checks and tax refunds. They also contain highly sensitive information about American taxpayers.",en,Reply,0,3,0,5,230,2025-02-02 20:03:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886143383116157113',"Did anyone elect Elon Musk?

Has Congress confirmed him for an actual position?

No? 

Then why was he given sweeping, unfettered access to the U.S. Treasury payment systems?
https://t.co/nAtdVOxfxi",en,Tweet,2,26,6,65,2346,2025-02-02 20:03:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.wsj.com/politics/policy/elon-musks-doge-getting-access-to-payment-system-that-doles-out-trillions-to-americans-5625adf0,,
'1884976286449250457',"In the days and weeks ahead, we must seek answers and understand exactly what happened—so we can ensure that a devastating accident like this never happens again

https://t.co/aXUpIiptkU",en,Reply,0,3,0,7,1063,2025-01-30 14:45:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/dc-md-va/2025/01/30/dc-plane-crash-updates-helicopter-potomac-reagan-airport/,,
'1884976284867899580',"This is an unimaginable tragedy. My heart breaks for the passengers, crew, and service members who lost their lives, and for all their loved ones. I'm grateful to the first responders who worked tirelessly throughout the night and are continuing with recovery efforts today.",en,Tweet,0,17,1,9,1920,2025-01-30 14:45:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1883975746550739406',"The President is required to give Congress 30 days notice—and a good reason—before removing an IG.

In the dead of night, he unlawfully fired at least 15 without cause.

His goal is clear: to replace these independent watchdogs with partisan hacks.

https://t.co/c7jltP1pBr",en,Tweet,0,10,1,16,1516,2025-01-27 20:29:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/politics/2025/01/24/trump-fire-inspectors-general-federal-agencies/,,
'1883167959780036806',"Congrats to Maine's semifinalists for @beardfoundation awards! 🏆🎉👏

From amazing chefs + bakers to outstanding restaurants + bars, you represent the very best of Maine’s iconic food scene. We’re so proud to see your hard work and creativity recognized on the national stage! https://t.co/yxYBikyFLP",en,Tweet,0,17,1,10,1314,2025-01-25 15:00:03,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/GiJbR5KW0AEiXWx.jpg
'1882861480544276940',"Like pulling us out of the WHO, this is just bad leadership. And a slap in the face to future generations.

130+ of my @HouseDemocrats colleagues and I strongly urge the President to reverse this dangerous withdrawal. The stakes are too high. (2/2)

https://t.co/qJxZSv5IN1",en,Reply,0,6,1,12,932,2025-01-24 18:42:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://thehill.com/policy/energy-environment/5105075-democrats-resolution-trump-paris-climate-agreement-withdrawal/,,
'1882861479172735126',"The President's decision to withdraw from the Paris Agreement isn’t just petty and shortsighted. It goes against the greatest scientific consensus of our times—while hindering our ability to negotiate with other countries on what is, at its core, an international crisis. (1/2)",en,Tweet,0,10,2,7,924,2025-01-24 18:42:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882797903527485607',"As ranking member of @AppropsDems Interior and Environment Subcommittee, which oversees funding for @smithsonian, I’m proud to support initiatives like the Giant Panda Conservation Program.

If you’re in D.C., don’t miss the chance to meet Bao Li and Qing Bao in person!",en,Reply,0,2,0,1,501,2025-01-24 14:29:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882797901187027109',"Timeline cleanser! 🐼

Bao Li + Qing Bao made their official public debut @NationalZoo today! These adorable ambassadors are carrying on a legacy that began in 1972, when the first giant pandas arrived at the Zoo, symbolizing cross-cultural collaboration between the U.S. + China. https://t.co/q6Y9TJECdb",en,Tweet,0,11,0,4,940,2025-01-24 14:29:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GiEKLFhXwAAHjsz.png,https://pbs.twimg.com/media/GiEKLFvXsAAVDG7.png,https://pbs.twimg.com/media/GiEKLFtXgAAyJ24.png,https://pbs.twimg.com/media/GiEKLFuWUAAfaW9.png"
'1882542442949517328',"The Forest Service and other public lands agencies already struggle with adequate funding. This bill significantly expands its mission to fight wildfires without providing the resources to do so.

Ultimately, that makes the ""Fix Our Forests Act"" one big empty promise. (6/6)",en,Reply,0,3,1,0,573,2025-01-23 21:34:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882542441129275776',"Finally, the bill isn’t even funded! Should we establish a community wildfire defense research program to look at how we can build more wildfire resistant restructures, including using mass timber? Yes. Does this bill provide resources for an actual research program? No. (5/6)",en,Reply,0,3,1,1,578,2025-01-23 21:34:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882542439535456627',"The California fires were caused by brush igniting and were exacerbated by extreme winds. Forest management plays an important role in addressing wildfires, but this bill doesn’t provide resources for community-resilience and rebuilding that are needed in the region. (4/6)",en,Reply,0,2,1,1,178,2025-01-23 21:34:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882542438050582898',I recognize and support the important role forest-harvesting and management plays in Maine and across the country. But the bill goes too far in some areas of environmental review—and undermines protections for biodiversity. (3/6),en,Reply,0,3,1,1,155,2025-01-23 21:34:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882542436528091469',"Maine is the most forested U.S. state, so these are issues I take seriously. However, 94% of Maine forests are privately owned—not federal land.

Achieving responsible, balanced forest management requires *real* investment and community involvement.

This bill falls short. (2/6)",en,Reply,0,3,1,2,174,2025-01-23 21:34:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882542434682654901',"🧵The devastating wildfires in California are a harrowing reminder of the dangers of climate change—and the importance of wildfire response.

While I support parts of the “Fix Our Forests Act,” the benefits do not outweigh the concerns I have.

Here’s why I voted NO: (1/6)",en,Tweet,0,8,2,18,3845,2025-01-23 21:34:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882509450621415862',"Infanticide is already illegal in all 50 states. In 2002, Congress passed a bill *unanimously* to codify that fact. 

This bill fabricates a problem that does not exist.

This is yet another attempt to limit access to reproductive health care—and criminalize those who provide it.",en,Tweet,1,13,4,8,1337,2025-01-23 19:23:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882463126077202436',"So, are they really worried about straining the electric grid, or do they just want to line the pockets of Big Tech and Big Oil? (2/2)

https://t.co/SYzEJ9wTFm",en,Reply,0,4,0,2,475,2025-01-23 16:19:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.reuters.com/technology/artificial-intelligence/trump-announce-private-sector-ai-infrastructure-investment-cbs-reports-2025-01-21/,,
'1882463124579836164',"On Tuesday, the President revoked Biden-era vehicle pollution and fuel economy standards.

Why? He thinks too many EVs will strain the electric grid. 

Meanwhile, he wants to invest half-a-*trillion* dollars in AI, which will require far more energy than meeting EV goals. (1/2)",en,Tweet,0,23,6,17,1209,2025-01-23 16:19:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882198793539793283',"To call January 6th a ""peaceful protest"" or a “day of love” is simply delusional. 

We cannot let President Trump and the Republican Party rewrite history. (2/2)",en,Reply,0,4,1,5,434,2025-01-22 22:48:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882198791421632756',"We all watched the violence live on TV. We watched as insurrectionists stormed the Capitol, breaking down doors, tasing police officers and beating them bloody with flag poles. 

Now, President Trump is letting 1,500 of those who participated off the hook. (1/2)",en,Tweet,0,8,1,5,1009,2025-01-22 22:48:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1882168256875884799',"President Trump said he would lower costs for Americans.

Tell me: How does revoking a decision to *lower* drug costs achieve that?

Thanks to this executive order, $2 generic drugs and cheaper access to new gene therapies are now on the chopping block.

https://t.co/E6P47a5jcc",en,Tweet,0,7,0,5,736,2025-01-22 20:47:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.com/newsletters/prescription-pulse/2025/01/22/trump-pulls-back-biden-drug-pricing-action-00199717,,
'1882121796092366934',"Maine is now a leader in wind energy. The benefits have been significant.

Stopping offshore wind isn’t just incredibly shortsighted; it’s based on bad information. The risks of turbines are overblown—and pale in comparison to the impacts of fossil fuels.

https://t.co/rJ2ZIV0TeW",en,Tweet,1,28,6,111,5874,2025-01-22 17:42:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.pressherald.com/2025/01/21/trumps-halt-on-offshore-wind-disrupts-maines-efforts-to-build-an-industry/,,
'1881823337510469875',"January 6th was one of the darkest days in our nation’s history. To pardon those involved is a shocking dismissal of our justice system, and an insult to the brave heroes who defended the Capitol and the Constitution that day.",en,Reply,0,1,0,9,435,2025-01-21 21:57:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1881823334574567920',"President Trump also pardoned 1,500 people involved in the violent January 6th insurrection—including some from Maine. People who stormed the Capitol, assaulted police officers, and tried to disrupt the democratic process. https://t.co/9VZUan15XO",en,Tweet,0,2,1,11,728,2025-01-21 21:57:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gh2UWN8XIAAf2fN.jpg
'1881799313631969714',"Oil prices often *increase* with production spikes!
 
There is no energy emergency. In fact, burning more fossil fuels only exacerbates the *actual* emergency: climate change.

This is all about lining the pockets of Big Oil billionaires. (2/2)

https://t.co/o5D6WAKVav",en,Reply,0,6,4,3,697,2025-01-21 20:21:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.theguardian.com/business/2024/nov/19/trump-oil-gas-prices,,
'1881799311144657282',"One of President Trump’s first Executive Orders was to declare a “national energy emergency.”

Here are the facts: The U.S. now produces more oil and gas than any country in history. The issue isn’t getting more gas and oil out of the ground; it's finding people to buy it! (1/2) https://t.co/yEctjmJmDS",en,Tweet,0,5,2,4,613,2025-01-21 20:21:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gh1950VXIAATrEw.jpg
'1881379071273452007',"As an American, she was the best of us—smart, creative, and wholeheartedly committed to making our country better.

Her legacy will inspire generations. And her work will be carried on.

Rest in power, Cecile. (3/3)",en,Reply,0,1,0,3,410,2025-01-20 16:31:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1881379069629202747',"As president of Planned Parenthood, she fought tirelessly for healthcare access and equality, at a time when women’s rights were increasingly coming under attack. 

As cofounder of Supermajority, she helped women voters better understand their profound political power. (2/3)",en,Reply,0,0,0,1,441,2025-01-20 16:31:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1881379067645321629',"I’m deeply saddened to hear of the passing of Cecile Richards—a feminist icon, a champion for reproductive rights, and someone who loved Maine, spending many summers on Casco Bay. (1/3)

https://t.co/cCKQ3cZLbc",en,Tweet,0,10,1,10,780,2025-01-20 16:31:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.npr.org/2025/01/20/nx-s1-5199767/cecile-richards-planned-parenthood-brain-cancer,,
'1881356055629730280',"These actions set the tone for what our country will face the next four years.

I will find common ground with this Administration where possible, but I will stand  against any actions that undermine our values, harm vulnerable communities or roll back critical progress. (3/3)",en,Reply,0,1,0,14,470,2025-01-20 15:00:12,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1881356054564418043',"While I appreciate the significance of Inauguration Day, my focus today is on the slew of dangerous Executive Orders Trump plans to sign within the first hours of his presidency. Mass deportations, blanket tariffs, Jan. 6 pardons, climate action rollbacks—the list goes on. (2/3)",en,Reply,0,1,0,14,552,2025-01-20 15:00:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1881356053478003098',"Today, there will be a peaceful transfer of power as President Trump takes the oath of office and solemnly swears to ""preserve, protect and defend the Constitution of the United States.” The fate of our nation and our democracy depend on him upholding this oath. (1/3)",en,Tweet,0,1,0,11,882,2025-01-20 15:00:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1881325815058596104',"As we honor the life and legacy of Dr. King, let us all take a moment to reflect on how his words and actions have impacted us; to celebrate the progress he helped make possible; and to ask what *we* can do to build on that legacy—and bring us closer to true justice and equality.",en,Reply,0,1,0,2,292,2025-01-20 13:00:02,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1881325812680450457',"During speeches at Bowdoin College in Brunswick and Saint Francis College in Biddeford (now UNE), King talked about the moral imperative of achieving equality. About putting an end to segregation once and for all. About the power of nonviolent action in combatting injustice.",en,Reply,0,1,0,1,344,2025-01-20 13:00:01,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1881325810759467284',"In 1964, Dr. Martin Luther King, Jr. came to Maine—and shared a message of hope and resilience that still resonates today.
 
https://t.co/oOlNDq2rjZ",en,Tweet,0,5,0,3,456,2025-01-20 13:00:01,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://buff.ly/3CbzbVQ,,
'1881054106640380194',"@NatlParkService @jkputnamphoto The 2025 free entrance days are:
 
Jan. 20 – Martin Luther King, Jr. Day
April 19 – First Day of National Park Week
June 19 – Juneteenth
Aug. 4 – Great American Outdoors Act Signing Day
Sept. 27 – National Public Lands Day
Nov. 11 – Veterans Day",en,Reply,0,4,1,2,420,2025-01-19 19:00:21,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1881054105356955753',"Don't miss out on the 6 free admission days @NatlParkService has designated for 2025—including #MLKDay!

Whether you’ve always wanted to visit Acadia in the winter, or happen to be near another National Park, there's no better way to celebrate our country.

📸: @jkputnamphoto https://t.co/Vze5KH0Grw",en,Tweet,0,2,0,2,513,2025-01-19 19:00:21,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",#MLKDay,,photo,https://pbs.twimg.com/media/GhrYvZAWoAAMYsu.jpg
'1881049976039780556',"I am ready to work with the Trump Administration to make #MakeAmericaHealthyAgain more than just a slogan.
📰Read my new op-ed in @thehill https://t.co/wqE2XRD1ER",en,Tweet,0,3,0,6,1017,2025-01-19 18:43:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#MakeAmericaHealthyAgain,https://thehill.com/opinion/5092551-big-ag-healthy-america/,,
'1880631416821633095',"That’s why we must take proactive steps to address the climate crisis, invest in forest management, and support fire-prevention measures. By learning from the past and taking action now, we can protect our communities, our forests, and our future. (2/2)

https://t.co/sF4Vimpvti",en,Reply,0,4,0,3,364,2025-01-18 15:00:44,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://buff.ly/3WoYieD,,
