tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969850384580812972',"Autumnal equinox report: harvested just about five gallons of honey. Late season, so a golden orange color and pretty rich. https://t.co/vt8iQG8i77",en,Tweet,1,50,5,10,4824,2025-09-21 20:45:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1ZQbd7WAAAXfHq.jpg,https://pbs.twimg.com/media/G1ZQbeEW8AAoL1F.jpg"
'1968859548015370463',Local woman believes Constitution should only apply in times and places of her choosing….,en,Tweet,1,170,32,19,9259,2025-09-19 03:07:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967709380645978509',This tragic moment is one in which many “leaders” are showing themselves to be anything but. Thank you Gov. Cox of Utah for showing the way. https://t.co/ppKuk0IpdI,en,Tweet,1,25,7,34,2102,2025-09-15 22:57:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967709311246696448/vid/avc1/494x720/U7uUKnJU4lmynsXW.mp4?tag=21
'1967600908100932078',Headed back to DC https://t.co/lPvsp54Spf,en,Tweet,1,29,1,22,2076,2025-09-15 15:46:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G05SmK_W0AArMVI.jpg
'1965774070747980070',"Harvard may not matter to most Americans, but it must not cave to Trump’s ideological mugging. People and institutions far less wealthy and powerful are courageously standing against authoritarianism.

https://t.co/sxtQTtkUu2",en,Tweet,3,35,12,26,2874,2025-09-10 14:47:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.bostonglobe.com/2025/09/09/metro/harvard-himes-warning-authoritarianism/,,
'1948820696047473072',"We lost a remarkable man and leader. Bill touched a lot of lives, and I think made us all better.",en,Tweet,2,17,2,22,5993,2025-07-25 20:00:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948137949054517369',"8/ If @DNIGabbard had actual evidence of any real crime, we would see charges pressed. We won’t. Ever. Why? Because Gabbard’s charges would be laughed out of any courtroom in the country. Let that be the test.",en,Reply,26,1306,257,73,31301,2025-07-23 22:47:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948137946500284828',"7/ The DNI is conveniently conflating the two findings to paint an entirely dishonest picture of conspiracy and treason. Unsurprising from an Administration that uses chaos, distraction and lies, but very dangerous.",en,Reply,19,1020,193,33,28707,2025-07-23 22:47:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948137943874359771',"6/ The IC and Obama Admin consistently said that there was no evidence that Russia impacted the 2016 vote count, but that the IC did uncover a concerted campaign to undermine Clinton’s candidacy, including hacking emails accounts and leaking their content.",en,Reply,17,928,149,12,24875,2025-07-23 22:47:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948137941944918344',"5/This lie is contradicted by the 2017 ICA and a 2021 assessment that found Putin also preferred Trump in the 2020 election. It's also obvious to anyone who has watched Trump praise Putin, invite him to target Clinton’s emails, demean NATO, and walk back support for Ukraine.",en,Reply,19,1000,170,17,26406,2025-07-23 22:47:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
