tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968080718942155213',"Today, I met with #PNC Bank's Regional GA President to discuss their growing footprint in Atlanta. We discussed ways to support homebuyers, expand small business lending, &amp; grow #CDFI partnerships. I will always fight for a stronger, equitable economy for all Georgians. https://t.co/VeX6lXg1Ns",en,Tweet,0,6,1,6,387,2025-09-16 23:33:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#PNC,#CDFI",,photo,https://pbs.twimg.com/media/G1AG-vyWQAAfjoD.jpg
'1967613411505914025',"Today marks the start of Hispanic Heritage Month! We honor the rich culture, unwavering spirit, and remarkable contributions Hispanic and Latino communities have made to the history and culture of the United States. https://t.co/MJ3I27WjyC",en,Tweet,0,0,1,2,311,2025-09-15 16:36:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G05d9_LWAAAhUEH.jpg
'1966224857764651151',"Today, I met with members of the @GACreditUnions to discuss protecting the Community Development Financial Institutions (CDFI) Fund and expanding credit access in minority, rural, and low-income communities. During our meeting, we reviewed NCUA data showing deposits shifting toward large banks and growing risks in commercial real estate. I remain committed to ensuring our credit unions have the tools they need to serve families and strengthen local economies.",en,Tweet,0,1,1,1,345,2025-09-11 20:38:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0lvCFVX0AAIVJ6.jpg
'1966189276606963861',"Proxy advisory firms make recommendations, not decisions, and no one is required to use them. Small & large investors rely on them because they provide overarching policies about good corporate governance, climate change & material issues to shareholders. See more w/@bradlander ⤵️",en,Tweet,0,2,1,2,311,2025-09-11 18:17:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966189167194365952/vid/avc1/884x534/zPBh3Dk2f1wnE7eB.mp4?tag=21
'1966136145450045502',"Read my statement honoring the victims of the terrorist attacks on September 11, 2001. https://t.co/tgT4xRH50b",en,Tweet,0,3,1,1,338,2025-09-11 14:46:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0keZtXWkAAarGi.jpg
'1965484364923633980',"Read more:
https://t.co/8shLwgu34A",en,Reply,0,1,1,1,234,2025-09-09 19:36:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://davidscott.house.gov/news/documentsingle.aspx?DocumentID=401948,,
'1965484247004684529',"Congress must prioritize endometrial cancer research—the most common, yet least funded, gynecologic cancer. We must also target the racial disparities for African American women who face 2x the mortality rate once diagnosed. My bill expands federal funding for early detection, care, & cures.",en,Tweet,0,1,1,2,296,2025-09-09 19:35:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1963995251040764264',"September is National Suicide Prevention Month, a time to remind ourselves that mental health is just as important as physical health. If you or someone you know is struggling, help is always available. Call or text 988 anytime. https://t.co/jyRnyQgLri",en,Tweet,0,4,2,2,220,2025-09-05 16:58:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0GDRS3WoAANgtt.jpg
'1963607672424374597',"Historically Black Colleges and Universities have long been pillars of excellence, cultivating the minds, hearts, and futures of Black communities across the nation. This month, we celebrate their enduring legacy and honor the students, faculty, and alumni who continue to uplift, inspire, and lead. HBCUs remain powerful spaces where purpose meets opportunity, and each generation builds upon the legacies of those who came before.",en,Tweet,0,4,0,1,193,2025-09-04 15:18:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0AixSwWcAExv8s.jpg
'1956401019169997219',"The decision by @EPA Administrator Zeldin, @fema Acting Administrator Richardson, and @USCIS Director Edlow to terminate nearly all collective bargaining contracts is a blatant attack on workers’ rights and an insult to the dedicated public servants who protect our communities, environment, and security. Let me be clear: this is not about efficiency, modernization, or better service to the American people. Stripping union representatives of their ability to advocate for better working conditions is a calculated power grab to roll back hard-fought employee protections and weaken critical protections for the public. Collective bargaining is not a privilege granted at the whim of political appointees—it is a fundamental right protected by federal law. I stand in strong solidarity with @AFGENational and the federal workers leading this fight. Administrator Zeldin, Acting Administrator Richardson, and Director Edlow must immediately reverse this reckless and harmful move.",en,Tweet,0,3,1,2,335,2025-08-15 18:02:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1956044131794317699',"For 90 years, Social Security has been a lifeline for Georgia—keeping children and seniors out of poverty, supporting people with disabilities, and giving families dignity in retirement. We must honor its promise by protecting it from reckless Republican privatization schemes. On this anniversary, I proudly reaffirm my commitment to the American people and promise to never stop fighting to #ProtectSocialSecurity",en,Tweet,0,2,1,1,290,2025-08-14 18:23:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GyVDxArWYAIwH15.jpg
'1950576103925715340',"60 years ago, Congress created Medicare and Medicaid, two cornerstone programs that have helped generations of Americans access health care, live with dignity, and enjoy greater financial security. However, just in the last six months, Republicans have cut over $1 trillion from these programs, ripping health care away from more than 15 million people. Medicare and Medicaid weren't just policies—they were a promise to the American people.",en,Tweet,0,5,1,5,357,2025-07-30 16:15:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GxHWm8sbAAA9tGE.jpg
'1948815777437811110',Read more: https://t.co/ITN6v7znBr,en,Reply,0,1,0,0,245,2025-07-25 19:41:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://davidscott.house.gov/news/documentsingle.aspx?DocumentID=401946,,
'1948815066041909762',"Despite gaining state recognition in 1993, Georgia’s Indian Tribes continue to be denied federal recognition. The disparity creates a 2-tier system that marginalizes tribal communities. I’m calling on @BureauIndAffrs to reconsider their petition w/ transparency &amp; respect. Read⤵️ https://t.co/qTfn85LI0Y",en,Tweet,0,4,0,4,374,2025-07-25 19:38:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GwuU68UXkAAmv-n.png,https://pbs.twimg.com/media/GwuU68UWQAAbilw.png"
'1948797205843763523',"By eliminating “socially disadvantaged farmer” @USDA is ignoring the lived realities of Black & minority farmers who faced generations of systemic racism. This is not reform—its a form of erasure. I am working to reverse this move & ensure Black farmers can grow their businesses.
 
My bill supports socially disadvantaged farmers by: 
✅Creating new markets and tax credits
✅Reprioritizing USDA purchasing programs
✅Boosting civil rights accountability
✅Improving access to financial relief 
The time to end discrimination at USDA is now.",en,Tweet,0,2,1,3,458,2025-07-25 18:27:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1948754163044643115',Read more: David Scott Demands SEC Accountability and Transparency for Massive Georgia Ponzi Scheme Operation - https://t.co/sUcCdI6Kyz,en,Reply,0,3,3,1,303,2025-07-25 15:36:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://davidscott.house.gov/news/documentsingle.aspx?DocumentID=401943,,
'1948752505296298395',"The fact that First Liberty went unchecked for so long is completely unacceptable. 

The people of Georgia, whose future was shattered by this massive $140 million Ponzi scheme, deserve transparency &amp; real accountability—not silence.

Read my letter to @SECGov demanding answers⤵️ https://t.co/QSGWwkXrr3",en,Tweet,1,9,4,5,1735,2025-07-25 15:29:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gwta_ZJW4AATs4z.png,https://pbs.twimg.com/media/GwtbA08XwAA6cUb.png,https://pbs.twimg.com/media/GwtbCf7WgAAuSXc.png,https://pbs.twimg.com/media/GwtbD1vWwAARM1m.png"
