Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"De La Cruz, Monica",Representative,Texas,15,Republican,House: 2023-Present,Yes,RepMonicaDLC,'1935472594016420313',"It was a pleasure to meet Alina Ozuna in Washington, D.C. and congratulate her as the winner of this year’s Congressional Art Competition for TX-15. Her piece, In America, We Believe, is a powerful reflection of the American Dream, and she did an outstanding job representing the creativity of South Texas.",en,Tweet,0,7,1,2,370.0,2025-06-19 00:00:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/GtlTR64a0AIDeZx.png,https://pbs.twimg.com/media/GtlTR6OW0AAwcMF.jpg"
"Fong, Vince",Representative,California,20,Republican,House: 2024-Present,Yes,RepVinceFong,'1935472601326821386',"I joined the Moneywise Radio Show to discuss how extending the Tax Cuts and Jobs Act will help Central Valley families and small businesses. We also talked energy, the economy, and why it’s time to end the high-speed rail. Listen to “Refineries, Rails, and Reality Checks” here: https://t.co/smn6FNl2TI",en,Tweet,0,0,0,4,300.0,2025-06-19 00:00:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GtwuEiQXAAEXlWT.jpg,https://pbs.twimg.com/media/GtwuEiCWEAAHJRo.jpg"
"Fry, Russell",Representative,South Carolina,7,Republican,House: 2023-Present,Yes,RepRussellFry,'1935472611477086430',"HUGE win today for @CoastalBaseball. The Grand Strand is fired up!

Finals, here we come💪

#ChantsUp #Selfless",en,Tweet,0,11,1,0,799.0,2025-06-19 00:00:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ChantsUp,#Selfless",,,
"Cisneros, Gilbert Ray",Representative,California,31,Democratic,"House: 2019-2021, 2025-Present",Yes,RepGilCisneros,'1935473054249095618',"This year’s Congressional Baseball Game raised $2.81 million for charity. It was great to come together with my colleagues across the aisle, from the House and Senate, to play my favorite game and support a good cause. ⚾ https://t.co/1ZB1jcHZJW",en,Tweet,0,4,0,1,389.0,2025-06-19 00:01:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GtwuevCWcAAiz6l.jpg,https://pbs.twimg.com/media/Gtwueu9XwAAjORH.jpg"
"Larson, John B.",Representative,Connecticut,1,Democratic,House: 1999-Present,Yes,RepJohnLarson,'1935473330477219878',"Congress worked with both the Trump and Biden Administrations to create and launch the 988 Suicide &amp; Crisis Lifeline.

Ending the LGBTQ+ hotline is cruel and will put some of our most vulnerable youth at risk.
https://t.co/3CyokfHf3f",en,Tweet,1,8,7,2,1073.0,2025-06-19 00:02:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nbcnews.com/nbc-out/out-news/trump-administration-shut-lgbtq-youth-suicide-hotline-rcna213815,,
"Coons, Christopher A.",Senator,Delaware,,Democratic,Senate: 2010-Present,Yes,ChrisCoons,'1935473433879470246',"My commitment to Israel remains ironclad, but that does not mean the Trump administration can sleepwalk the US into a third war in as many decades. They owe Congress answers.

Read my statement with my fellow national security Democratic leaders here: https://t.co/KoeflVLBbm",en,Tweet,0,16,4,71,18512.0,2025-06-19 00:03:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.coons.senate.gov/news/press-releases/senators-coons-schumer-murray-reed-warner-statement-on-president-trumps-actions-in-the-middle-east,,
"Slotkin, Elissa",Senator,Michigan,,Democratic,"Senate: 2025-Present, House: 2019-2025",Yes,SenatorSlotkin,'1935474220042953004',"For our Secretary of Defense, the person who leads our entire military, character matters. Today’s hearing with Secretary Hegseth showed again he only cares about one thing. 

Pleasing President Trump. https://t.co/OyxwAvU0bV",en,Tweet,39,2276,577,601,126579.0,2025-06-19 00:06:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1935474013649690624/vid/avc1/568x320/mdQkss-xm9ISO4pk.mp4?tag=21
"Schumer, Charles E.",Senator,New York,,Democratic,"Senate: 1999-Present, House: 1981-1999",Yes,SenSchumer,'1935474418962018345',FIVE ways the Senate Republican bill is even worse than the House’s Big Ugly Betrayal: https://t.co/74y0qu3KmM,en,Tweet,8,193,87,295,26191.0,2025-06-19 00:07:15,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1935470843204714496/vid/avc1/1080x1920/mcRul1thdiA9uDsA.mp4?tag=16
"Carbajal, Salud O.",Representative,California,24,Democratic,House: 2017-Present,Yes,RepCarbajal,'1935474790476697938',"I was in Santa Barbara to introduce my American Dream for All Act, which would provide the next generation the support they need to overcome the steep cost of a down payment to buy their first home.

With my bill, first-time homebuyers can take their first steps toward achieving the American Dream. 🏡🔑",en,Tweet,1,7,0,47,1834.0,2025-06-19 00:08:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GtwwDYXXoAAKNis.jpg,https://pbs.twimg.com/media/GtwwDYZXMAAgs_j.jpg"
"Lummis, Cynthia M.",Senator,Wyoming,,Republican,"Senate: 2021-Present, House: 2009-2017",Yes,SenLummis,'1935474858747388356',"Wyoming airports are essential for western wildfire fighting, medical care, and supporting American energy production. I met with @POTUS' FAA nominee Bryan Bedford to discuss long-term improvements in how our airports are staffed, funded, and equipped. https://t.co/qvid5oWQ6N",en,Tweet,1,78,10,34,21061.0,2025-06-19 00:09:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GtwG0Y_WEAAYidq.jpg,https://pbs.twimg.com/media/GtwG1NmXwAAXRA8.jpg"
