tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970128660658085995',"From Reno to Washington, it's always a pleasure sitting down with Sam. Find the full episode below: 

https://t.co/bneBYoop7U",en,Tweet,0,9,0,4,962,2025-09-22 15:10:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://nevadanewsmakers.com/video/default.asp?showID=4454,,
'1969130269396336796',https://t.co/EnHNZwqDLN,zxx,Tweet,1,11,3,8,880,2025-09-19 21:03:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1PBV_3XkAAaDt8.jpg
'1966572189731213387',"China knows lithium’s value and is dominating the supply chain. Nevada’s Thacker Pass project shows the West’s potential to lead and secure American-made energy for America.

✍️Check out my joint op-ed with @JosephMLombardo in the Washington Examiner:

https://t.co/IVvBivKMOi",en,Tweet,4,59,16,19,3633,2025-09-12 19:38:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonexaminer.com/restoring-america/courage-strength-optimism/3804305/lithium-nevada-america-energy-future/,,
'1966525383299281053',"ICYMI: This week, the House passed the FY26 NDAA to sharpen America’s military dominance and bolster combat readiness.

This bill delivers on our commitment to responsibly strengthen our defense capabilities, invest in our troops, and restore a peace through strength posture. https://t.co/4iGbatihFs",en,Tweet,0,13,1,5,1150,2025-09-12 16:32:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0qAQCzWsAAgjZ5.jpg
'1966150175505936886',"Please join me in reflecting on one of our nation’s darkest days, September 11, 2001. Our country, our people, and our democracy were attacked. We honor the innocent victims, heroic first responders, and families whose strength carries them forward. They will never be forgotten. https://t.co/R9A8RnHpmx",en,Tweet,1,9,3,5,580,2025-09-11 15:41:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0krA-kXAAAG3cU.jpg
'1963277107251040709',"The Rosemont Decision disrupted decades of mining precedent vital to Nevada’s economy and our national security.

The Mining Regulatory Clarity Act restores the long-standing standard, giving land managers certainty to advance responsible U.S. mining over reliance on adversaries. https://t.co/Y1sAsWb7eo",en,Tweet,1,23,6,19,1750,2025-09-03 17:25:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1963268388463013888/vid/avc1/1920x886/ejpBUPPhSdsKmPTY.mp4?tag=21
'1958554889753124959',"This week, I toured Kraus Hamdani Aerospace’s hub in Reno to see their advanced AI-powered unmanned aircraft in action.

Their impressive technology supports our armed forces, aids disaster relief, enhances critical communications, and advances key national security priorities. https://t.co/0w0TeCVPDV",en,Tweet,0,15,3,16,943,2025-08-21 16:40:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gy4tNFYX0AAWK0D.jpg,https://pbs.twimg.com/media/Gy4tNFhXYAEGPt_.jpg,https://pbs.twimg.com/media/Gy4tNFQWgAAgFib.jpg"
'1956106894638244097',"Appreciate @USChamber for bringing together some familiar faces for today’s Tax Roundtable in Carson City. 

It was great to reconnect and discuss how the OBBB’s pro-growth tax reform will drive economic momentum for small businesses and working families across #NV02. https://t.co/vwT90gpX2V",en,Tweet,0,16,3,11,1728,2025-08-14 22:33:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NV02,,photo,"https://pbs.twimg.com/media/GyV82eCa4AUsjfy.jpg,https://pbs.twimg.com/media/GyV82eCbUAA8pk_.jpg"
'1953203861654589915',"The 2025 U.S. Capitol Christmas Tree will come directly from #NV02, specifically, the Carson Ranger District of the Humboldt-Toiyabe National Forest.

This is a once-in-a-lifetime honor for our state to be featured in one of our nation’s most cherished holiday traditions.",en,Tweet,0,12,3,7,992,2025-08-06 22:17:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NV02,,photo,"https://pbs.twimg.com/media/Gxsn_ihWgAAqiQi.png,https://pbs.twimg.com/media/GxsoDJYWoAAP1Wb.png"
'1952382585788621138',"Today marks the 235th anniversary of the United States Coast Guard. 

This multi-mission force patrols our maritime borders, responds to disasters, and defends our national security. 

Thank you to all the servicemembers of @USCG who answered the call to keep us safe! https://t.co/3u7KfIPf5z",en,Tweet,0,14,3,8,586,2025-08-04 15:54:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GxhBgVHWEAAv4sY.jpg
