tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970577305371038160',"I joined @ProtectCareVA and my Virginia Democratic colleagues @RepDonBeyer @RepMcClellan @RepSuhas @Rep_Walkinshaw to urge Republicans to end their health care disaster and work with us to protect the Affordable Care Act’s expiring tax credits for working families. 

Over 326,000 Virginians rely on those tax credits.

https://t.co/FExTaVaAP5",en,Tweet,1,17,11,1,1846,2025-09-23 20:53:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970494830410158125',"Wishing a happy, healthy and sweet new year to all those celebrating Rosh Hashanah! https://t.co/0OBMLHNJO1",en,Tweet,1,6,3,0,360,2025-09-23 15:25:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iamp5XUAEugIc.jpg
'1969928137611128937',"Had a great time last evening with I.C. Norcom High School Alumni, as they celebrated their band program and their distinguished former band directors https://t.co/jLZfXzvEFc",en,Tweet,1,4,2,1,503,2025-09-22 01:54:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1aXMgdXQAA6Euc.jpg,https://pbs.twimg.com/media/G1aXMgdWQAAU8Y0.jpg,https://pbs.twimg.com/media/G1aXMgeWkAAudcV.jpg,https://pbs.twimg.com/media/G1aXMgkWYAAw8Yr.jpg"
'1969920614329725392',Heard touching stories of how people overcame difficult health situations as a result of assistance from the Patient Advocate Foundation during their 24th Annual “A Promise of Hope” Affair https://t.co/7CZm1c8DzY,en,Tweet,1,5,4,0,460,2025-09-22 01:24:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1aQWnIXAAAwzTO.jpg,https://pbs.twimg.com/media/G1aQWnAXQAAsdug.jpg,https://pbs.twimg.com/media/G1aQWnIWEAAYqYp.jpg"
'1969576678419534099',Enjoyed attended a reception this evening in honor of Father Charles Dekay https://t.co/NOin00QHFK,en,Tweet,1,4,4,2,498,2025-09-21 02:37:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1VXJdRWAAAYdZq.jpg,https://pbs.twimg.com/media/G1VXJdLWYAAZTdO.jpg"
'1969574285338689984',Stopped by the Norfolk State football game this afternoon to cheer on the Spartans https://t.co/fwyoTAzk34,en,Tweet,0,3,3,0,491,2025-09-21 02:27:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1VVLt7WYAAM3bx.jpg,https://pbs.twimg.com/media/G1VVLx6XIAAfvop.jpg,https://pbs.twimg.com/media/G1VVLvfXoAApymA.jpg"
'1969419096933507524',"Republicans control the House of Representatives, the Senate and the White House and they promised they would lower costs for Americans. 

Instead, they slashed health care for 15 million Americans and set off a wave of hospital closures with their Big Ugly Law. 

We need a government funding bill that preserves access to health care, and Republicans need to work with Democrats to lower costs for America’s working families.  The Continuing Resolution fails to do that, and that is why I opposed the legislation.",en,Tweet,0,12,7,4,546,2025-09-20 16:11:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969054725870846088',"The assassination of Charlie Kirk was a reprehensible act. I unequivocally condemn political violence in all forms.

This resolution was unfortunately intentionally written to be divisive and I could not support in good conscience.

My full statement can be found below. 

https://t.co/W2LDS16KA1",en,Tweet,2,16,4,18,1726,2025-09-19 16:03:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968786290041606223',I have co-sponsored @RepVeasey and @RepPettersen's resolution.,en,Tweet,1,2,1,2,345,2025-09-18 22:16:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967988483093565641',"This one-time allocation will also likely not offset the funding shortfall HBCUs can expect as a result of the Republicans’ “Big Ugly Law” which cuts Parent PLUS loans, Graduate PLUS loans, and Pell Grants.
Read my full statement here ⤵️ https://t.co/JltyLoBpZL",en,Reply,1,3,5,1,445,2025-09-16 17:26:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-zGEdWQAIOUip.jpg
