tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970529050822361530',"Republicans have blocked Democrats out of the budget process because we’re standing up for families struggling with rising health care costs.⁣
⁣
They’re fighting for the wealthy. We’re fighting for working Americans. That’s the difference between us.",en,Tweet,16,851,329,995,132689,2025-09-23 17:41:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970510069730095241',"The president swore an oath to protect the Constitution—including the First Amendment. Trying to silence his critics doesn't show strength, it shows weakness. https://t.co/wqhhIBdddq",en,Tweet,0,19,5,14,2070,2025-09-23 16:26:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ioRfVWQAA5FwM.png
'1970486559095845342',Republicans voted on Friday to block funding and walk away from fixing their own health care mess. Families can’t afford this dysfunction—government only works if we work together. https://t.co/cqoQ4OZTGj,en,Tweet,0,18,6,17,1972,2025-09-23 14:53:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970486493165539328/vid/avc1/1080x1920/ey_bbAbTtfVw18kw.mp4?tag=21
'1970246980929757521',"l'Shanah Tovah to all those celebrating the Jewish new year in Delaware and all across the country!

Wishing you happy Rosh Hashanah and sweet and fulfilling 5786.",en,Tweet,0,11,3,9,1807,2025-09-22 23:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969152174983721326',"Denise is Delaware’s head school nurse, and she’s worried about what Trump’s and Kennedy’s anti-science conspiracy theories will do to Measles, Chicken Pox, and other diseases. I’m standing with Denise, and standing up for vaccine access for Delaware’s kids. https://t.co/nlxjsMskci",en,Tweet,1,20,3,34,3215,2025-09-19 22:30:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969152035921465344/vid/avc1/720x1280/JGj_8hsk2H4XZh-1.mp4?tag=21
'1969133995611799800',"Well, I’m glad to see at least someone is increasing sanctions on Russia, and holding China accountable for underpinning Putin’s war effort.
https://t.co/eOFZmLkyM2",en,Tweet,0,18,5,10,1971,2025-09-19 21:18:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nytimes.com/2025/09/19/world/europe/eu-sanctions-russia-ukraine.html,,
'1969093987756568679',Trump’s use of the FCC and the federal government to silence a comedian is just another chilling development down the road of ending free speech in America. https://t.co/wRR6u0jB6K,en,Tweet,1,25,6,167,37834,2025-09-19 18:39:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969093878646009856/vid/avc1/1080x1920/i3l_C91muDoRwQ2m.mp4?tag=21
'1968742333513445580',"America used to be the Leader of the Free World. With President Trump in charge, we're wallpaper. https://t.co/9eGOkfaQK7",en,Tweet,1,14,3,16,1947,2025-09-18 19:22:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JgmNvXwAAyJh9.png
'1968707306331205991',Kash Patel’s “performance” in this week's @JudiciaryDems Committee hearing was a stark reminder: this administration cares more about loyalty than competence and more about flattery than qualifications. The American people will end up paying the consequences. https://t.co/KZSUxYswdd,en,Tweet,3,126,34,97,4804,2025-09-18 17:02:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968705654228484096/vid/avc1/1080x1920/C6cvTgwv-LTU7SYl.mp4?tag=21
'1968506675100275140',Free speech means the FCC chair doesn’t decide what’s on television and the president shouldn’t threaten journalists for saying things he disagrees with.,en,Tweet,6,407,129,687,21817,2025-09-18 03:45:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
