tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970576803245801875',"For generations, the U.S. has led by example, standing with our allies, guiding deliberations at the U.N., and working toward a more peaceful, cooperative, and democratic world. 

Trump’s speech undermined decades of global trust and faith in America.
https://t.co/LNEuI6pG7B",en,Tweet,6,202,90,262,5839,2025-09-23 20:51:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/politics/2025/09/23/trump-united-nations-immigration-climate-change/,,
'1970270133156258069',"L'Shanah Tovah to all those celebrating Rosh Hashanah! I hope everyone welcoming in the New Year enjoys their celebrations with family, friends, and loved ones. https://t.co/9pyih6HKmX",en,Tweet,0,30,5,3,1773,2025-09-23 00:33:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eg5E2XsAAQGS_.jpg
'1970154854996902095',"Republicans gutted SNAP in July’s “Large Lousy Law.” 

Now Trump killed the USDA hunger report, turning a blind eye to struggling families. 

We must restore SNAP and guarantee the best data to meet the needs of seniors and working families.
https://t.co/DGz5Bmre8G",en,Tweet,4,150,73,102,4416,2025-09-22 16:54:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/nation/2025/09/21/trump-usda-hunger-report-food-insecurity/?itid=hp_more-top-stories_p002_f002,,
'1969184230513975651',"Americans have a right to peacefully protest and speak out about government policy. At Broadview today, ICE answered with tear gas & pepper spray. Earlier this year I was kicked out of another ICE facility while conducting oversight. I will not stop fighting for accountability. https://t.co/k4L7HQBGDL",en,Tweet,12,494,172,874,19252,2025-09-20 00:38:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,
'1969143065114743147',2025 Congressional App Challenge submissions by middle and high school students are due by Oct. 30! I look forward to seeing all the submissions from around the district. You can find more info here: https://t.co/fzZWjkzIBo https://t.co/VwxZ0MvhPd,en,Tweet,1,22,5,6,2942,2025-09-19 21:54:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://krishnamoorthi.house.gov/app-challenge,video,https://video.twimg.com/amplify_video/1969142672347586560/vid/avc1/720x1192/XuI0UcXcQIhtLMkT.mp4?tag=21
'1969080198843756789',"President Trump’s dismissal of violence faced by women is outrageous and insulting. 

But given his past friendship with Jeffrey Epstein, this attitude comes as no surprise. https://t.co/fcLzzxrWYx",en,Tweet,58,2834,822,132,44178,2025-09-19 17:44:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969080116186677248/vid/avc1/1278x720/DastD7U_COM-qGec.mp4?tag=21
'1969035655498862914',"Dawn Hunt is a daughter of Chicago and a victim of a gross miscarriage of justice. She and other Americans should not languish in Chinese prisons and be unjustly detained by the CCP. I’ve been fighting to bring them home—and America will never abandon its own.
https://t.co/mdiDCMCaof",en,Tweet,1,30,9,10,2338,2025-09-19 14:47:37,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,
'1968756409236861190',"The ICE raids in Elgin and Des Plaines are shameful and reckless. 

U.S. citizens were cuffed, detained, and tased. 

Families, small businesses, and our economy are paying the price for Trump’s political gimmicks. https://t.co/tFSw4VSIA4",en,Tweet,9,435,163,80,6520,2025-09-18 20:18:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968745089791840256/vid/avc1/1278x720/W2ZPrdX9YWYKeA_C.mp4?tag=21
'1968705848735047757',"The Trump administration is using the levers of government to silence speech it doesn’t like. Pushing Jimmy Kimmel off the air under FCC pressure is censorship, plain and simple—and it’s a dangerous assault on the First Amendment. https://t.co/BXMHIaiRsw",en,Tweet,4,142,64,202,6006,2025-09-18 16:57:05,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,https://www.nytimes.com/2025/09/17/business/media/abc-jimmy-kimmel.html,,
'1968660024429023600',"This is why I'm fighting for Oversight: 60 violations in 50 days. Trump’s ICE detention camp at Fort Bliss isn’t just mismanaged; it’s dangerous. No child or parent should be subjected to these inhumane conditions.
https://t.co/sATgR36LUF",en,Tweet,0,23,14,11,1541,2025-09-18 13:55:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/business/2025/09/16/ice-detention-center-immigration-violations/,,
'1968404986347360670',"LGBTQ+ youth are 4x more likely to die by suicide. The 988 Hotline has saved countless lives.

Yet the Trump Administration shut it down.

My bipartisan, bicameral bill will restore this lifeline and ensure every young person can reach the help they need.
https://t.co/EDDrASrGOm",en,Tweet,10,137,47,10,12608,2025-09-17 21:01:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.usatoday.com/story/news/nation/2025/09/17/lawmakers-bill-988-lifeline-lgbtq-youth-trump/86190383007/,,
'1968297385198788898',"Political violence must be condemned, always. 

But using it as a pretext to silence groups you dislike is just as dangerous. 

You can’t be pro–free speech and pro–shutting down your opposition.
https://t.co/JrN6to9T6Q",en,Tweet,2,54,21,28,2741,2025-09-17 13:54:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nytimes.com/2025/09/15/us/politics/jd-vance-charlie-kirk-show.html,,
'1968119924733133008',"In Elgin today, a U.S. citizen was cuffed and dragged from his own home during the Trump Administration's reckless “Operation Midway Blitz.” These mass raids are terrorizing communities and are just the latest example of a blatant disregard for civil rights and due process. https://t.co/pbxWmFjN3m",en,Tweet,6,150,72,90,5533,2025-09-17 02:08:50,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,
'1968061769559183652',"Instead of forcing rural hospitals to compete for scraps, Congress should reverse the GOP’s devastating Medicaid and health care cuts. 

That’s the real way to keep hospitals open.
https://t.co/HcNuvt6CpV",en,Tweet,0,22,8,5,1423,2025-09-16 22:17:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.com/news/2025/09/15/the-rural-health-hunger-games-are-underway-00563763,,
'1967999780971557260',"President Trump’s tariffs are hurting small businesses and our economy, but House Republican leadership is continuing to block Congress from pushing back on these harmful trade practices.
https://t.co/bZXk8LeALi",en,Tweet,1,20,8,6,1561,2025-09-16 18:11:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.com/live-updates/2025/09/15/congress/house-gop-to-extend-block-on-tariff-votes-00565091,,
