tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969123480554615145',"This week, I had the honor of meeting with the Tragedy Assistance Program for Survivors (TAPS) to discuss how we can better support the families of our fallen service members. 

In Florida’s 20th District, we are proud of our military families and committed to ensuring they receive the care and resources they deserve. Their sacrifice will never be forgotten.",en,Tweet,0,5,4,0,418,2025-09-19 20:36:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1O7XjNW4AA7hlQ.jpg,https://pbs.twimg.com/media/G1O7XjNXIAEksRZ.jpg"
'1968755201478901849',"I was honored to open Africa Diaspora Day on the Hill, where I shared how I’ve been hosting meetings to teach our district how to do business with Africa.

Doing business with Africa and the Caribbean can grow our local economy, create jobs, and strengthen ties between the U.S. and the diaspora.

By supporting efforts like AIDA and encouraging partnerships with African businesses, we’re helping District 20 tap into new opportunities right now and for the future.",en,Tweet,0,3,1,0,245,2025-09-18 20:13:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JsGAfXIAAPuTe.jpg,https://pbs.twimg.com/amplify_video_thumb/1968754837585006592/img/lVvksUr6sLxTCRAl.jpg"
'1968744817740960241',"95% of malaria deaths occur in Africa, resulting in profound loss of life. This crisis poses a significant threat to global health and demands urgent attention.

Reducing funding is not only poor policy but also detrimental to global security.

My resolution aims to strengthen Africa’s capacity to detect and respond to public health emergencies promptly.

Investing in Africa’s health is an investment in the safety of the American people.",en,Tweet,0,3,1,0,207,2025-09-18 19:31:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968744400491577344/vid/avc1/1080x1920/k5iXsvK8XZnzOPc3.mp4?tag=21
'1968434483184681295',"Each year, diaspora communities send over $100 billion to Africa and the Caribbean, and over $200 billion globally. This is untapped power. 

Diaspora finance is not a funding gap to be filled—it is a competitive advantage to be unleashed. 

It’s time for U.S. policy to recognize diaspora capital as a strategic asset. It fuels development, strengthens communities, and advances our soft power.

My amendment lays the foundation for unlocking capital, turning remittances into investment, fueling industrial growth, and deepening trust between the U.S., Africa, and Caribbean nations.",en,Tweet,0,4,1,0,235,2025-09-17 22:58:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968433834229202945/vid/avc1/1080x1920/PPlVRhh5AO6-BI_Q.mp4?tag=21
'1968377657537741078',"Haiti's instability affects the United States every day. Yet, the decision to dismantle the Office of Haiti Affairs was made without a clear strategy.

We must ensure that Haiti receives the attention it rightfully deserves. A stable Haiti means a more stable United States.

I remain committed to restoring the focus and urgency that the Haitian crisis demands.

I urge bipartisan support for my amendment.",en,Tweet,0,4,1,0,202,2025-09-17 19:12:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968377417392627712/vid/avc1/1080x1920/Soyta_S8HwRTj-At.mp4?tag=21
'1968364317515931936',"I had a very productive meeting with the International Franchise Association (IFA) to discuss opportunities and challenges facing franchise businesses in our district. 

Supporting local entrepreneurs and small business owners is key to driving economic growth and job creation in our communities. 

I look forward to working together to ensure our district continues to thrive.",en,Tweet,0,3,0,0,275,2025-09-17 18:19:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EI6gzWsAABviG.jpg
'1968348995119403167',"On Constitution and Citizenship Day, we honor the living document that safeguards our freedoms and strengthens our democracy.

I'm committed to upholding these values by fighting for the rights, opportunities, and voices of every constituent I serve.

Together, we protect the promise of a more perfect union.",en,Tweet,0,2,0,0,188,2025-09-17 17:19:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1D6-nJW0AMzEMe.jpg
'1968001164324061474',"The Veterans Readiness and Employment Program Integrity Act is a win for our veterans. They deserve timely, effective support as they transition to civilian life, and this bill helps hold the VA accountable.

I’m proud to share it has passed the House. Co-led with Rep. Ciscomani (R-AZ), this bipartisan bill increases transparency to the VA’s VR&E program.

I’ll keep working to get it signed into law.",en,Tweet,0,2,0,0,233,2025-09-16 18:16:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0--oOKW4AA6SV4.jpg
'1968000784789877045',"I met with Tom Krause, CEO of Cloud Software, and his team to discuss how we can drive growth and innovation in our district’s tech economy. Their expertise will help create new jobs, improve skills training, and attract investment to benefit our community.

I’m committed to advancing policies that create opportunities for all.",en,Tweet,0,1,0,0,197,2025-09-16 18:15:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0--SIaXUAA1sNA.jpg
'1967608302495256719',"Each Sunday, I look forward to beginning the week by speaking with congregations across South Florida.

Sharing legislative updates gives us the opportunity to come together not just in worship, but in gratitude for what we've achieved and in hope for what lies ahead.

I'm honored to stand with you and to be reminded of the strength we find in unity, purpose, and prayer.",en,Tweet,0,1,1,0,205,2025-09-15 16:15:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G05ZRniWQAA4NBH.jpg,https://pbs.twimg.com/amplify_video_thumb/1967608246375505920/img/XQ5YrovFBZvMDvwX.jpg,https://pbs.twimg.com/media/G05ZRnXXoAAyXQm.jpg,https://pbs.twimg.com/media/G05ZRnXWYAA-I7Z.jpg"
