tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969049919013953772',"Congress must take an all-of-government approach to broadband permitting reform.

Watch my remarks in @HouseCommerce, where I explain why we must act now while the iron is hot! https://t.co/HuF3sE2kY4",en,Tweet,0,5,0,5,293,2025-09-19 15:44:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969049687899406336/vid/avc1/1560x886/pLycFZ8D5KxX0I_9.mp4?tag=21
'1968003518306107603',"Huge news for Tallahassee and @FloridaState!

This new deal will provide vital resources and support to strengthen community health across the greater Tallahassee area.",en,Tweet,0,14,1,1,726,2025-09-16 18:26:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966542166932459816',"FirstNet is a crucial resource for first responders when disaster strikes and communication is difficult.

Watch my remarks in the @HouseCommerce Communication and Technology Subcommittee where I emphasize the need to fill in the gaps for this vital service. https://t.co/zWr9OZeGyp",en,Tweet,0,13,3,8,1031,2025-09-12 17:39:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966542002280968192/vid/avc1/1552x886/Ci6Ype0hXaMo14a9.mp4?tag=21
'1966124015908766182',"America stands strong in the face of terrorism and political violence. That was true on September 11th, and it’s true today.

Never forget. https://t.co/5GOA1ZJlv2",en,Tweet,0,12,2,4,511,2025-09-11 13:57:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kTVALWMAA2vzj.jpg
'1965955990249181385',"My team and I are monitoring police reports of two people stabbed at Cascades Park in Tallahassee. Fortunately, I’m told both victims are in stable condition.

Please stay safe and avoid this area.",en,Tweet,1,17,3,5,2356,2025-09-11 02:50:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965887369481171296',"Charlie Kirk inspired an entire generation of young people to love their country. He was also a dedicated father and husband.

Please join Leah and I in extending our deepest condolences to his family.",en,Tweet,0,33,7,7,2192,2025-09-10 22:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965853119197360208',Please join me in praying for Charlie Kirk.,en,Tweet,0,17,4,3,1728,2025-09-10 20:01:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965766122688725291',"Nothing should stand in the way of your right to repair your own vehicle. That includes personal AND commercial vehicles.

Thank you to the Commercial Vehicles Solutions Network for hosting me at your annual summit to discuss my bill, the REPAIR Act! https://t.co/mo9Jl4JwXi",en,Tweet,0,9,2,3,620,2025-09-10 14:15:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0fN3WvXAAAkUe_.jpg,https://pbs.twimg.com/media/G0fN3W6XsAAK1_G.jpg"
'1965463297987412419',"Coordinated care by a dedicated team of providers can be life changing for Medicaid patients with sickle cell disease.

Proud to partner with @RepDannyDavis in introducing the Sickle Cell Disease Comprehensive Care Act! https://t.co/B0cU0puMHA",en,Tweet,0,3,1,2,362,2025-09-09 18:12:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0a6c42XAAAf4B1.jpg
'1964850089341632622',"A tragic scene in Cape San Blas where local businesses were destroyed in a fire. Fortunately, no one was hurt.

My office is in touch will local officials to see how we can assist.",en,Tweet,0,9,2,1,1164,2025-09-08 01:35:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
