tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970265306569621529',Wishing all those celebrating a happy and healthy Rosh Hashanah! https://t.co/VQcq4YnYiU,en,Tweet,0,5,0,0,508,2025-09-23 00:13:49,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/G1fJ2tDWEAAAmLg.jpg
'1970215147722637663',"President Trump's $4.2 billion deal with Kazakhstan is a great win for Western Pennsylvania. 

This deal will support thousands of manufacturing jobs. @POTUS's America First Agenda is delivering for our commonwealth.",en,Tweet,0,11,4,7,1318,2025-09-22 20:54:30,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1969787684231975403',"Today, our nation mourns the tragic loss of Charlie Kirk. 

Charlie was a devoted husband, a loving father, and an American patriot. 

I believe we must continue to advance his conservative leadership and values across our great country. https://t.co/BuWR4JTJBa",en,Tweet,1,200,32,20,10030,2025-09-21 16:35:55,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/G1YXdejWUAAIC-f.jpg
'1969106251482095718',"Today, House Democrats voted to shut down the government &amp; voted NO to condemn the political assassination of Charlie Kirk. 

These are not partisan issues. The American people deserve better.",en,Tweet,0,8,0,12,784,2025-09-19 19:28:09,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1968771313390039354',"President Trump is reviving the American economy after four years of Biden's failed economic policies. 

Just this week:

🏠 Mortgage rates are at a three-year low. 

📈 The stock market is at an all-time high. 

⛽️ Americans are spending less of their income on gas than at any time in the last 20 years. 

💵 Small business optimism is surging.",en,Tweet,0,11,1,5,630,2025-09-18 21:17:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1968690212583751929',"Happy 78th birthday @usairforce!

Thank you to all those who serve our country and defend our nation. https://t.co/ciYl17bmmy",en,Tweet,0,6,2,1,512,2025-09-18 15:54:57,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/G1IxUPwWMAAOE6b.jpg
'1968458717759758614',"I am heartbroken to hear of the attack on our brave law enforcement officers in York, Pennsylvania.

My prayers are with the victims, their families, and our men and women in law enforcement.",en,Tweet,0,13,1,2,1995,2025-09-18 00:35:05,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1968025031742767581',@POTUS and congressional Republicans created the Rural Health Transformation Fund to save rural hospitals. This fund will deliver $10 billion annually to ensure rural hospitals can continue providing lifesaving care.,en,Tweet,0,1,1,0,303,2025-09-16 19:51:46,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1967973010201252012',Four months in a row with zero illegals released into our nation. @POTUS is keeping his promises to the American people.,en,Tweet,0,10,1,6,1446,2025-09-16 16:25:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966127746062626921',"Today marks 24 years since the worst terrorist attack in our nation's history. Nearly 3,000 lives were lost at the World Trade Center, the Pentagon, and in Shanksville, PA. 

We must never forget those we lost and their sacrifice. https://t.co/5RBCGC9kSL",en,Tweet,0,11,1,6,847,2025-09-11 14:12:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/G0kWxApXsAAp4BZ.jpg
