tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1927353999633649929',"The funeral service for Congressman Gerald E. Connolly is this morning at 11am. The livestream will be available here:

https://t.co/4FFiBnnCW0",en,Tweet,1,36,11,7,9153,2025-05-27 14:19:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://youtube.com/@heritagefellowshipchurchreston?si=X7g48XInZLQlc2XT,,
'1925166359983358136',https://t.co/jpWKyDUzEN,zxx,Tweet,283,5044,1207,1072,6199078,2025-05-21 13:26:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GreQmc1WAAA0UdE.jpg
'1924239716309745673',Deeply saddened to learn of my friend Joe Biden’s diagnosis. My heart is with him and the entire Biden family as he fights this terrible disease.,en,Tweet,13,963,77,69,56011,2025-05-19 00:04:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1922681593094664309',Proud to lead similar legislation in the House. This is a critical step the United States can take right now to stand alongside our friends and allies in Ukraine who are fighting for their survival and their freedom.,en,Tweet,1,58,14,13,10265,2025-05-14 16:53:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1921956538249269373',"Donald Trump is raising prices for you while he's accepting a ""palace in the sky"" from a foreign government. It's not only blatantly unconstitutional, it's about as out of touch as it gets.

https://t.co/dmMMyEh1X9",en,Tweet,1,50,9,9,8177,2025-05-12 16:52:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://abcnews.go.com/Politics/trump-administration-poised-accept-palace-sky-gift-trump/story?id=121680511,,
'1921589904150007973',"Happy Mother’s Day, VA-11!",en,Tweet,1,34,1,4,4879,2025-05-11 16:35:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1920825002355499262',"Today, on Military Spouse Appreciation Day, we celebrate and honor military spouses in VA-11 and across America. Thank you for your strength and your sacrifice.",en,Tweet,0,9,2,4,3150,2025-05-09 13:55:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1920556802355155454',"The election of Pope Leo XIV, the first American pope, is a moment of great joy and possibility for Catholics around the world. I join all who hope he will continue Pope Francis’s legacy of reform, moral clarity, and compassion for those among us who need it most.",en,Tweet,1,184,24,8,4588,2025-05-08 20:09:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1920479843117875580',"Public servants, including our incredible federal employees, are our nation’s unsung heroes.

During this Public Service Recognition Week, as public servants are under unprecedented attack, I introduced a resolution to honor and celebrate their service.

https://t.co/Zryuu1IrDA",en,Tweet,0,11,3,4,2934,2025-05-08 15:04:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://connolly.house.gov/news/documentsingle.aspx?DocumentID=6418,,
'1919469780978864584',"Thank you to @maziehirono and @RepCiscomani for leading this effort with me, and to all the cosponsors of this important bill: @RepSalinas, @RepRashida, @RepGregMurphy, @ZachNunn, @RepBrianFitz, and @RepJoshHarder.",en,Reply,0,4,0,2,2424,2025-05-05 20:10:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
