tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970580808453980313',"At this week’s Energy and Commerce Health Subcommittee hearing, I discussed the promise of new cancer screening technologies and the importance of ensuring that both patients and physicians have access to the best tools available. I also underscored how artificial intelligence can help make our healthcare system efficient and patient-centered",en,Tweet,0,2,3,6,281,2025-09-23 21:07:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970580717655445504/vid/avc1/1280x720/Q1yAJGa2JMGGc9EM.mp4?tag=21
'1970227103049146533',"Far too many of our heroes are lost to suicide, with an average of 22 veterans dying every day. Raising awareness is an essential step in ensuring they receive the support and resources they need. We honor our servicemembers and veterans by standing together, spreading awareness, and connecting those in crisis with help.",en,Tweet,1,5,2,8,327,2025-09-22 21:42:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1enDnHXEAEQiA6.jpg
'1969951684807049625',"It was an honor to meet with advocates from Mothers Against Drunk Driving, including my constituent Colin Campbell. We discussed the importance of preventing impaired driving, supporting victims and their families, and advancing policies that keep our roads safe for everyone. https://t.co/al5En9fnwW",en,Tweet,1,10,1,5,614,2025-09-22 03:27:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1asnF2XMAIiZH6.jpg
'1969584031336481238',I was honored to receive the Benjamin Franklin Public Policy Award from NAMIC. I will continue fighting to support consumers and strengthen policies that protect families and communities. https://t.co/KGfo9gNlyB,en,Tweet,0,15,2,6,669,2025-09-21 03:06:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1VePD0X0AAoH7Q.jpg
'1969096091841827055',Today we honor the brave Americans who were prisoners of war and those who are still missing in action. Their sacrifice and the anguish of their families must never be forgotten. We must remain committed to bringing every hero home. https://t.co/CcgdX6XPvj,en,Tweet,0,10,5,1,355,2025-09-19 18:47:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OicwxWUAALEYK.jpg
'1968782267133923597',I was grateful for the chance to meet with Blue Star Families to talk about the unique challenges faced by military families. Their advocacy is critical to ensuring our servicemembers and their loved ones have the resources and support they deserve. Strengthening these support systems is essential to improving quality of life for those who sacrifice so much for our nation.,en,Tweet,0,8,3,8,433,2025-09-18 22:00:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KE9MZW4AApH9u.jpg
'1968714511872901311',"Today we celebrate the 78th birthday of the United States Air Force. Since 1947 the Air Force has protected our skies, advanced American innovation, and defended freedom around the world. I am grateful to the men and women of the Air Force for their service and dedication. https://t.co/lLi4j80Lkl",en,Tweet,0,9,4,1,363,2025-09-18 17:31:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JHaYmXQA4c-1w.jpg
'1968411123650281548',"My office is hosting two Military Service Academy Information Meetings next week for students in grades 8–12, parents, and educators. These sessions will explain the admissions process, academy requirements, and the Congressional nomination, which is a key step toward an appointment. High school seniors applying this year are especially encouraged to attend.",en,Tweet,0,5,3,1,478,2025-09-17 21:25:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Ezd5GXcAA5-An.jpg
'1968346668354490477',"On this day in 1787 our Founding Fathers signed the United States Constitution, establishing the framework of liberty and self-government that has endured for more than two centuries. Constitution Day reminds us of the principles that make our nation strong and our duty to uphold them for future generations.",en,Tweet,0,11,3,3,473,2025-09-17 17:09:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1D42GSXEAAAEWK.jpg
'1967990051838849071',https://t.co/eoXrYSTTUl,zxx,Reply,0,2,1,0,231,2025-09-16 17:32:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://armedservices.house.gov/news/documentsingle.aspx?DocumentID=6335,,
'1967990050261479696',"I was proud to support the FY26 National Defense Authorization Act when it passed the House last week. With five military bases in our district, this bill is vital to strengthening our defenses and supporting our servicemembers. It provides a pay raise for our troops, better housing and healthcare for families, and invests in the advanced technologies needed to keep America safe.",en,Tweet,0,7,1,4,315,2025-09-16 17:32:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967689701201936468',"I am pleased that my bill, the Improving Atmospheric River Forecasts Act, was included in the Weather Act Reauthorization Act. This legislation will strengthen forecasting of extreme weather events—particularly atmospheric rivers, which are critical to California’s water supply yet can also cause devastating flooding. By improving our ability to predict and prepare for these events, we can better safeguard lives, property, and communities in California.",en,Tweet,0,10,2,5,1293,2025-09-15 21:39:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06jG2VXYAIR-hX.jpg
'1967319086402306286',"I spoke on the House floor in support of my amendment to ensure Marine training at Twentynine Palms can expand while protecting local aviation and events like King of the Hammers. Airspace is a public resource, and I will keep pressing the DOD and FAA to finally deliver a system that clearly communicates when restricted airspace is active so that the public can use it when it isn't.",en,Tweet,0,11,1,6,688,2025-09-14 21:06:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967318950364012544/vid/avc1/1280x720/c-jCKVBF9S_riDAU.mp4?tag=21
'1967079902517063732',"It was a privilege to help kick off the Entertainment Software Association’s “Composers of the Video Game Industry” event and celebrate two of the most powerful forces shaping our culture: video games and music. Artificial intelligence is giving composers new tools to create dynamic soundtracks that respond to gameplay in real time, enhancing creativity and making the player experience more immersive.",en,Tweet,0,8,1,1,676,2025-09-14 05:16:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0x4vcaWAAAe_JP.jpg
'1966572285889785915',"I was pleased to welcome music professionals for a roundtable discussion on the intersection of artificial intelligence and music. As co-chair of the House Bipartisan Taskforce on Artificial Intelligence, I remain committed to fostering innovation while also safeguarding the creative professionals whose work gives that innovation meaning.",en,Tweet,0,15,3,3,1241,2025-09-12 19:39:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0qrEIXWkAAsJBn.jpg
'1966141277411610758',"Today we honor and remember the lives lost on September 11, 2001. We pay tribute to the courage of first responders and the resilience of Americans who stood together in the face of tragedy. We will never forget the sacrifices made on this day and the lives forever changed. https://t.co/f34sOQEVbQ",en,Tweet,0,7,4,4,454,2025-09-11 15:06:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kjET9W4AAAuKY.jpg
'1965835067197976609',"I recently testified before the House Natural Resources Committee in support of my bill, H.R. 3925, the Yuhaaviatam of San Manuel Nation Land Exchange Act. This legislation authorizes an equivalent land swap between the federal government and the San Manuel Nation, exchanging federal acreage for land the Tribe has purchased at the Forest Services’ request. The bill will allow the Tribe to better manage its limited reservation lands, protect sacred cultural sites, and strengthen wildfire prevention in one of the most fire-prone regions of the country.",en,Tweet,0,4,1,2,512,2025-09-10 18:49:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965834961740541952/vid/avc1/1280x720/cqBP21ZDnhzynRIP.mp4?tag=21
'1965613065874862496',"I enjoyed hearing testimony from Sheriff Dicus of the San Bernardino County Sheriff’s Department during the Subcommittee on Communications and Technology hearing on Public Safety Communications. Public safety agencies rely on modern communications systems to protect our communities during disasters, and Congress must ensure a strong federal framework that supports our emergency responders.",en,Tweet,0,7,3,3,995,2025-09-10 04:07:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965612965773635584/vid/avc1/1280x720/LwyzArBbbEf9Hitz.mp4?tag=21
'1965169569019875556',"I enjoyed the opportunity to meet with Bill Nye of the Planetary Society. We had a thoughtful conversation about the importance of investing in scientific research, space exploration, and STEM education. I remain committed to advancing policies that support innovation and inspire the next generation of scientists.",en,Tweet,1,14,3,3,6459,2025-09-08 22:45:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0WvTVlW0AAK8-M.jpg
'1964862775223566670',"September is Suicide Prevention Month, a time to raise awareness, promote early intervention, and strengthen access to critical support services. If you or someone you know is struggling, help is always available through the Suicide and Crisis Lifeline by calling or texting 9-8-8, 24 hours a day.",en,Tweet,0,10,5,2,676,2025-09-08 02:26:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0SYP0KXMAAo3FK.jpg
