tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970616026565091364',"Stopped by Cranberry-Prosperity Elementary, the same school my wife, Cathy, attended.

Those kids—full of energy, curiosity, and big dreams—are the very best of West Virginia.

Our future is bright, and it’s walking the halls of schools just like this one! https://t.co/sMBd7yORks",en,Tweet,0,39,5,7,2582,2025-09-23 23:27:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kI1GIXkAAbRXf.jpg,https://pbs.twimg.com/media/G1kI1GKW4AAJOwI.jpg,https://pbs.twimg.com/media/G1kI1GHXIAEQG7b.jpg,https://pbs.twimg.com/media/G1kI1GKWgAAv2vq.jpg"
'1970181186979860539',"Harper's Ferry will welcome you with open arms and make you feel right at home. 

The world is catching on to all West Virginia has to offer. 
https://t.co/95rRQp9dKx",en,Tweet,0,21,2,6,3904,2025-09-22 18:39:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://x.com/wvnews247/status/1970148520351916295?s=46,,
'1968837804131078249',"Happy 49th Anniversary to the best wife, mother, and friend I could ask for.

Life with you has been the greatest gift, and I’m still just as lucky today as I was all those years ago. https://t.co/WqQuzhnoKi",en,Tweet,7,156,5,12,17054,2025-09-19 01:41:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1K3fX9XgAAeQXB.jpg
'1968825205553299820',"Happy 78th Birthday to the @usairforce!

Everyone should thank these brave men and women for all they do to protect our skies! https://t.co/rt57ogaWrW",en,Tweet,0,18,0,3,1434,2025-09-19 00:51:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Kr4oNWkAAnoQs.jpg
'1968747418691698711',"On #NationalTeachAgDay, we celebrate the educators who make rural America strong.

Our ag educators are shaping the next generation to feed our families, drive our economy, and carry forward the values that built this country.

Thank you for investing in our future leaders! https://t.co/GMXoXlgcEE",en,Tweet,0,8,2,7,1345,2025-09-18 19:42:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NationalTeachAgDay,,photo,"https://pbs.twimg.com/media/G1JlVteXwAA1D7I.jpg,https://pbs.twimg.com/media/G1JlVtZWQAAEMCV.jpg,https://pbs.twimg.com/media/G1JlVteW4AIF6mw.jpg,https://pbs.twimg.com/media/G1JlVtYX0AAmSKJ.jpg"
'1968710304767885804',"I was honored to receive the Friend of Adult Learners Award from the West Virginia Adult Education Association.

It was a privilege to speak with them and hear about everything they are doing to help our folks back at home.

Adult education is vital to West Virginia https://t.co/JVifgAhISa",en,Tweet,0,17,3,2,1474,2025-09-18 17:14:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1JDgmYXUAANGUM.jpg,https://pbs.twimg.com/media/G1JDgmSWoAABdJQ.jpg"
'1968388973451165815',"WV continues to win big with our Nucor investment by bringing hundreds of jobs to our state. 

This is a generational opportunity in action— building stronger communities, a stronger economy, and a stronger WV. 

We’re getting it done for our people!
https://t.co/buRmTaZLz9",en,Tweet,1,6,0,4,1103,2025-09-17 19:57:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://wvmetronews.com/2025/09/17/nucor-steel-to-begin-hiring-soon-for-entry-level-positions/,,
'1968339586456985815',"It was a pleasure meeting with the outstanding members of the American Association of Orthopedic Surgeons and the West Virginia Orthopaedic Society.

These folks are doing tremendous work to keep our communities healthy and moving. https://t.co/LtUrETNTYr",en,Tweet,1,13,3,4,1313,2025-09-17 16:41:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Dya5ZWMAAGnS4.jpg
'1968070056073642208',"West Virginia is shining brighter than ever—especially under our stars.
 
I’m proud we got the ball rolling on these incredible stargazing cabins in Coopers Rock. 

It’s experiences like this that have turned West Virginia into the crowned jewel folks can’t wait to visit. https://t.co/lcg1lxAxdo",en,Tweet,3,39,4,7,2450,2025-09-16 22:50:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_9RFlW8AEhnj_.jpg
'1967994327667441714',"Folks, Academy Days are coming up this weekend.

It’s a chance for students and families to learn more about the prestigious service academies and what they offer. 

My team will be there with Senator Capito to answer questions and lend a hand however we can.",en,Tweet,0,11,2,2,1912,2025-09-16 17:49:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
