tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970557205431636223',"One of the great privileges I have as a senator is nominating Arkansas students to our nation’s military academies. For those considering this path, I’ve shared tips to help navigate the process. Applications for a nomination from my office are due Nov. 1.
https://t.co/wEBzAyPqkM",en,Tweet,0,1,0,3,614,2025-09-23 19:33:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.boozman.senate.gov/public/index.cfm?p=dr-boozman-s-check-up&id=6C9810ED-83F8-4121-B8C6-61078853EA33,,
'1970239687349428350',"Always a pleasure to celebrate the bright young people who embody Natural State excellence. Congrats to J.R Free for achieving a new 5k record for the Mountain Home Bombers with the support of his loved ones, dedicated coaches &amp; team members.

https://t.co/drjSSDArcQ https://t.co/y3ER3uCfip",en,Tweet,0,8,1,2,837,2025-09-22 22:32:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.ktlo.com/2025/09/13/j-r-free-wins-sugar-creek-showdown-by-28-seconds-bombers-finish-3rd-overall/,photo,https://pbs.twimg.com/media/G1eyjXYXAAAX511.jpg
'1970150545185817089',"This year marks 78 years of @usairforce delivering the airpower that keeps our nation safe &amp; secure. READ my latest weekly column highlighting Arkansas’s role in this mission and our Natural State servicemembers who answer the call to protect and serve. 
https://t.co/ENrpTt3aS4",en,Tweet,0,1,1,3,764,2025-09-22 16:37:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.boozman.senate.gov/weekly-columns?ID=31D11F71-3C16-4165-AF15-E5C77E1CF7DF,,
'1969763545035268573',"Struggling with mental health is more common than we might realize. During #SuicidePreventionMonth, we can help make sure our loved ones and friends know they’re not alone &amp; the @988Lifeline is available 24/7 for anyone experiencing a crisis. https://t.co/J6Cnogg5Vi",en,Tweet,0,5,0,5,751,2025-09-21 15:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#SuicidePreventionMonth,,photo,https://pbs.twimg.com/media/G1PLgu7WkAEY5PK.jpg
'1969390335949168703',"Congratulations to the 141 Arkansas high school seniors named National Merit Scholarship semifinalists. Their hard work &amp; academic excellence reflect the strength of our schools and communities. I look forward to seeing all they accomplish.
https://t.co/RFXh16CeCU",en,Tweet,0,9,0,1,721,2025-09-20 14:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.arkansasonline.com/news/2025/sep/10/141-arkansas-high-school-seniors-named-national/,,
'1969139472915710031',Great news for Arkansas farmers.,en,Tweet,1,15,2,2,1912,2025-09-19 21:40:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969132484362190856',"It’s National Truck Driver Appreciation Week. I’m proud to lead the Senate in honoring the 3.6 million drivers who keep America moving. Arkansas’s trucking industry is vital, and we’re grateful for every mile they drive.

https://t.co/Z2JEvNU8w3",en,Tweet,0,5,0,2,705,2025-09-19 21:12:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.boozman.senate.gov/press-releases?ID=B4DFC67A-8472-4C9D-BDE5-E2FF707A70D0,,
'1969086870437904569',"As we approach America’s 250th birthday, the STARS Act will help more families experience the landscapes and history that shaped our nation – from Hot Springs and the Buffalo River to Gettysburg and Yosemite.

More on my bipartisan bill: https://t.co/cLGwsUeiSq https://t.co/5pTFwC0L8D",en,Tweet,0,3,1,3,710,2025-09-19 18:11:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.boozman.senate.gov/press-releases?ID=35FEA73E-0E4F-41A8-A7B1-B2C8A74B7F2C,photo,"https://pbs.twimg.com/media/G1OZ1tQW0AE4VDg.jpg,https://pbs.twimg.com/media/G1OZ1tQWcAEOa-K.jpg"
'1969019812106916285',"On this day, we reflect on the brave servicemembers who endured captivity or remain unaccounted for – as well as these heroes’ families. Their sacrifice is a powerful reminder of the true cost of our freedoms and our pledge to never rest until each one returns home. https://t.co/0di7swPSX3",en,Tweet,0,12,3,1,680,2025-09-19 13:44:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Nc8_EXgAABUyN.jpg
'1968778849493094415',"Arkansas’s trucking industry delivers more than freight – it delivers jobs, opportunity and economic strength. https://t.co/g27hb89R0o",en,Tweet,0,10,4,8,1248,2025-09-18 21:47:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KB0A1WIAAi41k.jpg
'1968727643869634607',Farmers in Arkansas and throughout our country are facing real challenges. Rising input costs and falling commodity prices demand solutionsthat keep our farmers farming. Our delegation and @SenateAgGOP are working to deliver the support they need. https://t.co/iyPs85Bghk,en,Tweet,0,9,5,4,879,2025-09-18 18:23:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968726458173419520/vid/avc1/1280x720/G63ZBIWeRqiwPMns.mp4?tag=21
'1968681845203083413',"We’re especially proud to celebrate Arkansas’s own @LRAFB and @188thWG. From Little Rock’s global airlift mission to Fort Smith’s cutting-edge ISR capabilities and FMS mission, our state plays a vital role in keeping America safe.",en,Reply,0,2,0,1,459,2025-09-18 15:21:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968681751019966792',"Today we celebrate @usairforce’s 78th birthday. As the son of a USAF Master Sergeant, I’m proud to honor the brave airmen ensuring America can always fly, fight and win. Arkansas and our nation are grateful for your service and sacrifice. https://t.co/xdaHfIDnOG",en,Tweet,0,5,0,4,599,2025-09-18 15:21:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1IpnTBXMAEDgqO.jpg
