tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970619138054979628',"While Democrats desperately try to rewrite history, @SenateGOP is firmly rooted in reality. We’ve offered a clean, short-term CR to allow for a bipartisan approps process. Left-wing political demands are the only thing standing between a fully funded govt &amp; a #SchumerShutdown.",en,Tweet,22,3104,965,1167,107877,2025-09-23 23:39:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#SchumerShutdown,,,
'1970606492836409669',"When it comes to foreign policy and national security, @POTUS is restoring peace through strength. https://t.co/pHM0d4KfCP",en,Tweet,9,360,54,150,13936,2025-09-23 22:49:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970606393297104896/vid/avc1/960x540/cJsvhVH2VyarLOw6.mp4?tag=21
'1970591651144909168',Great to talk to the senior government students at Sioux Falls Christian about the workings of the U.S. Senate. https://t.co/rxHqOY3DKn,en,Tweet,2,118,13,55,10739,2025-09-23 21:50:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1jxm51XEAA5F1M.jpg,https://pbs.twimg.com/media/G1jxvd8XcAAiCN0.jpg,https://pbs.twimg.com/media/G1jx1FTXQAAdPlz.jpg,https://pbs.twimg.com/media/G1jyfwOWMAALB7U.jpg"
'1970577448736530611',Enjoyed talking with the hardworking staff at Puerto Vallarta in Sioux Falls. https://t.co/T9Xx3i0D8N,en,Tweet,3,143,15,66,13000,2025-09-23 20:54:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jli3YW8AA2nGe.jpg
'1970518297985654804',Stopped by Occidental General Store in Isabel yesterday. https://t.co/5e53q1sPnF,en,Tweet,0,94,11,61,8539,2025-09-23 16:59:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ivnoJXoAAdAyz.jpg
'1970276889005793488',Great to visit Keffeler Kreations in Faith. https://t.co/WS9SYjcaLO,en,Tweet,1,105,13,41,12111,2025-09-23 00:59:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fUYUeWEAAt6p-.jpg,https://pbs.twimg.com/media/G1fUYUYXMAAD6FH.jpg,https://pbs.twimg.com/media/G1fUYUbWMAEstkV.jpg"
'1970256412992483461',Had a great discussion at the Moreau Grand Electric roundtable in Timber Lake. https://t.co/8AzAs8Mtwn,en,Tweet,0,53,6,24,8812,2025-09-22 23:38:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fBwXMXQAAi5ER.jpg,https://pbs.twimg.com/media/G1fBwXRXcAAruJC.jpg,https://pbs.twimg.com/media/G1fBwXIWgAAysTq.jpg"
'1970246823509156034',Great to catch up with folks at Faith Livestock Auction today and hear what's on their minds. https://t.co/kdIf8cist1,en,Tweet,0,88,11,60,11169,2025-09-22 23:00:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1e5CRAW4AA1Sou.jpg,https://pbs.twimg.com/media/G1e5CRDX0AAeeR1.jpg,https://pbs.twimg.com/media/G1e5CRLW4AACaWQ.jpg"
'1970236390840422477',Enjoyed visiting with students at Dupree High School. https://t.co/mUHcJZAjG4,en,Tweet,1,86,9,35,10458,2025-09-22 22:18:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1evilEXoAAn-tS.jpg,https://pbs.twimg.com/media/G1evilGXcAET2B2.jpg,https://pbs.twimg.com/media/G1evilVW0AANMv2.jpg"
'1969500299296387075',Great to see so many familiar faces at the Gypsy Days Parade in Aberdeen. Go Wolves! https://t.co/SMA9xAK7nH,en,Tweet,2,117,21,89,15001,2025-09-20 21:33:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1USFQ-W8AELezl.jpg,https://pbs.twimg.com/media/G1USFRDXwAA3tHW.jpg,https://pbs.twimg.com/media/G1USFRBXgAAQQ98.jpg,https://pbs.twimg.com/media/G1USFRKXAAALWwU.jpg"
