tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970591104216305819',"Republicans cut almost a trillion from Medicaid, and rural health care clinics are already paying the price. I’m fighting hard to end these cuts and protect rural health care. https://t.co/6aB5KPr4U2",en,Tweet,14,497,194,535,17762,2025-09-23 21:48:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970590975006236672/vid/avc1/1080x1920/sr1hWC91kiVWQBXl.mp4?tag=21
'1970566995599872446',"Donald Trump is pushing out prosecutors that have the audacity to not pursue totally baseless cases against his political enemies.

It sends a dangerous message: comply with his unreasonable and illegal requests… or else.",en,Tweet,1,90,29,92,5039,2025-09-23 20:12:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970558160533336255',"Trump refuses to negotiate with Democrats because the reality is clear: we have the stronger position. All we want is to keep the government open AND claw back some of Republicans’ health care cuts that will make YOUR premiums skyrocket.

Trump can’t face that, so he’s hiding instead.",en,Tweet,11,753,314,1124,26411,2025-09-23 19:37:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970236480648867935',This is what Republicans don’t want you to understand… their plan involves shutting down the government instead of simply keeping your health care costs low. https://t.co/4M4tJ6EYsN,en,Tweet,28,1625,554,1073,28523,2025-09-22 22:19:16,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1970235856926420993/vid/avc1/1920x1080/GChp332lPgLAzAw4.mp4?tag=21
'1970232402267033772',"L’Shana Tovah! Wishing the Jewish community in Virginia and across the world a healthy, happy New Year.",en,Tweet,1,37,7,12,3289,2025-09-22 22:03:04,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1970189197517463761',"Democrats put forward a bill to keep the government funded AND keep health care costs low for 22 million Americans.

Republicans said, “nah.” and voted it down because Trump told them to.

We’re careening towards a shutdown because of their carelessness.",en,Tweet,17,1189,589,865,24116,2025-09-22 19:11:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969188504027464173',Trump is firing anybody who gets in his way. https://t.co/wApIfFYVjI,en,Tweet,4,324,119,595,16809,2025-09-20 00:54:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969188321046724608/vid/avc1/540x960/3vvVfcg7lhDuqJxo.mp4?tag=21
'1969178369330696412',"Unbelievable. Trump has now announced he is pushing out a U.S. Attorney because he refused to prosecute Trump’s political enemies. 

The message is clear: Trump will punish anyone who has the independence to challenge his baseless vendettas.",en,Tweet,11,369,116,203,14395,2025-09-20 00:14:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969126566249529660',"Republicans just tanked a commonsense proposal to keep the government open AND prevent your premiums from skyrocketing.

They’re clearly on the record now: they’d rather shut down the entire government than keep health care affordable for millions.",en,Tweet,6,330,154,694,181944,2025-09-19 20:48:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969119987567640874',"I don’t often agree with Ted Cruz, but when he’s right, he’s right.",en,Tweet,5,117,20,60,11240,2025-09-19 20:22:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969052660515881351',Watch the full video here: https://t.co/axOoHN1vUQ,en,Reply,1,11,4,6,3798,2025-09-19 15:55:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://youtu.be/CiqmTJ55AJo,,
'1969052658817196506',"SOON: Republicans will vote to shut down our government instead of passing something simple to prevent your premiums from SKYROCKETING.

Here’s what’s going on and why you’re likely to have way higher health care costs next year: https://t.co/rYjMJtNVVq",en,Tweet,10,354,158,339,23568,2025-09-19 15:55:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969051925271212032/vid/avc1/1080x1920/OnUe87UJj-jAtqK9.mp4?tag=21
'1968797162889715726',"Attacks on health care don’t stay local.

When people go uninsured, they show up sicker and require more costly care in ERs.

Then, we all face skyrocketing health costs and longer waits for worse care.

No matter how you're insured, Republican health care cuts will cost YOU.",en,Tweet,1,94,43,111,6527,2025-09-18 22:59:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968791504052236751',Watch the full video here: https://t.co/2e9qesM7e9,en,Reply,1,19,6,8,4482,2025-09-18 22:37:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://youtu.be/Wx5px8Yi6v4,,
'1968791502156345484',I don't do this much https://t.co/5x2OOsmlM6,en,Tweet,4,184,73,99,6921,2025-09-18 22:37:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968791180092542976/vid/avc1/1080x1920/xeiF550IC7wYRhKz.mp4?tag=21
'1968751495731368083',Join me as I explain why this administration’s relentless attacks on our intelligence community are a dangerous and imminent threat to our national security. https://t.co/qsOJUnjyF7,en,Tweet,8,31,23,28,4064,2025-09-18 19:58:28,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://x.com/i/broadcasts/1mrxmBOyAXdKy,,
'1968727937709953351',12 days til a government shutdown and the Republican position is still crystal clear: they’d rather increase health care costs for all than simply keep the government funded.,en,Tweet,4,102,28,99,4958,2025-09-18 18:24:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968704686992572460',"The administration that most complained about cancel culture now routinely fires, intimidates, or silences its critics.

Trump is systematically silencing dissent – a direct attack on all of our First Amendment rights. We won’t be silenced.",en,Tweet,4,250,74,307,9514,2025-09-18 16:52:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968691584242758120',Donald Trump is supposed to be the world’s greatest dealmaker. So what’s he so afraid of? https://t.co/clJJbWvOet,en,Tweet,4,90,29,230,35946,2025-09-18 16:00:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968691482832879618/vid/avc1/540x960/NAgw-gw3gk7PhvHI.mp4?tag=21
'1968433935378968878',"For years, @SenTimKaine and I tried to raise the alarm – DCA was already at capacity and never needed additional flights.

The most crowded runway in the country should have never had more flights pushed onto it by out-of-state lawmakers. https://t.co/LtE7GHuif7",en,Tweet,2,83,32,35,4758,2025-09-17 22:56:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1FIMFSXQAAXLLK.png
'1968404239924797896',"Republicans are completely fine with skyrocketing the premiums of over 22 million Americans by 75%.

SEVENTY-FIVE PERCENT.

They would rather shut down the government than simply keep your premiums steady.",en,Tweet,3,202,102,184,7652,2025-09-17 20:58:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968372167479021963',"Republicans have the White House, the Senate, and the House. If government funding runs out, we will all know who is to blame.",en,Tweet,5,419,105,265,10021,2025-09-17 18:51:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968356077667598683',What a sickening attempt to silence history. https://t.co/b0FqZ6vUas,en,Tweet,6,291,102,190,9898,2025-09-17 17:47:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EBVK-WkAAMNJT.jpg
'1968344743043342433',"RFK Jr. ordered staff to rubber stamp immunization policies regardless of evidence.

Make no mistake: Americans will die needlessly if this is how RFK runs HHS.

He must resign.",en,Tweet,44,1518,479,232,71258,2025-09-17 17:02:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968333943687815453',"On this Constitution Day, let us remember the system of checks and balances and the separation of powers that were established in our framing document in order to preserve democracy. https://t.co/WuLAsoa6vG",en,Tweet,5,107,30,165,6689,2025-09-17 16:19:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968333880324132864/vid/avc1/540x960/jKqmPUzE-aS8LPUy.mp4?tag=21
'1968062315435372629',"If we don’t get these ACA tax credits renewed, we’re going to see increased premiums for all – but especially those covered through Obamacare.

They’re going to see their premiums spike by an average of 75%.",en,Tweet,6,245,114,134,7293,2025-09-16 22:19:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
