tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970526340102115328',"INL is crucial to America's energy future by driving innovation, advancing research and securing our energy independence. Rooted in Idaho, @INL’s work keeps our state at the forefront of next-generation energy solutions.",en,Tweet,0,5,0,6,1344,2025-09-23 17:31:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970238062312526206',One in eight men in the United States will receive a prostate cancer diagnosis in their lifetime. Early detection through regular health screenings is key to addressing this disease early when treatment is most effective. I urge all men to discuss screening options with their health care providers.,en,Tweet,0,3,1,4,831,2025-09-22 22:25:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1exE3CWoAEhl0j.jpg
'1970161170557616481',https://t.co/TiKdGSAba1,zxx,Reply,0,4,0,13,624,2025-09-22 17:20:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.crapo.senate.gov/news/in-the-news/weekly-column-investing-in-americas-forests-and-watersheds,,
'1970161168518873203',The recently introduced Headwaters Protection Act would expand key U.S. Forest Service programs focused on improving the health of our watersheds. This bipartisan legislation prioritizes local collaborative partnerships to advance watershed health and ensure clean drinking water. Protecting the headwaters sustains vital resources critical to Idaho's communities and agriculture production.,en,Tweet,0,7,1,11,842,2025-09-22 17:20:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1drENKWAAI5oP7.jpg
'1969431359887143163',"Meet Megan Knudson, a political science major at Boise State University who loves snowboarding at the Bogus Basin Ski Resort on the weekends.  Visit my intern spotlight page to learn more about Megan and how to apply for future internships in my D.C. and Idaho offices. https://t.co/yuC5X0fOgd",en,Tweet,1,8,0,10,926,2025-09-20 17:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1O4ie7XcAE5EvE.jpg
'1969119160333389899',Investment in local and state commissions for America’s 250th celebration will ensure commemorations reflect individual histories and contributions like those found in Idaho. https://t.co/2z30j4IP0s,en,Tweet,0,3,0,13,723,2025-09-19 20:19:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.crapo.senate.gov/media/newsreleases/idaho-delegation-supports-empowerment-of-local-communities-for-americas-250th-celebration,,
'1969024175609143314',"On National POW/MIA Recognition Day, we honor the servicemembers who were prisoners of war or are still missing in action. We will never stop our efforts to bring every hero home. My prayers are with their families, and their service in protecting our nation is not forgotten. https://t.co/rXLDjfGoVJ",en,Tweet,0,3,2,1,716,2025-09-19 14:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0rL2QFWQAA0daO.jpg
'1968678635214197200',https://t.co/UbzyLLSFCl,zxx,Reply,0,1,0,11,588,2025-09-18 15:08:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.crapo.senate.gov/media/newsreleases/senate-honors-work-of-forensic-scientists,,
'1968678632978563192',"The U.S. Senate unanimously agreed to designate September 14-20, 2025, as National Forensic Science Week! This resolution recognizes that forensic scientists and criminologists across the country, like those at @ispforscience, play a vital role in achieving justice for victims, exonerating the innocent and stopping criminals from acting again. Providing adequate resources to support prompt, thorough forensic investigations to bring perpetrators to justice is critical to ensure our communities are safe and secure.",en,Tweet,0,3,0,5,663,2025-09-18 15:08:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1IlsYSWEAAoChB.jpg
'1968661534726570116',"Happy Birthday to @usairforce! Thank you to the courageous airmen, especially those in Idaho, who bravely defend our nation's skies. https://t.co/SYwZNVVBKL",en,Tweet,0,10,1,4,804,2025-09-18 14:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0rLm7SW8AE6KLi.jpg
'1968298898109423752',"The U.S. Constitution promises Americans the basic principles of individual rights and freedoms, as well as a limited and representative government. It is a testament to the enduring principles of liberty, justice and the rule of law. https://t.co/E4epT0UPnt",en,Tweet,0,8,0,11,739,2025-09-17 14:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0rKbBGXAAA4sE6.jpg
'1968001954585419799',"I am grateful to the many Idahoans who choose to adopt, guide and encourage Idaho children,  our most important and cherished gifts. Thank you to @ccainstitute for all the hard work you do to make a difference in the lives of children by pairing them with loving, dedicated families.",en,Tweet,0,4,0,6,781,2025-09-16 18:20:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0-_AZ5WcAApIbc.jpg,https://pbs.twimg.com/media/G0-_AaSXIAAU7aC.jpg"
'1967704130660733317',Coeur d'Alene High School student Caleb Torgenson served Idaho well as a Senate page this summer.  I wish him the best in his future endeavors! https://t.co/RfqGUVbo9R,en,Tweet,0,10,0,7,907,2025-09-15 22:36:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.idahoednews.org/top-news/coeur-dalene-student-spent-his-summer-vacation-in-the-halls-of-congress/,,
'1967605858210074774',"Republicans’ bold, unprecedented investment in rural health care will rebuild our health infrastructure and address systemic problems facing care providers. 

With the One Big Beautiful Bill’s funding injection, states can now step up to the challenge and deliver much-needed relief for our rural communities.",en,Tweet,0,33,9,9,10456,2025-09-15 16:06:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967592079841710260',"In honor of Childhood Cancer Awareness Month, I stand with the brave children and their families fighting this terrible disease. By supporting research and policies for preventative care, early screenings and more effective treatments, we can achieve the ultimate victory against cancer.",en,Tweet,0,3,4,3,848,2025-09-15 15:11:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G05KjuYXgAALtox.jpg
'1967257033238880305',"Truck drivers power our economy, keep our store shelves stocked and deliver essentials each day. In Idaho, 72.4% of communities rely on truckers to move our goods and one in every fourteen jobs is part of the trucking industry. Thank you, truck drivers, for all you do to keep our economy moving.",en,Tweet,2,15,5,6,1398,2025-09-14 17:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0rHqu1XsAAtQ3L.jpg
'1966895398020108751',Decades of advocacy have finally paid off. The One Big Beautiful Bill includes a provision I have long advocated to renew and expand the Radiation Exposure Compensation Act for Idaho's Downwinders. This long-overdue compensation will provide justice to those who have suffered from the consequences of Cold-War era above-ground nuclear weapons testing.,en,Tweet,0,6,1,10,1154,2025-09-13 17:03:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0rMPDLX0AAupbC.jpg
'1966602867143594459',"The ROAD to Housing Act would address the difficulties in housing attainability for Idahoans by cutting red tape and reducing regulatory barriers to new and affordable housing. By reviewing how overregulation contributes to excessive costs and delays in supplying affordable housing, we can make the dream of homeownership a reality again. https://t.co/ouG2AsKQVA",en,Tweet,1,3,1,5,1557,2025-09-12 21:40:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966574744829837359',The One Big Beautiful Bill is a win for Idaho farmers and ranchers. It strengthens our agriculture industry and provides the certainty our producers need to thrive. Watch @IDFarmBureau’s video to see what some of Idaho’s industry leaders had to say at a recent visit to Obendorf Farms.,en,Tweet,0,7,3,12,1125,2025-09-12 19:48:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966574564449615872/vid/avc1/640x360/poyfTUnGD5a_n7k1.mp4?tag=21
'1966543988128665931',"Natural resources and the environment are best protected through collaborative efforts at the local level. The Headwater Protection Act equips farmers, cities and the Forest Service to help reduce water pollution at the source and deliver cleaner water for our communities. https://t.co/IexvcsRo8D",en,Tweet,0,3,0,4,877,2025-09-12 17:46:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966543054434643968/vid/avc1/640x360/lbTHulB83IwXKWtK.mp4?tag=21
