tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969117065194979417',"It was an honor to welcome Texas Agriculture Commissioner Sid Miller to my Washington office this week! We discussed the importance of ensuring our farmers and ranchers can secure their livelihoods for generations to come. TX-17 is home to some of the finest farms and ranches in the state, and I am proud to represent our hardworking members of the agricultural community.",en,Tweet,0,8,1,3,779,2025-09-19 20:11:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1O1hQ_WQAAgsHU.png
'1968809830056886572',"Happy Birthday, @SFASU! Axe 'Em Jacks!",en,Tweet,0,3,0,2,863,2025-09-18 23:50:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968809307727704461',"Today, I discussed my bill to abolish the DC Judicial Nomination Commission with Mayor Bowser, AG Schwalb, and Council Chairman Mendleson in an @GOPoversight hearing. Public safety in our capital is a national priority. By filling court vacancies faster, we are strengthening the DC courts to deliver justice, hold criminals accountable, and ensure DC residents and visitors are safe.",en,Tweet,1,114,33,13,5882,2025-09-18 23:48:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968809113577476096/vid/avc1/1268x720/qyIcrccB2G77DfsQ.mp4?tag=21
'1968678480251351324',🚨Watch now🚨,en,Tweet,4,32,12,7,7042,2025-09-18 15:08:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968438260650148229',Proud to announce that my bill to strengthen the DC court system has just passed out of the House! https://t.co/TzyegfTAWz,en,Tweet,1,122,31,9,7786,2025-09-17 23:13:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1FMGr0XAAEOT_J.jpg
'1968379154472284487',"Our nation’s capital should be safe. My bill strengthens the DC judicial system, ensuring law enforcement can do its job and the courts can deliver justice. As the son of a federal judge, I have a great respect for the judiciary and the process Constitutionally ordained to ensure fairness and hold criminals accountable. We must take action to give the courts the tools they need to do their job and get criminals off the streets.",en,Tweet,1,79,22,14,13662,2025-09-17 19:18:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968298907827572765',"On this day in 1787, the United States Constitution was adopted, laying the cornerstone of our great nation. The principles of the Constitution have guided America for generations and continue to inspire the work of forming a more perfect Union. Today, we celebrate this founding achievement to secure the blessings of liberty for all Americans.",en,Tweet,2,89,32,10,5214,2025-09-17 14:00:03,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0_5bgkWkAAKcgV.jpg
'1968036387380400466',"I enjoyed speaking this morning at @politico's AI & Tech Summit. It was great to share my perspective and to hear from administration leaders and industry experts on the transformative potential of AI, particularly in data organization and government technology. The federal government has an important role in the development of how AI technology is used and regulated. I look forward to the opportunities ahead as we continue exploring how AI can drive innovation and improve government services.",en,Tweet,0,4,3,2,609,2025-09-16 20:36:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_emrSXIAAIxsm.jpg
'1967710427292266772',"As an honorary advisor to America’s Future Series, I was pleased to recognize Admiral William McRaven, recipient of the Megellas Award, for his extraordinary service to our nation, both in uniform and as a civilian, and Bob Pragada, recipient of the 5 Star Award, for his outstanding support of our military and vital national security initiatives as a business leader.
 
American excellence is made possible by leaders like Admiral McRaven and Mr. Pragada. Congratulations to both on these well-deserved achievements!",en,Tweet,0,4,0,2,428,2025-09-15 23:01:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G062NE7X0AEDsgG.jpg,https://pbs.twimg.com/media/G062NEyXEAARi-a.jpg"
'1966948919495323977',"I was proud to host a successful Central Texas U.S. Service Academy Forum this afternoon! 

Thank you to everyone who joined us to learn more about pursuing a future at one of our nation’s prestigious service academies. It was inspiring to meet so many bright and driven young leaders dedicated to serving our country. Your enthusiasm and commitment give me great hope, the future is in good hands. 🇺🇸",en,Tweet,0,4,0,0,490,2025-09-13 20:35:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0wBnPUXkAEvPFG.jpg,https://pbs.twimg.com/media/G0wBnPXW8AAtxuT.jpg,https://pbs.twimg.com/media/G0wBnPXWwAAaE6T.jpg,https://pbs.twimg.com/media/G0wBnPVXkAAmJHP.jpg"
