tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970276172497068519',"As Jewish families across the country and around the world mark the start of Rosh Hashanah at sundown today, Abby and I wish them a Happy New Year.

To all who celebrate in #FL04, Shanah Tova! https://t.co/CWUZKRYgb0",en,Tweet,0,5,1,1,287,2025-09-23 00:57:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FL04,,photo,https://pbs.twimg.com/media/G1fTvJKXEAEL_Vq.jpg
'1969028308923769014',"On National Prisoner of War Missing in Action Recognition Day, remember the 500,000+ prisoners of war who endured the horrors of enemy captivity, and the tens of thousands of our patriots still missing in action. May we never forget. https://t.co/cUqvTkPDne",en,Tweet,0,7,1,2,242,2025-09-19 14:18:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969028232168046592/vid/avc1/888x500/-5-oItgLJMjOmqDK.mp4?tag=21
'1968485199466877205',"As retirement planning becomes more complex, it’s critical that seniors in Northeast Florida have the correct information to make confident, informed choices. This bill helps cut through confusing Social Security language so seniors can better understand their options and maximize their benefits. 

I was proud to help push for this legislation alongside @RepSmucker! 

(cc: @AARP)",en,Tweet,0,5,0,1,670,2025-09-18 02:20:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968080876626976901',"I’m pleased that #FL04 had the opportunity to hear from @SenAshleyMoody tonight during our town hall! Senator Moody is a true patriot, and she will continue fighting for our great state.

To the thousands of you who joined this evening to listen and ask your questions, thank you! It is truly my honor to serve as your Congressman.",en,Tweet,0,6,0,1,389,2025-09-16 23:33:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FL04,,photo,https://pbs.twimg.com/media/G1AHIFHXkAAKuG3.jpg
'1968080707273756927',"Thank you, @SenAshleyMoody!",en,Tweet,0,2,0,0,376,2025-09-16 23:33:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968006576092180776',"Pleasure meeting with you, @MoffittNews!",en,Tweet,0,3,0,0,399,2025-09-16 18:38:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967689187915649453',"𝑩𝒆𝒂𝒏 𝑫𝒆𝒎𝒂𝒏𝒅𝒔 𝑨𝒄𝒕𝒊𝒐𝒏 𝒐𝒏 𝑫𝒂𝒏𝒈𝒆𝒓𝒐𝒖𝒔 𝑴𝒊𝒍𝒊𝒕𝒂𝒓𝒚 𝑯𝒐𝒖𝒔𝒊𝒏𝒈 𝑪𝒐𝒏𝒅𝒊𝒕𝒊𝒐𝒏𝒔

Mold, toxins, and neglect have no place in military housing—period.

That’s why, I sent a letter to @HouseAppropsGOP and @HASCRepublicans urging a full review of the Military Housing Privatization Initiative (MPHI) in response to disturbing reports of unsafe living conditions affecting military families nationwide.

𝐎𝐮𝐫 𝐜𝐨𝐦𝐦𝐢𝐭𝐦𝐞𝐧𝐭 𝐢𝐬 𝐜𝐥𝐞𝐚𝐫: 𝐞𝐯𝐞𝐫𝐲 𝐦𝐢𝐥𝐢𝐭𝐚𝐫𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐝𝐞𝐬𝐞𝐫𝐯𝐞𝐬 𝐚 𝐬𝐚𝐟𝐞, 𝐡𝐞𝐚𝐥𝐭𝐡𝐲 𝐡𝐨𝐦𝐞. 

READ: https://t.co/33blXBDpV2",en,Tweet,0,5,0,2,339,2025-09-15 21:37:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G06i4zKXIAAANOe.jpg
'1966856252795089325',"🚨Telephone Town Hall Alert🚨

I’ll be hosting a Telephone Town Hall on Tuesday, 09/16 at 5:00pm with special guest @SenAshleyMoody!  

We want you to join us! If you haven’t already, be sure to sign up to receive the call at https://t.co/pKI2DOF9As https://t.co/Jjtx86MloN",en,Tweet,0,3,0,1,287,2025-09-13 14:27:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://bean.house.gov/contact/tth-signup,photo,https://pbs.twimg.com/media/G0utVgJW4AAMwcL.jpg
'1966620264642568461',"I was proud to cast my vote in support of H.R. 3838, 𝐭𝐡𝐞 𝐒𝐭𝐫𝐞𝐚𝐦𝐥𝐢𝐧𝐢𝐧𝐠 𝐏𝐫𝐨𝐜𝐮𝐫𝐞𝐦𝐞𝐧𝐭 𝐟𝐨𝐫 𝐄𝐟𝐟𝐞𝐜𝐭𝐢𝐯𝐞 𝐄𝐱𝐞𝐜𝐮𝐭𝐢𝐨𝐧 𝐚𝐧𝐝 𝐃𝐞𝐥𝐢𝐯𝐞𝐫𝐲 𝐚𝐧𝐝 𝐍𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐃𝐞𝐟𝐞𝐧𝐬𝐞 𝐀𝐮𝐭𝐡𝐨𝐫𝐢𝐳𝐚𝐭𝐢𝐨𝐧 𝐀𝐜𝐭 𝐟𝐨𝐫 𝐅𝐢𝐬𝐜𝐚𝐥 𝐘𝐞𝐚𝐫 𝟐𝟎𝟐𝟔 (𝐍𝐃𝐀𝐀). 

Here are just a few key points this legislation accomplishes:

🇺🇸 Enhances the quality of life for our service members and their families
🇺🇸 Reinforces the principle that border security is national security
🇺🇸 Builds ready, capable, fighting forces
🇺🇸 Restores the warrior ethos across our ranks
🇺🇸 Strengthens strategic deterrence, missile defense, and space-based capabilities",en,Tweet,0,5,0,2,434,2025-09-12 22:49:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0rWtTAWUAA0iZ9.jpg
'1966255456218919092',We must never forget. May God bless America. 🇺🇸 https://t.co/9zD1IwMJqW,en,Tweet,0,10,2,0,328,2025-09-11 22:40:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966255173040214016/vid/avc1/540x960/WHgI2hOHiMluZELx.mp4?tag=21
