tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970628193418702934',"The Republicans worked in good faith to negotiate a clean, short-term CR. It passed the House.

But Schumer and his Senate Democrats are trying to force in all of their radical priorities: health insurance for illegals, taxpayer funding for fake news, and massive spending hikes.

It’s a nonstarter.

If this government shuts down, it’s a #schumershutdown.",en,Tweet,0,71,38,10,6139,2025-09-24 00:15:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970570270151741853',"ISIS engaged in a heinous and unforgivable campaign of violence during the Syrian Civil War, funded in part by Lafarge. 

The victims have been waiting for justice. They have been waiting for answers. 

Congressman Hamadeh believes they deserve both.
https://t.co/ERaLjlJxb7",en,Tweet,0,50,14,9,4235,2025-09-23 20:25:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.thecentersquare.com/arizona/article_8362a68f-71ea-42bd-8689-23acb1320443.html,,
'1970519778675593465',"We need to send a clear message to the CCP that America is not for sale.

That's why Congressman Hamadeh led the fight to ban the taxpayer-funded distribution of their propaganda rag, the China Daily, in the halls of Congress.

https://t.co/MYlp3Iblf2",en,Tweet,1,47,7,5,2707,2025-09-23 17:05:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://justthenews.com/government/congress/gop-congressman-explains-why-he-proposed-bill-stop-delivery-china-daily-capitol,,
'1970313619880472990',"@ZacharyCejka Congratulations, Zach!",en,Reply,0,2,0,0,49,2025-09-23 03:25:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970276930453938567',"In 2022, Lafarge, a Paris-based building manufacturer, was found to have given material support &amp; resources to ISIS, &amp; ordered to pay a multimillion-dollar payout to eligible Americans

Congressman Hamadeh is asking why that money has not been distributed https://t.co/GXBZB1E5hd",en,Tweet,0,52,16,7,3901,2025-09-23 01:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://justthenews.com/government/congress/hamadeh-questions-doj-why-americans-have-not-received-funds-french-cement,,
'1970241113283010716',"They say a leader is only as good as the team they have around them.

Fortunately, Congressman Hamadeh has the best team in Washington, D.C.

We’re proud to serve Arizona’s Eighth Congressional District! https://t.co/WfX360ArKu",en,Tweet,13,329,51,24,24358,2025-09-22 22:37:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ez0y8W8AERmu5.jpg
'1970225589823906046',"""It's frightening that they aren't willing to condemn the killing and honor Charlie Kirk's legacy, considering what he's accomplished in 31 years. We're dealing with people who, I believe, lack a moral compass, making it much more difficult to work with them.""

Congressman Hamadeh talks to @JamesTHarris about last night's memorial service for Charlie Kirk.",en,Tweet,0,21,7,1,1143,2025-09-22 21:36:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,video,https://video.twimg.com/amplify_video/1970192176559583232/vid/avc1/1284x1288/fw9WWgLHmgtVJ8AO.mp4?tag=21
'1970210490162008136',"""It was powerful to have Erika Kirk go on stage and forgive the killer... We look at the militant left—their reaction would be to burn down cities and have riots like with George Floyd.... it was quite a contrast.""

Congressman Hamadeh talks to @JamesTHarris about last night's memorial service for Charlie Kirk.",en,Tweet,0,21,5,1,1145,2025-09-22 20:36:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,video,https://video.twimg.com/amplify_video/1970191261723160576/vid/avc1/1284x1288/x85KuDkLPe1mbkjh.mp4?tag=21
'1970195390583460095',"""Charlie lived a remarkable life in the short time he was on this earth. Now, it’s up to us. We can feel the motivation.""

Congressman Hamadeh talks to @JamesTHarris about last night's memorial service for Charlie Kirk. https://t.co/2Ok45ZadyD",en,Tweet,1,69,15,4,5013,2025-09-22 19:36:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970181272887513088/vid/avc1/1284x1288/8O0TIpPX-iXjdClq.mp4?tag=21
'1970180375348425161',"""The energy changed, and the atmosphere was incredible... over 100,000 people celebrating the life of Charlie Kirk... There was prayer. There was worship music. The energy was different from any other rally I've been to.""

Congressman Hamadeh talks to @JamesTHarris about last night's memorial service for Charlie Kirk.",en,Tweet,0,62,12,3,3350,2025-09-22 18:36:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970180312802934784/vid/avc1/1284x1288/xqiADq43GKMgYc7r.mp4?tag=21
