tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970601335562346970',"I also fully support President Trump’s call on India, China, and European nations to stop purchasing Russian energy. We can stop the war between Russia and Ukraine if we stop the funding stream for Putin’s war machine.",en,Reply,0,7,0,2,437,2025-09-23 22:29:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970601332554805273',"Great speech, Mr. President. Trump ended Russia’s ability to use the U.S. financial system to sell their energy to other countries. Can you believe Biden allowed this? For years, I fought the Biden Administration to end this loophole. https://t.co/L1kMchN3QE",en,Tweet,0,21,6,4,1280,2025-09-23 22:29:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970601270130925569/vid/avc1/884x490/PBMzmqVlXhFUsLNf.mp4?tag=21
'1970249853553766527',"I’ve joined an Amicus Brief supporting state bans on biological men participating in girls’ sports. We must fight to protect our girls in Court, in Congress, and in every community across our country. https://t.co/78n9V9p5Oq",en,Tweet,0,11,3,8,928,2025-09-22 23:12:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://barr.house.gov/2025/9/barr-joins-bipartisan-bicameral-amicus-brief-supporting-state-bans-on-biological-men-participating-in-girls-sports,,
'1970180973364187619',"In 2020, EKU’s College of Science honored him as an Iconic Professor for his lasting impact on generations of students. Please join me in wishing him a very Happy 100th Birthday and read more about his life and service in this great piece.",en,Reply,0,2,0,2,463,2025-09-22 18:38:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970180970629189948',"Happy 100th birthday to Dr. Sanford Jones! He bravely served our nation in WWII, then went on to dedicate his life to education and later as a professor at @eku. https://t.co/sXZst7YOEA",en,Tweet,0,6,0,5,567,2025-09-22 18:38:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://kentuckylantern.com/2025/09/01/world-war-ii-ended-80-years-ago-a-ky-vet-reflects-on-serving-in-the-deadliest-conflict/,,
'1970126983490408880',"I call on Australia, France and the U.K. to reverse this decision, at least until all hostages, living and deceased, are released and returned to their loved ones and Gaza is fully demilitarized.",en,Reply,0,19,3,4,540,2025-09-22 15:04:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970126976167080423',Hamas is a terrorist organization committed to killing every Jewish person they can; they butchered Israelis and Americans on October 7 and still refuse to release all of the hostages taken in October 2023.,en,Reply,0,16,1,2,550,2025-09-22 15:04:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970126966511522052',"Australia, France and the U.K. are key allies of the United States. But they are making a historic mistake. Diplomatic recognition of a “Palestinian state” is a reward for Hamas. https://t.co/XkkW4uI3zN",en,Tweet,0,18,3,11,1147,2025-09-22 15:04:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nbcnews.com/news/amp/rcna232588,,
'1969419076360683625',"Kentucky grieves with the 160th Special Operations Aviation Regiment, headquartered at Fort Campbell. Yesterday, four elite soldiers assigned to this unit died during a training exercise. Praying for all these soldiers and their families. https://t.co/2BW7cRFrjm",en,Tweet,0,13,0,7,929,2025-09-20 16:11:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.stripes.com/branches/army/2025-09-19/4-soldiers-jblm-helicotper-crash-dead-19151000.html,,
'1969066705214120080',"I proudly supported our Trump endorsed plan to keep the government open, keep our troops paid, and to keep Making America Great Again. I urge the Senate to reject a Schumer Shutdown and keep us moving forward. https://t.co/mbs3jdSW7s",en,Tweet,0,9,0,32,782,2025-09-19 16:51:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/house-passes-trump-backed-plan-avert-government-shutdown,,
