tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970634286194888774',I met with Lt. Col Wolfinger of the Military Officers Association of America (MOAA) to discuss ways Congress can support our active and retired military members and their families. MOAA is such a great asset for Missouri and Lt. Col Wolfinger always delivers for our community. https://t.co/5B1eImmLK8,en,Tweet,0,7,1,6,820,2025-09-24 00:40:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1kZbqVXMAAYfFx.jpg
'1970620499299312015',"RELEASE: Missouri Lawmakers Champion Rural Health, Unlocking Access to Quality Care for Rural Communities

Read here ⬇️⬇️⬇️

https://t.co/68F75WcS07",en,Tweet,0,7,0,3,605,2025-09-23 23:45:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://wagner.house.gov/media-center/press-releases/missouri-lawmakers-champion-rural-health-unlocking-access-quality-care,,
'1970594430202589251',The Working Families Tax Cut has and will continue to provide vital support to local businesses like Welsch Heating and Cooling and I will continue to visit businesses and speak with families to see the positive impact of our work throughout the 2nd District. https://t.co/Ph3L88ZhVA,en,Reply,0,8,3,1,628,2025-09-23 22:01:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1j1MDmXUAA6RaV.jpg
'1970594420580888735',I had a great visit to Welsch Heating and Cooling where Butch Welsch gave me a tour of this incredible small business founded by his great grandfather 130 years ago.  Customer service is their priority and you could see that in every part of the business. We spoke on their commitment to quality service and investing in our community.,en,Tweet,0,5,1,2,486,2025-09-23 22:01:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1j1LVbXEAAsvO2.jpg,https://pbs.twimg.com/media/G1j1LVUXQAANBET.jpg"
'1970286309475234084',Shanah Tovah to all our Jewish friends celebrating Rosh Hashanah. I wish you a happy and sweet new year. https://t.co/sGbmdVhm90,en,Tweet,0,5,0,4,737,2025-09-23 01:37:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fc9HuWsAAGPel.jpg
'1969149187003449819',Today we take time to honor POW/MIA Recognition Day and remember all those who are still missing in action or never made it home.  May God Bless them all and their families. https://t.co/nM4mC68K3G,en,Tweet,0,6,1,13,647,2025-09-19 22:18:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PSvbzXoAEZnqQ.jpg
'1969069490118828413',"My ENFORCE Act addresses the emerging crisis of AI-generated Child Sexual Abuse Material (CSAM).

There has been a 620% increase in AI-CSAM since last year. That is unacceptable.

Federal laws must be updated to hold offenders accountable for these crimes.",en,Reply,0,2,1,1,369,2025-09-19 17:02:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969069488755892654',"My CVF Stabilization Act ensures victims of child abuse and sexual violence are able to recover from these crimes and work with police to catch and prosecute the predators who caused them harm.

I am proud to have 300 House cosponsors & will fight to move this bill to the floor.",en,Reply,0,2,1,2,373,2025-09-19 17:02:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969069483529482409',I joined the Interparliamentary Taskforce on Human Trafficking’s biannual Anti-Trafficking in Persons Policy Roundtable to discuss my bills to keep our children safe from sexual exploitation. https://t.co/8eChfg8iOw,en,Tweet,0,6,1,24,532,2025-09-19 17:02:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OKPRGWgAIBWsN.jpg
'1968736336321433775',Happy Birthday to our @usairforce!,en,Tweet,0,6,1,20,870,2025-09-18 18:58:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
