tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970597224334733373',"I am proud to welcome Sam Altman and the teams from OpenAI and Oracle to “Silicon Prairie” as we launch the future of American innovation right here in West Texas.

From construction jobs to cutting-edge careers, this project means opportunities for our people, billions in private investment, and a powerful reminder that America - not China - will lead in the technologies of tomorrow.

West Texas has always been the backbone of our nation’s food security and was at the forefront of the energy revolution - now we’re powering the next frontier of information technology.",en,Tweet,0,4,0,0,496,2025-09-23 22:12:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1j3ug_XMAArlv2.jpg,https://pbs.twimg.com/media/G1j3ug1W0AArID-.jpg,https://pbs.twimg.com/media/G1j3uhAX0AA7i18.jpg,https://pbs.twimg.com/media/G1j3ug_WwAABoc4.jpg"
'1968698893031325826',"Where would we be today if Congress had honored its constitutional duty in 1979 to call an Article V Convention to propose a fiscal responsibility amendment when 34 states demanded it? Would we be facing $37 trillion in debt, $2 trillion annual deficits, and the prospect of mortgaging our children’s future while Washington continued unchecked spending?",en,Tweet,1,3,0,0,352,2025-09-18 16:29:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968697688125329408/vid/avc1/1080x1920/0cXzOvMARGni4L6t.mp4?tag=21
'1968685828554502220',"One of the Democrats’ worst COVID-19 power grabs was former President Joe Biden using the pandemic as cover to dramatically expand Obamacare through a scheme of temporary “enhanced” premium tax credits.

Read my opinion in @dcexaminer: https://t.co/z1XhRoH6GF",en,Tweet,0,2,1,2,375,2025-09-18 15:37:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://arrington.house.gov/news/documentsingle.aspx?DocumentID=4120,,
'1968672031508939212',"Charlie Kirk was beloved for his willingness to engage in conversations with people who disagreed with him — he was a reformer in life and has sparked a revival in death.

Read my latest opinion article, ""Remembering Charlie Kirk"" https://t.co/Ib4cGMO04Y",en,Tweet,0,3,0,1,346,2025-09-18 14:42:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://arrington.house.gov/news/documentsingle.aspx?DocumentID=4122,,
'1968670477091807672',"We are indebted at a greater extent than we were during World War II - $37 trillion in debt, a $2 trillion annual deficit. Our annual deficit will double over the next 10 years. We’re spending more to service the debt than we spend on all of national defense. This is a threat to our economic strength, our common defense, our tranquility and peace, and our children’s and grandchildren’s future. I don’t know a greater threat than this.",en,Tweet,0,6,0,4,355,2025-09-18 14:36:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968670322460135424/vid/avc1/1080x1920/xF-kmaG6OOPHKxWn.mp4?tag=21
'1968656172715552818',"Happy birthday to the United States Air Force! 

For 78 years, the USAF has secured freedom through American air defense and superiority around the world. 

I’m especially proud to represent our brave airmen and women at Dyess Air Force Base, where we’re excited to welcome the new B-21 Raider to the Big Country very soon.

Thank you for your sacrifice and service for the USA!",en,Tweet,0,3,0,1,407,2025-09-18 13:39:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ISWxwbIAABd2g.jpg
'1968641074303312062',"In 1979, Nevada became the 34th state to formally call for an Article V Convention to propose a fiscal responsibility amendment, fulfilling the two-thirds constitutional requirement that should have triggered congressional action.
 
Yet Congress took no action to call the convention, leaving decades of state applications unanswered and stripping the states of their rightful authority to check runaway federal spending.
 
The Constitution provides a remedy when the federal government is unwilling or incapable of doing its job – and that time for action is now.
 
That’s why I have introduced H.Con.Res.15 – a resolution calling for an Article V Convention of the States to propose a fiscal responsibility amendment to the Constitution. This is about restoring accountability and ensuring the states can exercise the authority our Founders intended.",en,Tweet,1,4,1,0,462,2025-09-18 12:39:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968640810561220608/vid/avc1/1080x1920/ev7Dy52EMWAmwhIW.mp4?tag=21
'1968375948446666823',"Today, the Ways & Means Committee unanimously advanced my bipartisan Nancy Gardner Sewell Medicare Multi-Cancer Early Detection Screening Coverage Act.

This critical legislation will give seniors access to groundbreaking innovation that will transform the way we treat, diagnose, and prevent cancer. With over 300 cosponsors in the House, 60 in the Senate, over 500 organizations and even Cowboys QB @Dak supporting it, we are closer than ever to unleashing the power of early detection and saving millions of lives. 

Watch my remarks to learn more about our fight to expand access to life-saving cancer screening.",en,Tweet,0,7,1,1,487,2025-09-17 19:06:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968374972209872897/vid/avc1/1920x1080/0xZd8KxTlAVj1F2H.mp4?tag=21
'1968146112885453115',"https://t.co/2xnVk6K9c9 I’m proud to champion legislation to end taxpayer-funded research using fetal tissue from abortions and am thrilled NIH will end more than a dozen grants that fund this immoral practice.

Grateful to the Trump Administration for standing up for life.",en,Tweet,2,9,2,2,785,2025-09-17 03:52:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.breitbart.com/politics/2025/09/10/exclusive-nih-pledges-not-to-renew-17-grants-for-research-using-aborted-human-fetal-tissue/,,
'1967952964879880636',"Charlie Kirk was beloved for his willingness to engage in conversations with people who disagreed with him - he was a reformer in life and has sparked a revival in death. 

When asked what he wanted to be most known for, Charlie said, ""I want to be known for courage for my faith.""

Charlie embodies the words of the apostle Paul who said at the end of his ministry, ""I have fought the good fight, I have finished the race, I have kept the faith.""

He modeled the best of America and his legacy will carry on through Erika, his young kids, and a generation inspired by him.",en,Tweet,1,9,0,3,569,2025-09-16 15:05:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
