tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970537375827624290',"Solving the housing crisis in America requires a collaborative, whole-of-government, approach. I recently joined @RepDeLaCruz in bipartisan legislation that requires HUD, USDA, and the VA to share housing data to accelerate affordable housing solutions in the U.S. Read more about it here: https://t.co/acl4egWFgD",en,Tweet,0,3,2,2,405,2025-09-23 18:14:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1i-zMSXAAEy1zr.jpg
'1970261885887865103',"Happy Rosh Hashanah! 🍎🍯 Wishing all who celebrate this holiday a sweet, joyful, and prosperous new year. May this season bring peace, reflection, and fresh beginnings. Shanah Tovah! ✨",en,Tweet,0,10,2,0,623,2025-09-23 00:00:13,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1969176016552665197',"On the Capitol steps with my Democratic colleagues standing against the cruel and costly Republican funding bill, that fails to protect health care for everyday Americans. We refuse to bend the knee to Trump’s billionaire buddies for yet another reckless Republican assault on health care.",en,Tweet,0,4,2,7,614,2025-09-20 00:05:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1PrJg2XgAEhIMm.jpg,https://pbs.twimg.com/media/G1PrJg6XwAAGeZK.jpg"
'1968812373352882596',"I enjoyed spending time with our Fall 2025 DC Interns, exploring the Capitol and hearing about their professional aspirations. Raising our next generation of political leaders, is one of my favorite parts of the job. Thank you, Fall interns, for everything you do to advance our democracy!",en,Tweet,0,5,2,7,740,2025-09-19 00:00:23,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,"https://pbs.twimg.com/media/G1KgYlxWEAAJi3O.jpg,https://pbs.twimg.com/media/G1KgZzNW0AA5b-W.jpg"
'1968759474165866601',"Republicans are ready to let health care tax credits expire, driving up costs for families. If these credits matter to you, now is the time to speak up. In the meantime, Democrats are fighting to protect them as we look to fund the government. https://t.co/TjWI8vMC0y",en,Tweet,0,0,1,5,506,2025-09-18 20:30:11,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1JwSqtWcAA5JAx.jpg
'1968646296459178063',"Hunger ends where compassion begins.” This #HungerActionMonth, I’m grateful for the Mid-Ohio Food Collective and food security advocates in Ohio and nationwide working to feed families. Consider how you can help your neighbors facing empty plates and then ACT. Your help is needed now more than ever.",en,Tweet,0,2,2,2,530,2025-09-18 13:00:27,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#HungerActionMonth,,photo,https://pbs.twimg.com/media/G1IJW3EWoAAZV4V.jpg
'1968449977618751897',"Today, the Democrat members of the Financial Services Committee, gathered with Dr. Lael Brainard to discuss the importance of an independent, and nonpartisan FED, which is vital for our economy. As the FED continues to operate, we will continue to advocate for its continued independence.",en,Tweet,0,4,1,4,961,2025-09-18 00:00:21,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1FWzmAWYAI8HOU.jpg
'1968393280317477115',"I was happy to meet with the PNC Regional Presidents for Ohio to discuss workforce development, job retention, housing solutions, and how we can continue to support our local banks. https://t.co/y7VqoPO9dU",en,Tweet,0,1,2,0,457,2025-09-17 20:15:03,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,"https://pbs.twimg.com/media/G1EjOJwXEAAsZkH.jpg,https://pbs.twimg.com/media/G1EjPXxWkAEl9C9.jpg"
'1968351087678640281',"This week, my bill, H.R. 3234, the Keeping Deposits Local Act, passed unanimously through @USHouseFSC markup. This bill will free up capital for MDIs, CDFIs, and rural banks to lend to small businesses, homebuyers, and nonprofits. Promoting small banks leads to local economic lift.",en,Tweet,0,5,2,1,702,2025-09-17 17:27:24,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968087647416434730',ICYMI: I returned as Honorary Co-Chair of the Women’s Faces of Courage Conference—reaffirming my fight for women and families against Trump’s One Big Ugly Bill that slashes health care and vital services for them and so many other Ohioans. https://t.co/SX1Jjb3W66,en,Tweet,0,4,1,0,546,2025-09-17 00:00:35,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968087561911357440/vid/avc1/1080x1350/LyKIcTHPrBubwRXI.mp4?tag=16
