tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970527590604574997',"The guy in charge of Social Security said they are considering raising the retirement age. This would have to go through Congress, and we won’t go down without a fight.",en,Tweet,1,4,1,5,594,2025-09-23 17:36:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969080521725464803',Our nation is in crisis. We are in a very dark place and Americans are scared and they want to see a way forward. We all need to start with ourselves. https://t.co/KGR7ZkJxvK,en,Tweet,0,12,3,21,729,2025-09-19 17:45:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969080425394896896/vid/avc1/1080x1920/vNgC2ukX5-rIFGNu.mp4?tag=21
'1968778522089927110',And they are capitulating to Trump to consolidate even more and to profit even more and get away with extorting even more. There is no limit to their greed. This is why we need a real antitrust movement in this country.,en,Tweet,12,144,46,13,11215,2025-09-18 21:45:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968751462541922803',This is what’s really behind ABC removing Jimmy Kimmel. Corruption. https://t.co/4qxrO8XimO,en,Tweet,20,351,152,515,17498,2025-09-18 19:58:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968751196744605696/vid/avc1/1080x1920/05wQsgfbiqoBil79.mp4?tag=21
'1968354844529602962',"The suffering in Gaza goes beyond the tragic loss of life inherent to war; at this point, the Netanyahu government’s actions appear to be a systematic, intentional destruction of the Palestinian people. https://t.co/bbS30YiS9j",en,Tweet,68,1774,551,304,147941,2025-09-17 17:42:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://couriernewsroom.com/news/rep-becca-balint-i-believe-israel-is-committing-a-genocide-in-gaza/,,
'1968014685816725990',You mean this leader? https://t.co/RpN6fvZEr5,en,Tweet,1,37,17,53,4608,2025-09-16 19:10:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968014180083974145/vid/avc1/1016x572/WqWvsW5FdZnkd-zm.mp4?tag=21
'1967950247684084075',Always moving the goal post. Does he understand that families have bills to pay *now* — not the beginning of next year?,en,Tweet,1,40,13,25,4440,2025-09-16 14:54:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967654512350679519',SPOILER ALERT: This is not going to trickle down.,en,Tweet,1086,61051,7130,687,1268378,2025-09-15 19:19:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967637417105690811',"Powerful men around Epstein knew exactly what was going on and they condoned it. Powerful men continue to protect powerful men in Congress.

Let the public see the Epstein files. We need one more signature on Massie's discharge petition. https://t.co/PNrjWSXpq3",en,Tweet,205,12926,4129,329,113402,2025-09-15 18:11:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967637159780790272/vid/avc1/1080x1920/aq5pUFs7_nbhKYvF.mp4?tag=21
'1966619984622186650',"100% false. Nancy Mace has used some of the most vile, dehumanizing, hateful, antisemitic, anti-trans language toward her colleagues and fellow Americans that I've seen. It’s our responsibility as leaders to do real work to take the temperature down.",en,Tweet,319,14396,2169,442,368616,2025-09-12 22:48:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966206112287412406',"I'll never forget 24 years ago today finding out about the attack on 9/11. We hold the memory of the 3,000 fellow Americans in our hearts today and everyday. And we will always remember the bravery of the first responders.",en,Tweet,0,7,0,7,1468,2025-09-11 19:24:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965859867790553415',Political violence is never the answer. This is NOT the way forward and has no place in a healthy democracy.,en,Tweet,6,175,19,258,17438,2025-09-10 20:28:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965846605497856177',"You have an antisemitism problem, @HouseGOP. https://t.co/DSjrWcdNMB",en,Tweet,151,4137,434,103,164681,2025-09-10 19:35:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0gW2RYXEAAumDW.jpg
'1965822368275902895',"But wait, there's more.

❗️$536 billion will be cut from Medicare if Republicans do not act this year.

❗️They've cut funding for  the CDC, NIH, vaccines, and medical research. People are going to die.

Once again, Democrats will NOT help them take away health care.",en,Reply,0,3,3,1,747,2025-09-10 17:59:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965822366052937834',"❗️Republicans took Medicaid away from millions of Americans.

❗️They forced hospitals, nursing homes, and health clinics to close.

❗️They did not extend ACA tax credits, so premiums, co-pays, and deductibles will go up for at least 20M people.",en,Reply,0,5,4,4,938,2025-09-10 17:59:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965822363213484175',"We will NOT support a partisan Republican spending bill that rips away health care from the American people.

Republicans have launched the largest assault on health care in our country's history. How so? Let me explain.",en,Reply,0,0,0,1,58,2025-09-10 17:59:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965822360080248847',"It's that time of the year when Congress must pass a bill to fund the government.

Republicans hold a trifecta in the government (they control the House, Senate, and White House), so this is on them.

Let me be clear: Democrats will NOT help them take away health care.",en,Tweet,0,16,6,11,2281,2025-09-10 17:59:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965514583176851895',Oh come on🤣,en,Tweet,22,1738,130,111,67155,2025-09-09 21:36:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965110292674986264',"Demilitarize DC now. Donald Trump cannot declare “war” on DC, Chicago, LA, or any city.",en,Tweet,0,15,4,11,1174,2025-09-08 18:49:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965050494021443876',"Donald Trump, as president, is now at the helm of a two-tier economy. And we know which one he cares about.

Hint: it's not the working class.",en,Tweet,0,9,4,8,1352,2025-09-08 14:52:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1964044368429408521',"Michigan!

Your Republican representatives in Congress voted with their whole chest to gut Medicaid and SNAP and pass the Big Ugly Bill. But they are nowhere to be found in their district. 

Join us instead on September 12 in Warren",en,Tweet,0,16,4,15,7063,2025-09-05 20:14:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963655963916878157',https://t.co/v70gItFxMH,zxx,Tweet,3,84,10,36,32880,2025-09-04 18:30:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1963655735750868992/vid/avc1/720x1280/Bt3V3Lujnf0q4OeP.mp4?tag=21
