tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970608147770548397',"I sat down at the KDRV in Medford to discuss the recent passage of the Continuing Resolution, provided an update on Congressional priorities, the vital importance of Medicaid and shared insights from my recent Tele-Town Halls. https://t.co/xI7YibPp1p",en,Tweet,1,5,0,4,198,2025-09-23 22:56:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1kBqnyWAAA1E5G.jpg
'1969432894159347786',"It was an honor and privilege to welcome Korean and Vietnam Veterans to Washington, D.C. for the Honor Flight of Central Oregon! 

I had the opportunity to present these brave veterans with a United States flags flown over our nation’s Capitol, along with a Congressional Record, thanking and recognizing their invaluable service to our country.",en,Tweet,0,10,0,3,377,2025-09-20 17:06:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1TUvh7WMAEjZpA.jpg,https://pbs.twimg.com/media/G1TUviBXAAEZsRK.jpg,https://pbs.twimg.com/media/G1TUviNX0AAQ5GR.jpg"
'1969067273022296210',"This morning, I had the honor of welcoming Korean, Vietnam and Global War on Terrorism (GWOT) Veterans to D.C., courtesy of the Honor Flight of Southern Oregon. 

I presented these brave Veterans with a flag flown over our nation’s Capitol, accompanied by a certificate so indicating, and with a copy of the Congressional Record thanking and recognizing them for their service to our country. 

These patriots defended the U.S. and fought for our freedom with honor and courage. They deserve our support and gratitude for their service to our nation.",en,Tweet,0,3,0,2,299,2025-09-19 16:53:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1OIP2sXYAAwDfx.jpg,https://pbs.twimg.com/media/G1OIP2nWQAAl0fB.jpg,https://pbs.twimg.com/media/G1OIP2rWoAAawuu.jpg"
'1968447496453021851',"Today, I had the opportunity to meet with Jerry Scott CEO of Elmer’s Restaurant Inc., here with the International Franchise Association. We discussed the exciting news of a new Elmer’s Diner opening in Bend, Oregon, and the importance of the American Franchise Act. This piece of legislation will help provide stability for the franchise model by aligning federal law with longstanding precedent and NLRB policy, while making sure small business owners can continue to thrive. 

Thank you for visiting my Washington, D.C. office!",en,Tweet,0,4,3,9,395,2025-09-17 23:50:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1FUkM4XkAAh-Zh.jpg
'1968391295807725875',"REMINDER: Do not forget to join me TONIGHT Wednesday, September 17th at 5:30pm PT for my Telephone Town Hall! 

You can participate in tonight’s telephone town hall by clicking the link below to listen ⬇️

https://t.co/Cxo5P7fqCM https://t.co/woCQDDdqLG",en,Tweet,0,3,0,4,293,2025-09-17 20:07:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://bentz.house.gov/live,photo,https://pbs.twimg.com/media/G1Ehc1PW8AATAIF.jpg
'1968326346125254823',"As a Member of Congress, I have the honor of nominating eligible candidates from Oregon’s Second Congressional District for appointment to the United States Service Academies. Students interested in a congressional nomination for Fall 2025 admission should visit https://t.co/dNd6hqeyEz for more details about the process and to request a nomination packet.

Completed nomination packets must be received by my Southern Oregon District Office no later than Friday, October 31, 2025.",en,Tweet,0,3,0,1,219,2025-09-17 15:49:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DmYTSXIAAz33J.jpg
'1968081407911268581',"Great news for Union County! I was glad to support the Grande Ronde Hospital’s grant (see attached letter). Today, I am pleased to share that Grande Ronde Hospital has received the $2.2 million dollars from the EDA to renovate its Acute and Behavioral Health Care Workforce Development Center in La Grande, Oregon. This project will expand and modernize a medical office building. Once completed, it is expected to create 156 new jobs while also saving 121 existing jobs. 

Thank you to the EDA for their continued support of rural communities!",en,Tweet,2,11,1,5,5228,2025-09-16 23:35:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1AHm5hXEAAJuoJ.jpg
'1968051252064829844',"Don’t forget to join me for my Tele-Town Hall for tomorrow Wednesday, September 17th at 5:30PM PT for Umatilla, Union, Baker, Gilliam, Malheur, Grant, Harney, Lake, Wallowa, Morrow, and Wheeler Counties! I look forward to hearing from you and discuss issues that matter most to you and your family! 

To participate, visit my website ⬇️

https://t.co/sEd1ET8A6T",en,Tweet,0,4,1,5,276,2025-09-16 21:35:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_sLu6W8AASrQL.jpg
'1966585311682842898',"This week, I met with leaders from Oregon’s Credit Unions to discuss important legislative priorities and what we can do to improve the business environment in Oregon. We also spoke at length about the growing threat of fraud, including how bad actors are using AI and other new methods to defraud our citizens.",en,Tweet,0,3,0,4,314,2025-09-12 20:30:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0q26vaXwAAmUvO.jpg
'1966534245465137311',"ICYMI:  In the @HouseCommerce Subcommittee on Energy, I discussed with the Chairman of the National Association of Home Builders on the cost of Oregon’s building standards which often adds 10–20% to the price of a home. While Mr. Hughes did say that these standards are “essential” he also admitted that they should ultimately be up to the homeowner. We do need more housing, and the real problem lies in inconsistent code enforcement by inspectors and whether on so-called “green” codes or not. He agreed. 

Those in Oregon deserve affordable homes, not endless red tape and arbitrary enforcement.",en,Tweet,0,3,0,3,263,2025-09-12 17:07:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966534033984167937/vid/avc1/1552x884/GXsQt12K_DGrQKoG.mp4?tag=21
'1966224160452919393',"Thank you to the Eastern Oregon County Commissioners, Lisa Collier, Jake Seavert, Derrick DeGroot, Rob Frank and Paul Anderes for visiting me in Washington, D.C.! In our discussion I spoke about my legislation to delist gray wolves in Oregon and Washington, the urgent need to reauthorize Secure Rural Schools (SRS), and how counties will continue to be supported through the Working Family Tax Cuts.",en,Tweet,0,5,0,3,389,2025-09-11 20:35:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0luc-2X0AA-4wL.jpg
'1966166496859582920',"ICYMI: In the Federal Lands Subcommittee on @NatResources, I questioned Chief Tom Schultz of the U.S. Forest Service regarding the disastrous wildfires devastating not only our nation but also communities across Oregon. In my questions to Chief Schultz, I pressed on key issues such as fire insurance, misconceptions about the availability of wildland firefighters and contractors, and the need to strengthen wildland-urban interface zones to protect our communities. I look forward to continuing these conversations with Chief Schultz as we work towards a safer, more resilient federal forests.",en,Tweet,0,4,2,1,385,2025-09-11 16:46:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966166234971385856/vid/avc1/1556x884/E54r1LXTYauOX1pr.mp4?tag=21
'1965907977749278767',Charlie was a passionate voice and leader for the conservative movement. My prayers are with Charlie and his family.,en,Tweet,1,16,0,5,509,2025-09-10 23:39:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965856807467053353',"Thank you to everyone who joined my Telephone Town Hall earlier this week! We had over 8,610 constituents join our call. It was great to take your questions and hear directly from you about issues that matter most to Oregon.

Don’t forget to join my next Telephone Town Hall on Wednesday, September 17th, at 5:30 PM PT for Umatilla, Union, Baker, Gilliam, Malheur, Grant, Harney, Lake, Wallowa, Morrow, and Wheeler Counties! 

Tune in at https://t.co/jPCnZAPXUP",en,Tweet,0,5,1,2,434,2025-09-10 20:16:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0ggWPmXIAAyrpu.jpg
'1965793671241928744',"Today I spoke at the National Association of Counties about the importance of PILT and Secure Rural Schools (SRS) for our rural communities. In my speech, I gave the an update on my efforts in the House to reauthorize SRS and make sure those funds reach the counties that depend on them most.  I also discussed the importance of counties recognizing the wins delivered through the Working Family Tax Cuts. 

It was also great to see Senator @RonWyden and hear his update on his efforts to reauthorize SRS in the Senate.",en,Tweet,0,4,0,2,212,2025-09-10 16:05:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0fm7Q5XUAA7IHL.jpg,https://pbs.twimg.com/media/G0fm7RbXEAEWj8R.jpg"
'1965084939264708859',"Don’t forget to join me for my Tele-Town Hall tonight Monday, September 8th at 5:30 PM PT for Klamath, Deschutes, Crook, Jefferson, Wasco, and Sherman Counties! I look forward to hearing from you and discussing the issues that matter most to you and your family.

To participate, visit my website ⬇️

https://t.co/jPCnZAPq5h",en,Tweet,0,3,0,6,351,2025-09-08 17:08:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0ViVmcWsAAWIqC.jpg
'1961094200880971988',"In Morrow County, I had the opportunity to meet with wheat growers, farmers, and ranchers who work every day to provide the high-quality food on which we all depend. Agriculture is the backbone of our communities and essential to Oregon’s economy. During our meeting, we discussed the One Big Beautiful Bill (OBBB) and how it delivers for our producers.

We also spoke about working closely with the Administration’s agencies to address the ongoing challenges of wolf management. Thank you to everyone who joined me, including Senator Todd Nash and Representative Bobby Levy!",en,Tweet,0,7,0,22,722,2025-08-28 16:51:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gzc0x7lWIAE93vU.jpg,https://pbs.twimg.com/media/Gzc0x7vXYAAhNFh.jpg"
'1960815858982510886',"In Heppner, I visited with Ann Murray at Murray’s Drug. We discussed the many challenges independent pharmacies face with pharmacy benefit managers (PBMs) and how PBM practices make it harder for local pharmacies to serve their communities. Thank you Ann for sharing your thoughts and all your work to ensuring our communities have access to quality care.",en,Tweet,0,2,0,9,652,2025-08-27 22:25:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GzY3oL7W0AAR9E3.jpg,https://pbs.twimg.com/media/GzY3oMPWIAAWSBY.jpg,https://pbs.twimg.com/media/GzY3oMFWIAAUYdq.jpg"
