tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970572997263040943',"America should never be dependent on the Chinese Communist Party for the critical minerals that power our phones, vehicles, weapons systems, and power grid, which is why I cosponsored the Securing America’s Mineral Supply Act. This bill makes permanent President Trump’s executive orders to strengthen American mineral production and reduce reliance on foreign adversaries, helping safeguard our economy, protect our military readiness, and put American workers first.",en,Tweet,0,9,1,7,464,2025-09-23 20:36:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969057979396772199',"I just voted to avert a government shutdown and keep essential government services fully funded, including those for our troops, seniors, working families, and border enforcement. With the bill passed, it now heads to the Senate this weekend. After nearly every House Democrat voted against funding the government, will Chuck Schumer decide to shut it all down just to spite President Trump?",en,Tweet,0,3,0,16,453,2025-09-19 16:16:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969056392091770884',"Today on POW/MIA Recognition Day, we honor the brave Americans who were taken prisoner in defense of our nation and those who never returned home. Their sacrifice, and the pain carried by their families, must never be forgotten. As Chairman of the House Veterans’ Affairs Committee, I will continue working to bring every possible hero home and to honor the sacrifice of those who never made it back.",en,Tweet,0,9,3,5,454,2025-09-19 16:10:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N-WngWQAAJACq.jpg
'1969028582660837675',Big win from the Trump administration for our veterans!,en,Tweet,0,5,2,1,523,2025-09-19 14:19:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968774340658200652',"This week, I voted on a series of bills to make Washington, D.C., safer for residents and law enforcement. These bills strengthen criminal sentencing, allow police to take necessary action against dangerous suspects, and ensure serious juvenile offenders are held accountable. It’s vital for our nation’s capital to be safe, and every American deserves to live in a secure community. These measures build on President Trump’s successful efforts to restore law and order, and I’m proud to help get them passed in the House.",en,Tweet,0,1,0,4,326,2025-09-18 21:29:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968740984239571351',"I met with AmericanHort, which represents the nursery and greenhouse industry, to talk about priorities for the upcoming Farm Bill. As a member of the House Agriculture Committee, I’ll keep working to make sure the bill supports growers, strengthens our supply chains, and gives Southern Illinois agriculture the tools it needs to thrive.",en,Tweet,0,4,1,4,367,2025-09-18 19:16:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Jffc1X0AAwBUk.jpg
'1968685327930826948',"Happy 78th birthday to the United States Air Force. Here in Southern Illinois, we’re especially proud of Scott Air Force Base, which plays a vital role in our national defense and is one of our region’s largest employers. I’m grateful to the men and women of the Air Force and their families for their service and sacrifice to keep America safe.",en,Tweet,0,11,2,6,666,2025-09-18 15:35:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Is3yrXUAAJS8j.jpg
'1968433291935236498',"Great news from the Department of Veterans Affairs this week: the backlog of veterans waiting for benefits is down 45%. As Chairman of the House Veterans’ Affairs Committee, I’ll keep working to build on this progress and ensure every veteran gets the care and support they have earned without delay.",en,Tweet,1,14,4,8,476,2025-09-17 22:54:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1FHpXYWMAAWW4g.jpg
'1968328501615788218',"Today is Constitution Day, a reminder of the sacred document that has kept our Republic strong for more than two centuries. The Constitution was written to protect the rights of the people and limit the power of government. When I took the oath of office, I swore to uphold it, and I’ve made it my focus to ensure every decision I make in Congress follows the Constitution. I will always fight to defend this foundation of our freedom for future generations.",en,Tweet,0,8,0,8,591,2025-09-17 15:57:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DoVzLXwAA0kGe.jpg
'1968099024294293731',"I met with members of the Illinois Manufacturers’ Association today, including representatives from Boeing’s Mascoutah facility and Carbondale’s Intertape Polymer Group. We had a productive conversation about keeping supply chains strong and taxes low for working families and job creators. I will continue fighting for policies that allow them to grow and create good-paying jobs in Southern Illinois.",en,Tweet,0,3,1,5,477,2025-09-17 00:45:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1AXoW_X0AAw-PC.jpg,https://pbs.twimg.com/media/G1AXoXBXMAAGqqt.jpg"
