tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970193015903076371',"When a constituent couldn’t get mail delivery for over two months, my office stepped in and within days, the issue was resolved. Proud to deliver real results for the people of Northeastern Pennsylvania. https://t.co/K5Ib43dDJi",en,Tweet,0,5,1,3,234,2025-09-22 19:26:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eIF_uW4AESkoD.jpg
'1969114272128254268',"On National Tradesmen Day we thank the men and women who keep our communities running, building, fixing, and powering America. https://t.co/wZ1EQ6U4rx",en,Tweet,0,5,2,0,205,2025-09-19 20:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0Ad0FoWYAAIYYb.jpg
'1969038782054928394',We honor the courage and sacrifice of our Prisoners of War and those Missing in Action. We remember their bravery and remain committed to bringing them home. You are not forgotten. https://t.co/6zB6RLrzgL,en,Tweet,0,2,0,1,171,2025-09-19 15:00:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0Ac-saWoAEeFW0.jpg
'1968777076573364318',"Proud to be a cosponsor of legislation that fights for veterans in rural areas, and glad to see its passage out of the House this week. https://t.co/GAeGKts1O4",en,Tweet,0,3,1,3,216,2025-09-18 21:40:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KAUQBWUAASBoF.jpg
'1968750900551246215',"Federal money often flows to big cities, leaving rural communities behind. Today at @HouseAgGOP, we discussed how communities in PA-08 can learn about and take advantage of @usdaRD programs and essential resources for our small towns. https://t.co/JKhL8aVmcL",en,Tweet,0,7,2,2,705,2025-09-18 19:56:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968750796972892160/vid/avc1/568x320/QrRdJ_uFa-pQ-btx.mp4?tag=21
'1968676389705617763',Today we celebrate the birthday of the United States Air Force and honor the brave men and women who have soared to new heights in defense of our nation. Aim high. Fly. Fight. Win. https://t.co/oBboln7T4q,en,Tweet,0,4,0,4,256,2025-09-18 15:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gz3mMp1WoAAyk23.jpg
'1968461122584862838',"Chelsea and I are devastated by the shooting in York County today and the loss of three officers. Our thoughts and prayers are with the Northern York Regional Police Department, the York County Sheriff’s Office, and the families and friends of the law enforcement officers.",en,Tweet,0,12,1,1,1148,2025-09-18 00:44:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968410896893464825',"Had a great conversation with contractors about infrastructure, permitting reform, and workforce development. I shared how clear, district-focused priorities get results. From running a contracting business to Congress, I’m committed to delivering for Northeastern PA every day. https://t.co/nny2l3LRj9",en,Tweet,0,2,0,1,236,2025-09-17 21:25:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1EzRu-XMAAfADi.jpg,https://pbs.twimg.com/media/G1EzRu8X0AEcDsN.jpg"
'1968313999633564154',"On Constitution Day, we honor the founding document that defines our democracy and protects our freedoms. Signed in 1787, the Constitution remains the foundation of our nation’s strength, resilience, and rule of law. https://t.co/vugly1a2ui",en,Tweet,0,7,2,3,379,2025-09-17 15:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0A2qraXIAAICKR.jpg
'1967951615299829941',"Need a passport? No appointment needed!
Join the Philadelphia Passport Acceptance Event on Saturday, September 27, 2025, from 8:00–10:30 AM at the Philadelphia Passport Agency. Learn how to apply for or renew your passport. Fast, easy, and walk-in friendly. https://t.co/5N6e6AZks2",en,Tweet,0,2,0,0,203,2025-09-16 15:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0VV6FlXQAE51a6.jpg
'1967693018351444272',"Last week marked the 14th anniversary of the 2011 floods in Northeastern PA, which nearly breached the Wilkes-Barre levee. Restoring BRIC funding is essential to protect communities and complete critical flood mitigation efforts. https://t.co/goaeLZFUwL",en,Tweet,0,3,1,3,308,2025-09-15 21:52:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967692912591790080/vid/avc1/568x320/5cI8pl7Yt1g147k6.mp4?tag=21
