tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969160255964582006',"Last week, I honored the winner of the inaugural Clash of Highway 29, the LaGrange College Panthers, on the floor of the U.S. House of Representatives.

Congratulations to the Panthers, led by Coach Wes Dodson, QB Henry Brodnax, WR Dami'on Thompson, and K Landon Eaker.

Wishing the Panthers the very best tomorrow against Centre College, and the rest of this season!

@LCPanthers
@LaGrangeFTBL
@CoachWMD
@HBrodnax3
@13_DThompson
@Landon_Eaker",en,Tweet,0,11,6,3,1143,2025-09-19 23:02:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969160039068741633/vid/avc1/960x540/S5mO5UY9x8VGiVyx.mp4?tag=21
'1966234673769754724',"Our country mourns the loss of Charlie Kirk.

Charlie was a Christian, a father, a son, and a leader with whom many of us enjoyed working.

Charlie led a movement that was organized through the simple principle of respectful political discourse.

The structure of each of his events was built around direct, civil dialogue across college campuses with America’s future leaders.

Until yesterday.

There is a growing ideology infecting our country that teaches its depraved adherents that people of different perspectives are not worthy of life.

We must defeat this evil, and serve swift justice to those who perpetrate it.

May Charlie Kirk forever Rest in Peace, and may his voice and approach to free speech be remembered for generations to come.",en,Tweet,1,46,4,17,1612,2025-09-11 21:17:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966175578668806264',"Today, we remember and honor the innocent lives lost from the terrorist attack on September 11, 2001.

May we Never Forget.",en,Tweet,0,84,12,8,13243,2025-09-11 17:22:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965853435217281231',We lift up Charlie Kirk in prayer.  May he fully and swiftly recover.,en,Tweet,0,52,6,9,1699,2025-09-10 20:02:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1964830135691149339',"This weekend, I visited Muscogee, Carroll, and Troup Counties!

✅  Addressed hundreds of hunters from our district at NG Turf’s annual Dinner and Doves event
✅  Celebrated the newest college football rivalry in Georgia: The Clash of Highway 29, between LaGrange College and Point University
✅  Delivered color commentary on the Columbus Clingstones broadcast during their last homestand of the season",en,Tweet,0,16,6,30,1544,2025-09-08 00:16:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0R6l0PXkAAxwgh.jpg,https://pbs.twimg.com/media/G0R6l0cXAAABjgq.jpg,https://pbs.twimg.com/media/G0R6l0PXMAAESvw.jpg,https://pbs.twimg.com/media/G0R6l0RXwAAhGQc.jpg"
'1964079348786311593',History in the Making: This Saturday marks the start of the newest college football rivalry in Georgia: the Clash of Highway 29 between the LaGrange College Panthers (@LaGrangeFTBL) and the Point University Skyhawks (@PointFootball)! https://t.co/C7EjASpzmL,en,Tweet,0,15,1,12,2258,2025-09-05 22:33:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1964078780701384704/vid/avc1/960x540/HNvaAZY1Pg-Ejxnq.mp4?tag=21
'1958898491138199875',"It was an incredible honor to welcome Vice President @JDVance, Administrator Lee Zeldin (@EPALeeZeldin), and Administrator Kelly Loeffler (@SBA_Kelly) to my hometown of Peachtree City.

We celebrated President Trump’s Working Families Tax Cuts and historic deregulation efforts that have unleashed economic prosperity across Georgia’s 3rd Congressional District and our entire country!",en,Tweet,1,106,21,19,10928,2025-08-22 15:26:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gy9mCFyXwAASztu.jpg,https://pbs.twimg.com/media/Gy9mCFsXwAAX1jN.jpg,https://pbs.twimg.com/media/Gy9mCF1WoAAXHze.jpg,https://pbs.twimg.com/media/Gy9mCFuWAAABwcv.jpg"
'1958208841147134263',"Over the past two days, I had a wonderful time in Troup, Harris, and Muscogee Counties!

✅  Toured DNA Technical Fabrics, one of the last denim plants left in America
✅  Discussed Surface Transportation Reauthorization efforts at a C.W. Matthews asphalt plant
✅  Met with the leadership of Aflac, one of the largest employers in our district
✅  Visited LaGrange College and Point University to discuss ways we can partner to create wonderful opportunities for students in our district",en,Tweet,0,10,2,27,810,2025-08-20 17:45:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gyz0feOWwAAg03w.jpg,https://pbs.twimg.com/media/Gyz0fePW0AA5tSU.jpg,https://pbs.twimg.com/media/Gyz0feXXUAEjSs5.jpg,https://pbs.twimg.com/media/Gyz0feYWoAA7kpT.jpg"
'1956447356607402139',"I had a great time in Fayette, Meriwether, and Upson Counties yesterday!

✅  Hosted a Roundtable Discussion with the Fayette County Development Authority and Chamber of Commerce
✅  Met with a company poised to make a significant investment in Coweta County
✅  Toured the largest construction project in Fayette County
✅  Visited Trilith Studios to learn ways we can reshore film production to America
✅  Addressed constituents in Meriwether County
✅  Met with Upson County Law Enforcement and addressed constituents in Thomaston",en,Tweet,0,27,5,20,2872,2025-08-15 21:06:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GyayfKAXEAARmRf.jpg,https://pbs.twimg.com/media/GyayfKNWUAAdcSL.jpg,https://pbs.twimg.com/media/GyayfKFXAAA5rOC.jpg,https://pbs.twimg.com/media/GyayfJ6XkAAB2ID.jpg"
'1948077027229093915',"I am incredibly proud to introduce the bipartisan Muhammad Ali American Boxing Revival Act, which provides boxers with more opportunities, better pay, and greater safety standards.

Professional boxing is the only sport regulated by Congress, and ambiguity in current law — adopted over a quarter-century ago — has stifled investment.

Congressional action is needed to revive this once-great American sport, and this bipartisan legislation establishes a framework for innovation to flourish.

🥊 #AliBoxingRevivalAct #MAABRA",en,Tweet,0,16,4,49,2115,2025-07-23 18:45:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
