tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970591913066607042',"If you’d asked me before this video what was in my bag, I wouldn’t have been able to tell you. So let’s find out together!

Check out what's in my bag ⬇️

https://t.co/CTlHzzxNTh",en,Tweet,0,0,0,0,151,2025-09-23 21:51:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=TwO3ik9OLdQ,,
'1970498001161593340',"Trump's economic policies have left Oregonians with fewer job opportunities and higher prices with no end in sight.

I came to Congress to lower costs, create jobs, and improve my constituents' quality of life – they don't have time for this nonsense. 

https://t.co/ka68LpBzVB",en,Tweet,0,1,2,3,196,2025-09-23 15:38:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.washingtonpost.com/business/2025/09/21/stuck-economy-jobs-market-housing/,,
'1970253683335062004',"Clackamas Service Center’s Food Hub is a lifeline for so many in CD5, but SNAP cuts in Republicans’ trash budget are threatening its ability to keep the doors open.

If it closes, the community could lose more than 1 million meals per year – we can’t let that happen. https://t.co/uyf6XbjGCd",en,Tweet,0,1,0,3,141,2025-09-22 23:27:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1e_PVHXYAA7MaG.jpg,https://pbs.twimg.com/media/G1e_P47XIAA8Hen.jpg,https://pbs.twimg.com/media/G1e_QhSXYAAmof2.jpg,https://pbs.twimg.com/media/G1e_Q-NXYAAUWXj.jpg"
'1970183336870982122',"Let’s get one thing clear: Republicans control the House, the Senate, and the White House. 

If the government shuts down, they own it.",en,Tweet,0,11,5,3,906,2025-09-22 18:48:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970154716500836757',"It was an honor to speak with Oregon veterans during their Honor Flight and to thank them for their service to our country. 

It is because of them that we stand here today with the freedoms that have become fundamental to who we are as a nation. https://t.co/OdOdDqj1NY",en,Tweet,0,5,2,1,336,2025-09-22 16:54:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dlPrqWoAAgH2G.jpg,https://pbs.twimg.com/media/G1dlQKUWoAE98FA.jpg,https://pbs.twimg.com/media/G1dlQ9uWYAAEKWa.jpg"
'1969573802364272873',"President Trump’s policies are benefiting the top 1% while leaving everyone else behind. 

My constituents deserve better. 

I won’t stop fighting to lower costs and make life better for Oregonians. 

https://t.co/lwSvyyd6Pg",en,Tweet,0,3,2,2,188,2025-09-21 02:26:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.bbc.com/news/articles/cm2ze83x7j0o,,
'1969068360022237372',"Republicans control the House, the Senate, and the Presidency. It’s on them to prevent a shutdown.

We need a budget that reverses Republicans’ cuts to healthcare – today’s vote didn’t do that.

I won’t support a bill that fails to deliver for Oregonians, so I voted no on the CR.",en,Tweet,0,1,0,1,253,2025-09-19 16:57:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969049900567413059',"If Republicans aren’t willing to reverse cuts to healthcare and education and lower costs, I won’t vote for their CR. https://t.co/dZFKhZtVCY",en,Tweet,0,3,0,3,439,2025-09-19 15:44:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969048346221228033/vid/avc1/1080x1920/4vOTof9NIQHdGYI8.mp4?tag=21
'1968829444476354808',"The Central Oregon Disability Support Network helps over 4,000 of our rural families of children with disabilities get the support they need. 

The Trump administration is taking that support away. I won’t stand for it – I’m demanding the funding be restored. https://t.co/SwLoau3XKG",en,Tweet,0,0,0,1,162,2025-09-19 01:08:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Kv8dwW4AE6Zir.jpg
'1968737632201945259',"Far too many Oregonians live in food deserts without access to healthy options.

My new bill would provide funding for staff, equipment, and food at food pharmacies across CD5 to help close these gaps in our communities.

Learn more ⬇️ https://t.co/80pAsZYJ6y",en,Tweet,1,1,0,2,131,2025-09-18 19:03:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968737555722940416/vid/avc1/1080x1920/d8_VOLBdS9TiTLSY.mp4?tag=21
