tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970544261960536179',"The Trump admin is ending the food insecurity survey just as it makes unprecedented cuts to food assistance. This is no coincidence.
https://t.co/VozC1jE3mP",en,Tweet,0,4,1,3,436,2025-09-23 18:42:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.politico.com/newsletters/weekly-agriculture/2025/09/22/usda-ends-food-insecurity-survey-00574583,,
'1970224311345782972',"As the Co-Chair of the Baltic Caucus, I strongly condemn Russia’s violation of Estonian airspace. The U.S. must stand with Estonia and our other NATO allies as a unified front against Putin's aggression in Europe. 
https://t.co/x79dkK6sAf",en,Tweet,0,25,5,3,6170,2025-09-22 21:30:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.reuters.com/business/aerospace-defense/nato-member-estonia-says-three-russian-jets-violated-its-airspace-2025-09-19/,,
'1969907432114495612',"Esta Corte Suprema radical le ha dado a Donald Trump luz verde para atacar a personas únicamente por el color de su piel o el idioma que hablan, incluyendo a ciudadanos estadounidenses. Ahora más que nunca, es fundamental que conozcas tus derechos al encontrarte con agentes de ICE.

Consulta la guía de recursos bilingüe de mi oficina aquí:
https://t.co/zXNW963Mn9",es,Tweet,1,5,1,3,486,2025-09-22 00:31:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968780888512045350',"When trade policy becomes a political stunt, American farmers lose. The Trump administration should stop playing games with farmers' livelihoods.
https://t.co/KRtWKRvbt3",en,Tweet,0,4,0,6,443,2025-09-18 21:55:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.reuters.com/world/us/usda-considering-economic-aid-farmers-this-fall-says-secretary-2025-09-15/,,
'1968723848334897307',"Pulling Jimmy Kimmel off the air is an outrageous and dangerous attack on free speech. If the Trump administration isn't held accountable for this blatant censorship, we're at risk of losing our First Amendment rights.

I'm calling on FCC Chair Brendan Carr to resign immediately.",en,Tweet,2,18,5,11,921,2025-09-18 18:08:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968346016559600127',"From deporting people without due process to openly talking about running for an un-Constitutional third term, Donald Trump is attacking our Constitution on an unprecedented scale.

That’s why, on Constitution Day, I continue to call on the Supreme Court and Congressional Republicans to do their jobs and hold the President accountable for his extreme overreach.",en,Tweet,0,3,2,6,421,2025-09-17 17:07:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1D4QNhXsAAkKmS.jpg
'1968063193298981159',"Millions of Americans are struggling to find a job. Instead of trying to fix the economy, President Trump is focused on building his new White House ballroom. 

Mr. President, Americans don't need a ballroom — they need good-paying jobs. 
https://t.co/JszaYluVoP",en,Tweet,0,8,3,8,523,2025-09-16 22:23:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/business/2025/09/15/long-term-unemployment-workers-jobs/,,
'1968028186031378587',…is this the Golden Age Trump talks about? https://t.co/9NFTAnpghy,en,Tweet,1,7,4,3,626,2025-09-16 20:04:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_W9Z9XIAACd9x.jpg
'1967684026434810106',"Los Estados Unidos es más vibrante gracias a nuestras comunidades latinas. En este Mes Nacional de la Herencia Hispana, honramos y celebramos esas contribuciones, y reafirmamos nuestro compromiso de proteger y apoyar a nuestras comunidades inmigrantes que fortalecen a nuestro país cada día.",es,Reply,0,0,0,0,226,2025-09-15 21:16:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06eLJSXEAAGg2a.jpg
'1967684023750152458',"American society is more vibrant thanks to our Latino communities. This National Hispanic Heritage Month, we honor and celebrate those contributions on the Central Coast and throughout the nation and recommit ourselves to protecting and uplifting our immigrant communities who make our country stronger every day.",en,Tweet,1,6,2,4,455,2025-09-15 21:16:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06d-coXIAA7DFx.jpg
