tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970599621534851409',💨=🔥,art,Tweet,117,8451,1941,229,206456,2025-09-23 22:22:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970552145389986061',"🚌 Today, alongside my dedicated District Team, I visited the South Dade TransitWay &amp; Operations Center. 

The tour included a walkthrough of the signature Bus Rapid Transit station, a look inside the buses, and a ride along part of the corridor. https://t.co/0z0zGvQLPF",en,Tweet,0,68,13,5,7707,2025-09-23 19:13:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jOujkW8AARgnD.jpg,https://pbs.twimg.com/media/G1jOujwWIAEf4ld.jpg,https://pbs.twimg.com/media/G1jOujhWsAAUL0h.jpg,https://pbs.twimg.com/media/G1jOujgWIAAxCY8.jpg"
'1970505149928886393',"🚨@POTUS Trump is a man of action.

To all narco-terrorists, BEWARE!",en,Tweet,26,2193,564,60,41354,2025-09-23 16:06:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970504197574402503',Proud to see our great Secretary of State @marcorubio representing the United State of America at the 80th Session of the @UN General Assembly. https://t.co/3j05ahq6sS,en,Tweet,15,1573,332,60,26729,2025-09-23 16:03:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1iipWSXcAAYgR3.jpg
'1970475367396974715',".@SecRubio, understands that the only want to stop the drug trafficking from dictator Maduro’s #Venezuela is to address the source! https://t.co/bRU7IagGhp",en,Tweet,44,1912,626,67,39852,2025-09-23 14:08:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Venezuela,,video,https://video.twimg.com/amplify_video/1970462782710579203/vid/avc1/1280x720/AuVIuMN2VDCU0p37.mp4?tag=21
'1970471125286056170',"Very welcome news that Miami is in the fight to host the Donald J. Trump Presidential Library.

No city understands the value of freedom more than we do! 🎉🇺🇸",en,Tweet,2,181,39,4,7442,2025-09-23 13:51:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970225290753217014',"🚨¡Desde el Congreso de Estados Unidos, exigimos la libertad inmediata de todos los presos políticos injustamente detenidos por la dictadura narcoterrorista en #Venezuela!",es,Tweet,39,4774,1487,114,74383,2025-09-22 21:34:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Venezuela,,,
'1970224713298231578',"🚨The people of #Venezuela are determined to liberate themselves from the murderous narcoterrorist Maduro regime.

Maduro’s days as head of the criminal Cartel de lo Soles are numbered, he’s not sleeping too well with all the U.S. military presence off the coasts of Venezuela.",en,Tweet,54,3439,840,104,92145,2025-09-22 21:32:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Venezuela,,,
'1970223744749609197',"🚨Desde el Congreso de Estados Unidos, puedo asegurar que estamos tomando las amenazas del dictador criminal Nicolás Maduro, cabecilla del Cártel de los Soles, muy en serio.

El narco Nicolás Maduro pretende retar a Estados Unidos y le seguirá saliendo pésimamente mal.",es,Tweet,83,6934,2051,273,128942,2025-09-22 21:28:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970222928097579497',"🚨The United States stands with the freedom-loving people of Brazil and President Jair Bolsonaro against the corrupt, socialist, criminal Lula da Silva regime! 🇺🇸🤝🇧🇷",en,Tweet,117,11437,2347,756,242482,2025-09-22 21:25:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970182998864842996',"🚀Congratulations to the next generation of American heroes! 

These brave pioneers will carry forward our nation’s proud legacy of exploration — from Earth’s orbit to the stars.",en,Tweet,1,143,21,3,6144,2025-09-22 18:46:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970160900503179710',"🚨Oh ghee! Is the qualifying period for Mayor of the City of Miami over? 

I must’ve missed the deadline! 🫢",en,Tweet,2,157,14,9,13596,2025-09-22 17:18:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970128747920855344',"🚨Desde el Congreso de Estados Unidos, apoyamos las iniciativas de la Administración del Presidente Trump para fortalecer nuestros lazos económicos con la hermana República Argentina.

El Presidente @JMilei tiene una visión clara en la que confiamos plenamente. 

🇺🇸🤝🇦🇷",es,Tweet,9,958,205,17,17426,2025-09-22 15:11:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970110272397557953',"Lourdes and I wish a happy &amp; prosperous new year to all observing Rosh Hashanah tonight.

Our Jewish neighbors are our friends, our family, and our constituents &amp; we are proud to stand with them. 🍯🎉 https://t.co/IE1jq87NQi",en,Tweet,2,102,27,6,4601,2025-09-22 13:57:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1c82X6WMAAfEPs.jpg
'1969955911843152174',"Secretary of State Marco Rubio has shown the country once again, what we have known in Florida all along: he is the most gifted orator of our times.

God bless him &amp; his family as he continues fighting the good fight for our exceptional United States! 🇺🇸",en,Tweet,43,2154,542,96,50453,2025-09-22 03:44:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969808014761922879',"@KemiBadenoch Thank you leader @KemiBadenoch for your moral clarity in standing with America’s strongest ally the democratic, Jewish State of #Israel.

Well wishes from the U.S. Congress. Keep fighting the good fight!",en,Reply,1,68,4,10,17537,2025-09-21 17:56:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Israel,,,
'1969805917060464690',"🚨Los gobiernos socialistas de Australia, Canadá e Inglaterra se aprovechan de tratados de libre comercio favorables con nuestro país y luego nos meten la puñalada alineándose con Hamas.

En el Congreso, tomaremos este patético accionar como la gran traición que es.",es,Tweet,73,4238,1271,233,153407,2025-09-21 17:48:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969804166643236884',"🚨The socialist, leftist governments of Canada, Australia, and the UK all rush to take advantage of trade deals with America &amp; later stab us in the back by siding with Hamas.

In the U.S. Congress, we will not take this pathetic betrayal lightly.",en,Tweet,12,714,204,52,20923,2025-09-21 17:41:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969797276533981331',"Pathetic. Absolutely pathetic.

While @Keir_Starmer stands with Hamas &amp; their violence, the United States will ALWAYS stand with the Jewish State of Israel! 

🇺🇸🤝🇮🇱",en,Tweet,9,726,188,76,25742,2025-09-21 17:14:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969784552001347967',"🚨Gracias a las denuncias de tantos de ustedes, hemos podido capturar a estos represores de la dictadura asesina en #Cuba qué se habían infiltrado en USA.

Estos esbirros no tienen cabida en nuestro país y merecen estar presos por todos sus crímenes de lesa humindad.",es,Tweet,16,1905,753,36,50541,2025-09-21 16:23:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Cuba,,,
'1969768634357850491',"🚨NEWS —&gt; I’ll be on This Week in South Florida with @GlennaWPLG this morning.

Tune-in to @WPLGLocal10!",en,Tweet,1,90,13,6,6251,2025-09-21 15:20:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969458638197584025',"🚨Dictator Nicolas Maduro has been indicted for purposely flooding our country with lethal drugs.

President Trump means business: Maduro’s days as the head of the narcoterrorist Cartel de los Soles are numbered! https://t.co/L1JJYYHHp4",en,Tweet,80,4803,1454,203,235200,2025-09-20 18:48:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1TsMU-XMAAaejd.jpg
