tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968800722767446445',West Virginia’s Capitol was overflowing tonight with people celebrating the life and impact of Charlie Kirk. His message resonated all across our great nation and will be carried on through generations. Please join me in continuing to pray for his wife and children. https://t.co/EFk4dSEF6I,en,Tweet,0,9,3,2,509,2025-09-18 23:14:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1KVus5XMAEbsxF.jpg,https://pbs.twimg.com/media/G1KVus3XwAAfT9K.jpg,https://pbs.twimg.com/media/G1KVus5WAAAaAQs.jpg"
'1968791933125632391',"This evening, I voted YES on the National Coal Council Reestablishment Act! This bill secures America’s energy future by making the Council permanent, providing additional resources to our hardworking miners, and protecting coal - a vital resource that will continue to power our country!",en,Tweet,0,1,0,4,277,2025-09-18 22:39:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968769232272757082',"I took part in an Oversight Subcommittee hearing to discuss the growing problem of urban, tax-exempt hospitals reclassifying as rural to receive benefits intended for our most vulnerable rural patients. You can view the full exchange below. ⬇️

https://t.co/fxwowXoyqV",en,Tweet,0,0,0,1,263,2025-09-18 21:08:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://miller.house.gov/media/press-releases/icymi-miller-participates-hearing-discuss-tax-exempt-hospitals-benefits,,
'1968766392498331833',"Today, I led a letter to ensure rural ground ambulance services are being appropriately reimbursed. Patients in rural America need these life saving services available to them. You can read my full letter below. ⬇️

https://t.co/ojlSK9GMAk",en,Tweet,0,0,0,0,213,2025-09-18 20:57:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://miller.house.gov/media/press-releases/miller-colleagues-send-letter-protect-access-ground-ambulance-services,,
'1968757882989547715',"This afternoon, I was honored to join friends and colleagues on the Pro-Life Panel at the Value Action Team’s Embarkation Summit. I’m proud of the progress our nation is making on pro-life policy, thanks to the strong Republican leadership fighting the good fight. Defending the unborn will always be a top priority of mine, and I’ll never stop standing for their right to life.",en,Tweet,0,2,0,2,248,2025-09-18 20:23:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Ju2qUXcAAp9-S.jpg
'1968402772576837711',"Time and time again, we have seen American innovation become dominated by a Chinese supply chain. That is why I introduced the Fusion Advanced Manufacturing Parity Act to support domestic fusion energy manufacturing and cement our foothold in this emerging, multi-trillion-dollar industry. 

https://t.co/keXEYVbp4H",en,Tweet,0,6,2,3,493,2025-09-17 20:52:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968379683642425679',"In 1787, our Founding Fathers laid the foundation of the United States by signing the Constitution. Today, 238 years later, we honor the freedoms and liberties it guarantees and celebrate the living framework of our great nation. https://t.co/zQCLRg7G1Y",en,Tweet,0,4,1,0,242,2025-09-17 19:21:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EW2m4XkAAChWP.jpg
'1968332466697183344',Today we are celebrating the second annual National App Challenge Day! I encourage all eligible students to take advantage of this exciting opportunity and submit their apps by October 30th. https://t.co/0uxXiDvf4L,en,Tweet,0,5,1,1,385,2025-09-17 16:13:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Dr6cwW4AAFQ-x.jpg
'1968013706660655510',Today I met with the American Association of Orthopedic Surgeons and members of the West Virginia Orthopaedic Society. I am so proud of the hard work they do in strengthening healthcare initiatives and advancing orthopedic research in West Virginia! https://t.co/uawtUk5xQA,en,Tweet,0,1,1,1,320,2025-09-16 19:06:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_KABkWkAAzTPi.jpg
'1967632445450383542',"It was a pleasure to meet the new President of West Virginia University, Michael Benson. I am confident that WVU will continue to grow and thrive under his leadership, bringing exciting opportunities to our communities and students. Welcome to #WV, President Benson! https://t.co/kEPuDG7nUD",en,Tweet,0,9,1,2,660,2025-09-15 17:51:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#WV,,photo,https://pbs.twimg.com/media/G05vLfJXMAMqf_o.jpg
