tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970544084080103557',"For too long, American tech workers have been removed from STEM occupations through the H-1B visa program, which has imported cheap labor.

President Trump’s decision to increase the petition fee for prospective H-1B applicants will help protect American workers from undue displacement.",en,Tweet,0,98,33,27,3523,2025-09-23 18:41:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970519164793299082',"Decisive action prevented THOUSANDS of pounds of deadly drugs from reaching our shores.

America is SAFER without this poison flooding our streets.

https://t.co/g9BcsIj01a",en,Tweet,1,96,13,24,3050,2025-09-23 17:02:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/world/drug-smuggling-boat-struck-us-carrying-more-than-ton-suspected-cocaine-dominican-republic-says,,
'1970502081711665340',"Democrats are threatening a government shutdown to protect TRILLIONS of dollars in their bloated bureaucracy. 

Meanwhile, Democrats push policies that DRIVE UP the cost of healthcare for working families, making it HARDER for doctors to serve patients.  

Congress SHOULD hold the line and not cave to woke agendas or crushing healthcare providers with DC red tape.",en,Tweet,2,219,87,69,7265,2025-09-23 15:54:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970499799989526670',MORE: https://t.co/Hchjsu5QPQ,en,Reply,2,41,7,4,2223,2025-09-23 15:45:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/no-sane-country-would-stand-this-lawmakers-launch-effort-withdraw-u-s-from-united-nations,,
'1970499795790745628',"Rep. Roy and @BasedMikeLee have introduced the DEFUND Act of 2025, which would TERMINATE US membership from the United Nations. 

Let’s get it passed and officially withdraw from this CORRUPT globalist organization. https://t.co/8lNBbsiW69",en,Tweet,93,7964,2834,496,90443,2025-09-23 15:45:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ifHxKXwAAag5a.jpg
'1970486674129068381',Rep. Roy: “Is anybody paying attention to what’s happening in London?! You've got a massive Muslim takeover of the United Kingdom going on right before our eyes... I've got some strong concerns about Sharia Law and whether that will be forced on the American people.” https://t.co/IxA6uiBEX8,en,Tweet,2107,62142,17075,4269,2219821,2025-09-23 14:53:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970486587608743937/vid/avc1/1280x720/OZ1leHHjLoKz1zLh.mp4?tag=21
'1970474243277070431',MORE: https://t.co/FE3d1hWrqI,en,Reply,0,20,2,1,1827,2025-09-23 14:04:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.dhs.gov/news/2025/09/19/secretary-noem-announces-termination-temporary-protected-status-syria,,
'1970474239980417515',"Good. 

Syrian nationals have had Temporary Protected Status for over 10 years – nothing is preventing their safe return to their home country.

Rep. Roy’s H.R. 4201, the TPS Reform Act, would limit how often TPS can be used to shield individuals from removal. https://t.co/svIaNmSCDl",en,Tweet,1,409,148,39,4556,2025-09-23 14:04:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iH4LTW4AA72YI.jpg
'1970295209994092705',"Good.

The president is right to declare Antifa a domestic terrorist organization after years of chaos and harm that the group has caused. 

Congress CAN investigate Antifa’s funding and planned attacks.

https://t.co/gciAAMgsNn",en,Tweet,3,202,42,65,5501,2025-09-23 02:12:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.whitehouse.gov/presidential-actions/2025/09/designating-antifa-as-a-domestic-terrorist-organization/,,
'1970277740302737610',💯,art,Tweet,0,110,14,21,5867,2025-09-23 01:03:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
