tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970567080635175163',"For 8 months, Trump has terrorized immigrant communities. And now his Operation Midway Blitz has brought fear and violence to my own community– invading it with masked thugs targeting our hardworking neighbors. This state-sanctioned terror has to stop. https://t.co/kb2c391x5z",en,Tweet,1,21,7,6,794,2025-09-23 20:12:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970566934035881984/vid/avc1/1440x2560/qBceh2zgjN5a4vR3.mp4?tag=21
'1970210289598574613',"Thank you @CHCI for bringing us together for an important conversation on transportation, union labor, and equity in infrastructure. 

And to the next generation in the room: you belong here–keep pushing forward! https://t.co/eMKqzsZjZF",en,Tweet,0,6,1,1,679,2025-09-22 20:35:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eX0P9XYAArntE.jpg
'1969924268667568516',"Today we remember Wadee AlFayoumi, an innocent child whose life was taken in an act of hate. May his memory be a call for peace as no child should live in fear. https://t.co/aHvXbHZK0O",en,Tweet,0,24,5,3,1166,2025-09-22 01:38:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1aTrqnXsAAnBts.jpg
'1969546811007266829',Corruption and cover-ups. That’s the Trump administration!,en,Tweet,3,46,4,19,5524,2025-09-21 00:38:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969516590224863530',"ICE contradicts itself by claiming agents used an “appropriate force” while also “feared for their life”. Calling community voices and reporters’ findings “smears” without providing their own evidence sounds like a cover-up.

https://t.co/IHqf30asox",en,Tweet,0,6,0,7,832,2025-09-20 22:38:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.dhs.gov/news/2025/09/19/dhs-sets-record-straight-gross-smears-against-ice-officer-who-was-seriously-injured,,
'1969145619202629961',"In this week's @HouseJudiciary hearing, I called out Kash Patel for misusing FBI resources to target immigrant communities and families. Weaponizing federal law enforcement for political gain doesn’t make us safer—it endangers us all. https://t.co/QTfjxQ8kBa",en,Tweet,1,11,3,16,1243,2025-09-19 22:04:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969145471999332352/vid/avc1/1440x2560/XbQtuvwKFMBoKzxg.mp4?tag=21
'1969088425958494534',Now is not the time to roll back federal rail safety rules that protect workers and communities like ours. #RailSafetyWeek https://t.co/kxKSGHZL1p,en,Tweet,0,5,2,2,1021,2025-09-19 18:17:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#RailSafetyWeek,,photo,https://pbs.twimg.com/media/G1ObdY9WEAAEBQn.jpg
'1969071273851392355',ICE pepper sprayed civilians &amp; reporters outside of a facility near Chicago being used for detention. This is another dangerous escalation of violence against our rights. Our community will not be silenced and will not back down.,en,Tweet,78,2516,833,4501,186889,2025-09-19 17:09:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969069004661612615',"Earlier this year, we were denied access to the Broadview ICE Processing Center to conduct oversight–a right guaranteed to us as Members of Congress. As reports of abuses at Broadview continue, we are demanding full transparency and accountability from DHS and ICE. The dignity and legal rights of every immigrant detained there must be respected and protected.",en,Tweet,1,23,10,18,1320,2025-09-19 17:00:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1OJ0xyX0AAclcb.jpg
'1969042672363946394',"This Hispanic Heritage Month, we stand fierce. ICE and DHS are terrorizing our communities—and we won’t back down. https://t.co/7JGEPl364B",en,Tweet,1,69,22,40,5201,2025-09-19 15:15:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969042453287063552/vid/avc1/1280x720/ECLjuAk-ZFxD-AI5.mp4?tag=21
