tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969108335442923677',"Proud to reintroduce the SPACEPORT Act to support America’s leadership in space by modernizing infrastructure grants for spaceports like Huntsville International Airport. The United States continues to set the pace in space exploration, and North Alabama stands at the heart of that momentum.",en,Tweet,0,12,2,6,627,2025-09-19 19:36:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OtZe4WYAAkxam.jpg
'1969100303665385719',"Proud to introduce the SPACEPORT Act to provide dedicated federal support to U.S. spaceports, ensuring the nation can meet growing civil, commercial, and national security demands for space transportation.
https://t.co/a1MFUrjtu0",en,Tweet,0,8,0,1,383,2025-09-19 19:04:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://aladefense.com/rep-dale-strong-looks-to-pave-way-for-space-transportation-infrastructure-with-spaceport-act/,,
'1969065686828814790',Today I voted to keep the federal government working for the American people. This will allow us to continue working to advance @POTUS's America First priorities. See my full statement below ⬇️ https://t.co/XvH3gidS7a,en,Tweet,0,7,2,3,784,2025-09-19 16:46:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OGxgiXUAAKQCC.jpg
'1969064735820640562',This is unconscionable.,en,Tweet,0,24,5,8,3654,2025-09-19 16:43:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968741105471483918',"I am proud of the work @HouseAppropsGOP has accomplished in drafting and advancing all 12 funding bills through committee. Under the strong leadership of Chairman @TomColeOK04, we have conducted a thorough and robust process focused on advancing America First priorities. https://t.co/tyvt55gXj1",en,Tweet,0,8,2,2,796,2025-09-18 19:17:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JfIEHWEAAGiUm.jpg
'1968730162360418578',"Happy 78th Birthday to @usairforce! From the historic legacy of the Tuskegee Airmen to the cutting-edge missions at our bases today, Alabama is proud to be a crucial part of your history. #FlyFightWin #AirForceBirthday https://t.co/rkVsPvwZHw",en,Tweet,0,7,1,1,347,2025-09-18 18:33:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#FlyFightWin,#AirForceBirthday",,photo,https://pbs.twimg.com/media/G1JVbTtXgAEu0pl.jpg
'1966155642760040805',"Today, we remember the lives lost on September 11, 2001, and honor the courage of the first responders, service members, and everyday heroes who stepped forward in our nation’s darkest hour. Their courage and sacrifice remain an enduring reminder of America's resilience and unity. #NeverForget",en,Tweet,0,7,1,2,1217,2025-09-11 16:03:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kwIDwXcAAYcer.jpg
'1965902623367709151',"Charlie Kirk loved the Lord, his family, and his country. He was an American patriot who dedicated his life to advancing the Gospel and conservative values. Charlie will forever be remembered as one of the greatest conservative leaders of his time. I am praying for the Kirk family and all those who loved him. The horrific political violence we witnessed today has no place in the United States. May we carry on Charlie's legacy by engaging in respectful dialogue and remembering that, at the end of the day, we are all Americans.",en,Tweet,4,63,10,6,2094,2025-09-10 23:18:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965901243320271256',"Every day, nearly 50,000 men and women come to work on Redstone Arsenal. Unlike other military bases and installations, Redstone does not have a large population of junior enlisted personnel to help fill the gaps with gate security positions. I thank @RepMikeRogersAL for including a provision in the NDAA to allow military installations, like Redstone, to contract personnel for security guard functions, ensuring installation access is secure and seamless for our personnel. 
https://t.co/pV3tPIMAcF",en,Tweet,1,11,1,3,978,2025-09-10 23:12:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965857109230465117',Please join me in praying for Charlie Kirk and his family. This is sickening.,en,Tweet,1,72,6,4,3784,2025-09-10 20:17:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
