tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970620390587441413',"Thank you to @EDSecMcMahon for visiting Northeast Ohio for a roundtable to discuss the impacts of STEM education and vocational training. It was exciting to celebrate the launch of @xrpRobots in Ohio’s schools, which will provide students with cutting-edge technology and equip them with the skills needed for the global economy.",en,Tweet,0,5,0,6,688,2025-09-23 23:44:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kMzS_WIAAe0LU.jpg,https://pbs.twimg.com/media/G1kMzS6XMAAG5El.jpg,https://pbs.twimg.com/media/G1kMzS9WQAA2HTE.jpg,https://pbs.twimg.com/media/G1kMzS7WgAAJscy.jpg"
'1970474946858996078',"It was a pleasure to attend! A strong federal-local partnership is part of building thriving communities, and I look forward to working with local officials on the issues that affect the people of OH-14.",en,Tweet,0,1,0,4,899,2025-09-23 14:06:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970245459458322926',"The sacrifices our military families make for our country often go unrecognized, and it is important to acknowledge the debt we owe to them.
 
I cosponsored a resolution marking this week as Gold Star Families Remembrance Week, to honor our surviving families and the troops who gave their lives for our country.",en,Tweet,0,3,0,3,531,2025-09-22 22:54:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e3zUCX0AAZz0z.jpg
'1970205975362633971',"To everyone who celebrates, I want to wish you a blessed Rosh Hashanah. May the new year bring hope, peace, and prosperity. https://t.co/FKHiScGOlS",en,Tweet,0,1,0,3,493,2025-09-22 20:18:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eTfc3WAAA3etF.jpg
'1969109968147067163',"On POW/MIA Recognition Day, we honor the brave men and women taken prisoner in the line of duty and over 80,000 service members who remain missing in action. You are not forgotten. https://t.co/IHB76tSkug",en,Tweet,0,4,0,1,513,2025-09-19 19:42:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1OvEVsWEAEmoJ0.jpg
'1969052048969617746',"I just voted to avoid a harmful government shutdown and extend government funding through November 21.
 
Read my full statement. https://t.co/ZS19vsWDZ4",en,Tweet,0,4,0,10,456,2025-09-19 15:52:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N6ZXoWIAAeZEH.jpg
'1968766599688560865',"Today, I joined my colleagues in introducing the SHINE for Autumn Act, a bill to promote research and education on stillbirths, helping save lives and keep mothers and their babies healthy. https://t.co/RrO3TXraRx",en,Tweet,0,1,0,7,554,2025-09-18 20:58:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1J2yd-WAAA3U62.jpg
'1968664732392432067',"Happy Birthday @USAirForce! 

For 78 years, these brave men and women have risked their lives to defend our country and freedoms. Today, let's honor those who have served and continue to serve. https://t.co/EH73hjIWI7",en,Tweet,0,1,0,2,404,2025-09-18 14:13:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1IaI8TXoAA3lP1.jpg
'1968404005333225677',"Happy #NationalAppChallengeDay! The Congressional App Challenge is a great opportunity for students in OH-14 to showcase their coding and computer science skills on a national platform.  Register below and submit your innovative apps by October 30th.

https://t.co/Ejqq5k7MWc https://t.co/dcS9qPaQzP",en,Tweet,0,2,1,0,542,2025-09-17 20:57:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NationalAppChallengeDay,http://bit.ly/registerforcac,photo,https://pbs.twimg.com/media/G1Es7yHXgAAWJoF.jpg
'1968306245234033135',"238 years ago, our Founding Fathers signed the United States Constitution, solidifying the fundamental values of our nation. On Constitution Day, we affirm our commitment to defending these rights and liberties that keep America free. https://t.co/JdOOlPa5Ux",en,Tweet,0,4,1,9,490,2025-09-17 14:29:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DUGUOXgAAJrHN.jpg
'1967693891416854891',"An all-of-the-above energy approach provides both environmental and economic benefits.

I recently cosponsored a resolution to designate this week as National Clean Energy Week and recognize the industry's contributions to job growth, energy affordability, and reduced emissions. https://t.co/8AwwtmQo4l",en,Tweet,0,3,2,4,622,2025-09-15 21:55:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G06nKp_WAAAU1i8.jpg
'1966230359877812711',"We need to ensure qualified, motivated Americans aren’t turned away from serving their country over previous legal cannabis use. By clarifying the reenlistment waiver process through my amendment, we can expand opportunities to serve and strengthen our military.",en,Reply,0,29,5,1,2554,2025-09-11 21:00:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966230357361176595',"Small businesses are some of the most innovative companies we see in this country, and the Department of Defense (DoD) should utilize them. The Project Spectrum Authorization Act provides cybersecurity grants to small businesses so that they can compete for DoD contracts",en,Reply,0,0,0,2,506,2025-09-11 21:00:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966230354299334680',"The rising rates of suicide in our military are alarming, and we must address them as a nation, particularly during National Suicide Prevention Month. The Military Suicide Prevention in the 21st Century Act authorizes a 2-year pilot program to provide training and install suicide prevention resources on smart devices issued to members of our Armed Forces.",en,Reply,0,0,0,1,72,2025-09-11 21:00:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966230351002337636',"The FY26 NDAA raises pay for our troops, streamlines weapons procurement, and modernizes our military. I was proud to see it pass the House with some of the major priorities I fought to include ⬇️⬇️⬇️ https://t.co/xgHEloJyob",en,Tweet,0,2,0,6,693,2025-09-11 21:00:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0l0FaAXQAEMREG.jpg
'1966171313317536111',"Last night, @HouseAppropsGop finished marking up the last of 12 appropriations bills, a major step in the government funding process. I am extremely proud of the Committee’s work, and I urge my colleagues to swiftly pass these bills on the House floor. https://t.co/zibr8YdUfl",en,Tweet,1,10,3,5,1318,2025-09-11 17:05:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0k-Y7GXkAAC66r.jpg,https://pbs.twimg.com/media/G0k-Y7DXcAEfYz-.jpg,https://pbs.twimg.com/media/G0k-Y63WkAAJ-a5.jpg"
'1966108557452939667',"24 years ago, thousands of Americans were murdered in the 9/11 terrorist attacks.
 
May we never forget the victims, their loved ones, and the brave first responders who risked everything to save more lives. https://t.co/1MI3E6Fmk3",en,Tweet,0,8,3,4,691,2025-09-11 12:56:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kFUEpWQAAJlki.jpg
'1965894754920698068',"I am heartbroken for Charlie Kirk’s wife and the two young children he is leaving behind. Everyone should be able to express their First Amendment rights without fear, and we must do everything we can as a country to combat political violence.",en,Tweet,0,23,3,6,1384,2025-09-10 22:46:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965854850631233578',I am horrified by the terrible news coming out of Utah Valley University. Kelly and I are praying for Charlie Kirk and his family.,en,Tweet,0,13,0,4,1781,2025-09-10 20:08:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963413114348593370',"I am incredibly proud to see @HouseAppropsGOP advance my FY26 Financial Services and General Government Appropriations Bill. This legislation ensures the federal government is fiscally responsible, leverages new technology, and is focused on national security. https://t.co/W23xcfCYNB",en,Tweet,0,10,5,147,4899,2025-09-04 02:25:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gz9x0hCWEAEC-xu.jpg,https://pbs.twimg.com/media/Gz9x0hAXsAAKaU8.jpg"
'1963219250081857873',"At 10:30 AM ET, the @HouseAppropsGOP full committee will be marking up my FY26 Financial Services and General Government Appropriations Bill. 
 
Tune in below ⬇️ 
https://t.co/U5iDYgEkEQ",en,Tweet,1,3,2,103,4235,2025-09-03 13:35:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.youtube.com/watch?v=EQVbb-r6FbE,,
'1962939706837983253',"Eighty years ago today, Japan’s formal surrender marked the end of WWII. Over 400,000 Americans lost their lives in the pursuit of liberty and freedom, and we will always honor their sacrifice and bravery. https://t.co/FA4oXto0OP",en,Tweet,0,2,0,21,1555,2025-09-02 19:04:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gz3DQpBWUAA4xPw.jpg
'1962494167411577154',"Happy Labor Day to the workers of OH-14! Today, we celebrate those who helped build our country and continue to work for a better future for us all. https://t.co/og6Xx7r4rO",en,Tweet,0,10,0,13,1292,2025-09-01 13:34:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GzwuC1pX0AAap8n.jpg
'1962187966287106388',"On National Overdose Awareness Day, we raise awareness and remember those lost to overdose. As Co-Chair of the Addiction, Treatment, and Recovery Caucus, I will continue fighting the opioid crisis and increasing access to treatment in Congress. https://t.co/A0Ydjv4zHw",en,Tweet,0,4,1,5,812,2025-08-31 17:17:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GzsXjndXoAANyr8.jpg
'1961537598117023814',"As Co-Chair of the Congressional Nursing Caucus and the Task Force to End Sexual Violence, I secured funding for the MMU in Congress. I will always fight to hold offenders of sexual violence accountable, safeguard our communities, and make sure our healthcare workers have the resources they need to provide care.",en,Reply,0,3,1,5,593,2025-08-29 22:13:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GzjIDDBXwAEjkC2.jpg,https://pbs.twimg.com/media/GzjIDDNWkAAXnYa.jpg"
